payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,dataset,target_snr_db,packet_index
0,803,803,803,1,1,0,1,1,1,1,1,2.616254522186074,piece1of2_30,0_0_0_10_14_8,-24.0,0
1,826,826,826,1,1,0,1,1,1,1,1,2.0543444170203875,linear_a3_b2,0_0_0_10_14_8,-24.0,0
2,922,922,922,1,1,0,1,1,1,1,1,2.3235390710431005,piece1of4_02,0_0_0_10_14_8,-24.0,0
3,718,718,718,1,1,0,1,1,1,1,1,2.151694531838654,piece1of4_30,0_0_0_10_14_8,-24.0,0
4,86,86,86,1,1,0,1,1,1,1,1,2.3833748286428853,piece1of2_02,0_0_0_10_14_8,-24.0,0
5,467,467,467,1,1,0,1,1,1,1,1,2.3583042646334085,piece1of2_30,0_0_0_10_14_8,-24.0,0
6,89,89,89,1,1,0,1,1,1,1,1,2.551225287771978,period2_30,0_0_0_10_14_8,-24.0,0
7,713,713,713,1,1,0,1,1,1,1,1,2.09374553655753,linear_a1_b3,0_0_0_10_14_8,-24.0,0
8,865,865,865,1,1,0,1,1,1,1,1,2.3431826295070475,linear_a3_b0,0_0_0_10_14_8,-24.0,0
9,405,405,405,1,1,0,1,1,1,1,1,1.9401928639677295,linear_a2_b3,0_0_0_10_14_8,-24.0,0
10,765,765,765,1,1,0,1,1,1,1,1,2.184512347633753,linear_a3_b3,0_0_0_10_14_8,-24.0,0
11,1023,1023,1023,1,1,0,1,1,1,1,1,2.6046606896741555,piece3of4_01,0_0_0_10_14_8,-24.0,0
12,597,597,597,1,1,0,1,1,1,1,1,2.0025053068366843,piece3of4_32,0_0_0_10_14_8,-24.0,0
13,562,562,562,1,1,0,1,1,1,1,1,2.9869564999955998,piece1of2_23,0_0_0_10_14_8,-24.0,0
14,478,677,677,4,4,0,1,1,0,0,1,2.704777900676445,piece1of2_23,0_0_0_10_14_8,-24.0,0
15,267,267,267,1,1,0,1,1,1,1,1,2.1837718658223157,piece3of4_02,0_0_0_10_14_8,-24.0,0
16,917,917,917,1,1,0,1,1,1,1,1,2.133721956924155,piece1of2_02,0_0_0_10_14_8,-24.0,0
17,656,656,656,1,1,0,1,1,1,1,1,2.3972518872086566,piece3of4_20,0_0_0_10_14_8,-24.0,0
18,889,889,889,1,1,0,1,1,1,1,1,1.9964294384573342,piece1of4_21,0_0_0_10_14_8,-24.0,0
19,510,510,510,1,1,0,1,1,1,1,1,2.5562063056936957,piece1of4_13,0_0_0_10_14_8,-24.0,0
20,860,860,860,1,1,0,1,1,1,1,1,2.4866663074371713,linear_a1_b0,0_0_0_10_14_8,-24.0,0
21,553,553,553,1,1,0,1,1,1,1,1,2.647621238810044,piece1of4_10,0_0_0_10_14_8,-24.0,0
22,629,629,629,1,1,0,1,1,1,1,1,4.686986811222476,piece1of4_10,0_0_0_10_14_8,-24.0,0
23,759,759,759,1,1,0,1,1,1,1,1,2.1739990842128165,piece1of4_03,0_0_0_10_14_8,-24.0,0
24,874,874,874,1,1,0,1,1,1,1,1,2.0809681988425597,linear_a1_b2,0_0_0_10_14_8,-24.0,0
25,720,720,720,1,1,0,1,1,1,1,1,1.7823271061526196,linear_a3_b2,0_0_0_10_14_8,-24.0,0
26,314,314,314,1,1,0,1,1,1,1,1,2.4332594988891256,period2_30,0_0_0_10_14_8,-24.0,0
27,602,602,602,1,1,0,1,1,1,1,1,2.954198679189243,piece1of4_01,0_0_0_10_14_8,-24.0,0
28,7,7,7,1,1,0,1,1,1,1,1,1.9382119402840727,piece3of4_13,0_0_0_10_14_8,-24.0,0
29,610,610,610,1,1,0,1,1,1,1,1,1.835795207610327,linear_a3_b1,0_0_0_10_14_8,-24.0,0
30,839,839,839,1,1,0,1,1,1,1,1,1.6496866834352837,linear_a2_b0,0_0_0_10_14_8,-24.0,0
31,913,913,913,1,1,0,1,1,1,1,1,2.929433202668896,piece3of4_10,0_0_0_10_14_8,-24.0,0
32,764,764,764,1,1,0,1,1,1,1,1,1.833642513687547,linear_a2_b2,0_0_0_10_14_8,-24.0,0
33,577,577,577,1,1,0,1,1,1,1,1,2.412181480624173,piece1of4_13,0_0_0_10_14_8,-24.0,0
34,936,936,936,1,1,0,1,1,1,1,1,2.4998153467127215,linear_a1_b3,0_0_0_10_14_8,-24.0,0
0,222,222,222,1,1,0,1,1,1,1,1,2.6098669076251815,piece1of4_21,0_0_0_10_14_8,-24.0,1
1,711,711,711,1,1,0,1,1,1,1,1,2.3064893623980804,linear_a1_b0,0_0_0_10_14_8,-24.0,1
2,871,871,871,1,1,0,1,1,1,1,1,2.4556385996446326,period2_21,0_0_0_10_14_8,-24.0,1
3,718,718,718,1,1,0,1,1,1,1,1,2.7055460391826753,piece1of4_12,0_0_0_10_14_8,-24.0,1
4,107,107,107,1,1,0,1,1,1,1,1,2.116988678657328,piece1of4_02,0_0_0_10_14_8,-24.0,1
5,467,467,467,1,1,0,1,1,1,1,1,1.9028320202927922,piece1of4_03,0_0_0_10_14_8,-24.0,1
6,89,89,89,1,1,0,1,1,1,1,1,2.303410742303497,period2_23,0_0_0_10_14_8,-24.0,1
7,713,713,713,1,1,0,1,1,1,1,1,2.262654737388581,piece1of2_01,0_0_0_10_14_8,-24.0,1
8,865,865,865,1,1,0,1,1,1,1,1,2.440646925514309,linear_a3_b0,0_0_0_10_14_8,-24.0,1
9,405,405,405,1,1,0,1,1,1,1,1,2.8751201158393296,piece1of2_31,0_0_0_10_14_8,-24.0,1
10,765,765,765,1,1,0,1,1,1,1,1,2.1983460866130926,piece1of2_03,0_0_0_10_14_8,-24.0,1
11,1023,1023,1023,1,1,0,1,1,1,1,1,1.89946649740015,piece1of2_21,0_0_0_10_14_8,-24.0,1
12,597,597,597,1,1,0,1,1,1,1,1,1.9988457418679668,linear_a1_b2,0_0_0_10_14_8,-24.0,1
13,562,562,562,1,1,0,1,1,1,1,1,2.1659003885092307,linear_a3_b2,0_0_0_10_14_8,-24.0,1
14,478,478,478,1,1,0,1,1,1,1,1,2.027302002492995,piece3of4_03,0_0_0_10_14_8,-24.0,1
15,267,267,267,1,1,0,1,1,1,1,1,2.082604036629078,piece3of4_01,0_0_0_10_14_8,-24.0,1
16,917,917,917,1,1,0,1,1,1,1,1,3.000393653676368,linear_a1_b1,0_0_0_10_14_8,-24.0,1
17,656,656,656,1,1,0,1,1,1,1,1,2.367788009081131,piece1of4_31,0_0_0_10_14_8,-24.0,1
18,889,889,889,1,1,0,1,1,1,1,1,1.9710503450039094,piece3of4_02,0_0_0_10_14_8,-24.0,1
19,510,510,510,1,1,0,1,1,1,1,1,2.345527816170738,piece1of2_12,0_0_0_10_14_8,-24.0,1
20,860,860,860,1,1,0,1,1,1,1,1,2.761151849726799,period2_10,0_0_0_10_14_8,-24.0,1
21,553,553,553,1,1,0,1,1,1,1,1,2.5669034996252647,piece1of4_01,0_0_0_10_14_8,-24.0,1
22,629,629,629,1,1,0,1,1,1,1,1,2.0712068280362588,linear_a1_b1,0_0_0_10_14_8,-24.0,1
23,759,759,759,1,1,0,1,1,1,1,1,2.8427697837569776,linear_a2_b3,0_0_0_10_14_8,-24.0,1
24,874,874,874,1,1,0,1,1,1,1,1,2.9392331565532097,piece3of4_10,0_0_0_10_14_8,-24.0,1
25,720,720,720,1,1,0,1,1,1,1,1,2.389492817232594,piece1of2_20,0_0_0_10_14_8,-24.0,1
26,314,314,314,1,1,0,1,1,1,1,1,2.2640328948856334,piece1of2_30,0_0_0_10_14_8,-24.0,1
27,602,602,602,1,1,0,1,1,1,1,1,2.6212283439904933,period2_10,0_0_0_10_14_8,-24.0,1
28,7,7,7,1,1,0,1,1,1,1,1,2.682473742822259,piece3of4_23,0_0_0_10_14_8,-24.0,1
29,610,610,610,1,1,0,1,1,1,1,1,2.5695100662337467,linear_a1_b1,0_0_0_10_14_8,-24.0,1
30,842,842,842,1,1,0,1,1,1,1,1,2.3575456279949494,piece1of2_02,0_0_0_10_14_8,-24.0,1
31,928,928,928,1,1,0,1,1,1,1,1,2.9129275639953005,piece1of2_03,0_0_0_10_14_8,-24.0,1
32,744,744,744,1,1,0,1,1,1,1,1,2.7734459228108523,linear_a3_b2,0_0_0_10_14_8,-24.0,1
33,586,586,586,1,1,0,1,1,1,1,1,3.3890411803243965,piece3of4_20,0_0_0_10_14_8,-24.0,1
34,91,91,91,1,1,0,1,1,1,1,1,2.1436686680124017,linear_a2_b0,0_0_0_10_14_8,-24.0,1
0,803,803,803,1,1,0,1,1,1,1,1,2.0990219893762787,period2_12,0_0_0_10_14_8,-24.0,2
1,711,711,711,1,1,0,1,1,1,1,1,2.644779919672378,piece1of2_20,0_0_0_10_14_8,-24.0,2
2,871,871,871,1,1,0,1,1,1,1,1,2.924540431440821,piece3of4_02,0_0_0_10_14_8,-24.0,2
3,718,718,718,1,1,0,1,1,1,1,1,2.305238397731887,piece1of4_13,0_0_0_10_14_8,-24.0,2
4,86,86,86,1,1,0,1,1,1,1,1,2.45946054893442,piece1of4_10,0_0_0_10_14_8,-24.0,2
5,467,467,467,1,1,0,1,1,1,1,1,2.061346907783351,piece1of2_03,0_0_0_10_14_8,-24.0,2
6,89,89,89,1,1,0,1,1,1,1,1,2.3022419128634084,period2_23,0_0_0_10_14_8,-24.0,2
7,713,713,713,1,1,0,1,1,1,1,1,2.111717928220536,piece3of4_31,0_0_0_10_14_8,-24.0,2
8,865,865,865,1,1,0,1,1,1,1,1,2.7110937533854162,piece1of4_12,0_0_0_10_14_8,-24.0,2
9,405,405,405,1,1,0,1,1,1,1,1,3.338577358724169,piece1of2_20,0_0_0_10_14_8,-24.0,2
10,765,765,765,1,1,0,1,1,1,1,1,2.220704413019185,piece1of4_21,0_0_0_10_14_8,-24.0,2
11,1023,1023,1023,1,1,0,1,1,1,1,1,1.946535735586877,period2_10,0_0_0_10_14_8,-24.0,2
12,597,597,597,1,1,0,1,1,1,1,1,1.942408343218805,fixed_b2,0_0_0_10_14_8,-24.0,2
13,562,562,562,1,1,0,1,1,1,1,1,2.6144841070374425,linear_a1_b2,0_0_0_10_14_8,-24.0,2
14,478,478,478,1,1,0,1,1,1,1,1,2.22363020284824,linear_a1_b3,0_0_0_10_14_8,-24.0,2
15,267,267,267,1,1,0,1,1,1,1,1,2.3595322665028546,piece3of4_32,0_0_0_10_14_8,-24.0,2
16,917,917,917,1,1,0,1,1,1,1,1,2.1361303670911553,linear_a3_b1,0_0_0_10_14_8,-24.0,2
17,656,656,656,1,1,0,1,1,1,1,1,2.287743764523222,piece3of4_03,0_0_0_10_14_8,-24.0,2
18,889,889,889,1,1,0,1,1,1,1,1,2.5623902784318298,period2_01,0_0_0_10_14_8,-24.0,2
19,510,510,510,1,1,0,1,1,1,1,1,2.774226207721742,piece1of2_10,0_0_0_10_14_8,-24.0,2
20,860,860,860,1,1,0,1,1,1,1,1,2.6935674617994616,piece1of2_12,0_0_0_10_14_8,-24.0,2
21,553,553,553,1,1,0,1,1,1,1,1,2.203362987202483,piece3of4_13,0_0_0_10_14_8,-24.0,2
22,629,629,629,1,1,0,1,1,1,1,1,1.9098026687563248,piece1of2_32,0_0_0_10_14_8,-24.0,2
23,759,759,759,1,1,0,1,1,1,1,1,2.264637224163285,piece1of2_32,0_0_0_10_14_8,-24.0,2
24,874,874,874,1,1,0,1,1,1,1,1,2.4871514461022963,piece1of2_30,0_0_0_10_14_8,-24.0,2
25,720,720,720,1,1,0,1,1,1,1,1,1.6867241588609871,piece1of4_03,0_0_0_10_14_8,-24.0,2
26,314,314,314,1,1,0,1,1,1,1,1,2.7622850470681333,piece1of4_02,0_0_0_10_14_8,-24.0,2
27,602,602,602,1,1,0,1,1,1,1,1,2.009241954431212,linear_a1_b0,0_0_0_10_14_8,-24.0,2
28,7,7,7,1,1,0,1,1,1,1,1,2.5219654499507946,linear_a1_b2,0_0_0_10_14_8,-24.0,2
29,610,610,610,1,1,0,1,1,1,1,1,2.9855388576398267,piece1of4_31,0_0_0_10_14_8,-24.0,2
30,874,874,874,1,1,0,1,1,1,1,1,2.821772301585079,piece1of4_32,0_0_0_10_14_8,-24.0,2
31,913,913,913,1,1,0,1,1,1,1,1,2.310090242244553,period2_32,0_0_0_10_14_8,-24.0,2
32,757,757,757,1,1,0,1,1,1,1,1,2.9359483087255454,piece1of2_23,0_0_0_10_14_8,-24.0,2
33,587,587,587,1,1,0,1,1,1,1,1,2.6707948974040887,period2_32,0_0_0_10_14_8,-24.0,2
34,932,932,932,1,1,0,1,1,1,1,1,1.5580214765946334,piece1of4_32,0_0_0_10_14_8,-24.0,2
0,222,222,222,1,1,0,1,1,1,1,1,2.6073289383547658,linear_a2_b1,0_0_0_10_14_8,-24.0,3
1,826,826,826,1,1,0,1,1,1,1,1,2.195292373872574,piece1of4_12,0_0_0_10_14_8,-24.0,3
2,871,871,871,1,1,0,1,1,1,1,1,2.299022788980187,piece3of4_10,0_0_0_10_14_8,-24.0,3
3,718,718,718,1,1,0,1,1,1,1,1,2.6329555063856454,piece3of4_13,0_0_0_10_14_8,-24.0,3
4,86,86,86,1,1,0,1,1,1,1,1,2.082261322718052,linear_a1_b2,0_0_0_10_14_8,-24.0,3
5,467,467,467,1,1,0,1,1,1,1,1,2.7890092194490443,fixed_b0,0_0_0_10_14_8,-24.0,3
6,89,89,89,1,1,0,1,1,1,1,1,2.5514448095814033,linear_a2_b0,0_0_0_10_14_8,-24.0,3
7,713,713,713,1,1,0,1,1,1,1,1,2.5047035597123144,linear_a3_b3,0_0_0_10_14_8,-24.0,3
8,865,865,865,1,1,0,1,1,1,1,1,2.1559358553047727,piece1of2_03,0_0_0_10_14_8,-24.0,3
9,405,405,405,1,1,0,1,1,1,1,1,2.2677933756162827,piece3of4_31,0_0_0_10_14_8,-24.0,3
10,765,765,765,1,1,0,1,1,1,1,1,2.083847552894571,fixed_b3,0_0_0_10_14_8,-24.0,3
11,1023,1023,1023,1,1,0,1,1,1,1,1,1.8307892781662636,piece3of4_31,0_0_0_10_14_8,-24.0,3
12,597,597,597,1,1,0,1,1,1,1,1,2.3383304168284473,piece1of4_31,0_0_0_10_14_8,-24.0,3
13,562,562,562,1,1,0,1,1,1,1,1,2.3626821508347726,fixed_b0,0_0_0_10_14_8,-24.0,3
14,478,478,478,1,1,0,1,1,1,1,1,2.378888393514522,linear_a2_b1,0_0_0_10_14_8,-24.0,3
15,267,267,267,1,1,0,1,1,1,1,1,1.9887041975703896,linear_a2_b2,0_0_0_10_14_8,-24.0,3
16,917,917,917,1,1,0,1,1,1,1,1,2.33684536887335,period2_01,0_0_0_10_14_8,-24.0,3
17,656,656,656,1,1,0,1,1,1,1,1,1.9982912299663695,piece1of2_01,0_0_0_10_14_8,-24.0,3
18,889,889,889,1,1,0,1,1,1,1,1,3.2753477992683253,piece1of2_32,0_0_0_10_14_8,-24.0,3
19,510,510,510,1,1,0,1,1,1,1,1,2.6935713408133326,piece1of2_02,0_0_0_10_14_8,-24.0,3
20,860,860,860,1,1,0,1,1,1,1,1,2.6460643856871964,piece1of4_12,0_0_0_10_14_8,-24.0,3
21,553,553,553,1,1,0,1,1,1,1,1,2.042763940773478,period2_32,0_0_0_10_14_8,-24.0,3
