event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_bin_div_os,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,638976,692224,156,165,10,436,109.0,436,436,1732.7059761692567,2.045092431237454,0.2824634929329209,10,125000.0,500000.0,4,4096,4,4096,6,2
1,3133440,3190784,765,775,11,32,8.0,32,32,4482.016647101551,6.818461201744071,0.6838014787758877,10,125000.0,500000.0,4,4096,4,4096,6,2
2,5632000,5685248,1375,1384,10,3642,910.5,3642,3642,1561.1549293846638,0.7248922052254196,0.41998810357474836,10,125000.0,500000.0,4,4096,4,4096,6,2
3,8134656,8192000,1986,1996,11,131,32.75,131,131,3848.03504212627,7.059373678745056,0.6106121953033045,10,125000.0,500000.0,4,4096,4,4096,6,2
4,10633216,10686464,2596,2605,10,3845,961.25,3845,3845,2921.2257085119613,7.94294695263698,0.6891551688037082,10,125000.0,500000.0,4,4096,4,4096,6,2
5,13135872,13193216,3207,3217,11,327,81.75,327,327,866.5827800368922,2.20882183952477,0.2958530304618713,10,125000.0,500000.0,4,4096,4,4096,6,2
6,15634432,15687680,3817,3826,10,3946,986.5,3946,3946,2447.961348391599,9.389698253895308,0.7368343745263298,10,125000.0,500000.0,4,4096,4,4096,6,2
7,18137088,18194432,4428,4438,11,292,73.0,292,292,1370.1816064834381,3.5237680472041646,0.38264039024321767,10,125000.0,500000.0,4,4096,4,4096,6,2
8,20635648,20688896,5038,5047,10,3874,968.5,3874,3874,1922.3376169418261,5.189749925685648,0.6161604622299851,10,125000.0,500000.0,4,4096,4,4096,6,2
9,23138304,23195648,5649,5659,11,243,60.75,243,243,1715.3880202821188,6.040615896550064,0.4733693934121258,10,125000.0,500000.0,4,4096,4,4096,6,2
