event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,921600,1011712,225,243,19,3755,-341,3755,3755,1795.3165490793208,2.681693075955257,0.5558108248892805,10,125000.0,500000.0,4,4096,4,4096,12,2
1,2437120,2514944,595,610,16,443,443,443,443,914.6304185232007,1.5586570222350038,0.2375139418989491,10,125000.0,500000.0,4,4096,4,4096,12,2
2,3923968,4014080,958,976,19,136,136,136,136,1972.2912680135398,10.521931183632253,0.5729239077920114,10,125000.0,500000.0,4,4096,4,4096,12,2
3,5423104,5509120,1324,1341,18,3925,-171,3925,3925,1534.1916445031309,2.935183344132753,0.44904481131667984,10,125000.0,500000.0,4,4096,4,4096,12,2
4,6922240,7008256,1690,1707,18,3618,-478,3618,3618,929.6862394562904,1.4233113655130225,0.4228210668673574,10,125000.0,500000.0,4,4096,4,4096,12,2
5,8425472,8515584,2057,2075,19,239,239,239,240,1231.3195973076927,0.9525788712789812,0.3351178302909953,10,125000.0,500000.0,4,4096,4,4096,12,2
6,9924608,10010624,2423,2440,18,4028,-68,4028,4028,2146.641524095785,4.473966213103285,0.5804914353841719,10,125000.0,500000.0,4,4096,4,4096,12,2
7,11423744,11509760,2789,2806,18,3721,-375,3721,3721,1394.078481324998,3.615444487985803,0.5122922019941977,10,125000.0,500000.0,4,4096,4,4096,12,2
8,12926976,13012992,3156,3173,18,342,342,342,342,1399.773727439009,4.491202115483636,0.3514398401904783,10,125000.0,500000.0,4,4096,4,4096,12,2
9,14426112,14516224,3522,3540,19,35,35,35,35,2604.936140112621,9.265849378761049,0.6954266720035129,10,125000.0,500000.0,4,4096,4,4096,12,2
10,15925248,16011264,3888,3905,18,3823,-273,3823,3823,1430.1158602721844,1.5721153502387852,0.433982917206066,10,125000.0,500000.0,4,4096,4,4096,12,2
11,17436672,17518592,4257,4273,17,444,444,444,444,1148.8587174780675,1.3128563400444746,0.25219975786768967,10,125000.0,500000.0,4,4096,4,4096,12,2
12,18927616,19017728,4621,4639,19,136,136,136,136,3220.8770711053435,9.45466390033836,0.6400531190812588,10,125000.0,500000.0,4,4096,4,4096,12,2
13,20426752,20512768,4987,5004,18,3925,-171,3925,3925,3482.3372396639706,11.881824993387205,0.7730725352986241,10,125000.0,500000.0,4,4096,4,4096,12,2
