packet_index,payload_symbol_index,gt_bin,bank_kind,pattern_count,savaux_selected_bin,savaux_ok,savaux_gt_rank,savaux_gt_power,savaux_gt_margin_db,savaux_gt_floor_db,plain_coherent_selected_bin,plain_coherent_ok,plain_coherent_gt_rank,plain_coherent_gt_power,plain_coherent_gt_margin_db,plain_coherent_gt_floor_db,lora_coherent_selected_bin,lora_coherent_ok,lora_coherent_gt_rank,lora_coherent_gt_power,lora_coherent_gt_margin_db,lora_coherent_gt_floor_db,lora_mean_power_selected_bin,lora_mean_power_ok,lora_mean_power_gt_rank,lora_mean_power_gt_power,lora_mean_power_gt_margin_db,lora_mean_power_gt_floor_db,lora_best_power_selected_bin,lora_best_power_ok,lora_best_power_gt_rank,lora_best_power_gt_power,lora_best_power_gt_margin_db,lora_best_power_gt_floor_db,lora_stable_power_selected_bin,lora_stable_power_ok,lora_stable_power_gt_rank,lora_stable_power_gt_power,lora_stable_power_gt_margin_db,lora_stable_power_gt_floor_db,lora_adaptive_gls_selected_bin,lora_adaptive_gls_ok,lora_adaptive_gls_gt_rank,lora_adaptive_gls_gt_power,lora_adaptive_gls_gt_margin_db,lora_adaptive_gls_gt_floor_db,lora_crossfit_gls_selected_bin,lora_crossfit_gls_ok,lora_crossfit_gls_gt_rank,lora_crossfit_gls_gt_power,lora_crossfit_gls_gt_margin_db,lora_crossfit_gls_gt_floor_db,lora_offpacket_gls_selected_bin,lora_offpacket_gls_ok,lora_offpacket_gls_gt_rank,lora_offpacket_gls_gt_power,lora_offpacket_gls_gt_margin_db,lora_offpacket_gls_gt_floor_db,dataset,snr_db,seed,noise_mode,covariance_source,white_effective_replicas,empirical_effective_replicas,cross_validated_effective_replicas
1,0,222,multiscale_only_diverse16,16,222,True,1,0.7324391971456521,18.251611100435277,40.876284222027614,222,True,1,0.02200555936699312,7.2560074623180295,37.791329194413215,222,True,1,0.04581167796067618,18.28549536979691,40.74189666230101,222,True,1,0.04582294741655302,13.588700955496808,34.03991578072917,222,True,1,0.04710683860028095,8.526903115923984,29.031826927927415,222,True,1,0.732259064882669,18.321076316648533,47.817268755147914,222,True,1,7228.04524094289,18.32497802100669,40.871294426323416,222,True,1,7164.553841943026,18.27453025762327,40.669768599351094,222,True,1,0.04581167796067618,18.28549536979691,40.74189666230101,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,1,826,multiscale_only_diverse16,16,826,True,1,0.6725193482901801,20.287419690217806,40.173705157388326,826,True,1,0.025611580898229697,9.57440185971232,38.306292789521855,826,True,1,0.04198527926201327,20.115960010069976,40.146823628023725,826,True,1,0.041995145179290434,13.083983628362954,33.16272596742057,826,True,1,0.04339105144838906,7.753550503646887,28.162884922160636,826,True,1,0.6723613533545942,20.422519154303487,47.33545734472066,826,True,1,6749.194675104083,20.30270466091008,40.3638818707877,826,True,1,6743.179721710195,20.132829951839803,40.15655088067675,826,True,1,0.04198527926201327,20.115960010069976,40.146823628023725,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,2,922,multiscale_only_diverse16,16,922,True,1,0.8157760012935888,18.51850218383175,42.876862552051676,922,True,1,0.04419450558230738,14.474476419648463,42.93227416022112,922,True,1,0.05105955024026896,18.573538999079084,42.6065177871402,922,True,1,0.05106591796572163,13.119129033917066,35.758786362107784,922,True,1,0.05229507146536695,7.816152091485307,30.54473281979933,922,True,1,0.8156742771336394,18.564256027213037,50.019449536867874,922,True,1,9909.245479064306,18.53186848680782,42.877885316074185,922,True,1,9657.240703587177,18.22789991932175,42.463292173791416,922,True,1,0.05105955024026896,18.573538999079084,42.6065177871402,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,3,718,multiscale_only_diverse16,16,355,False,9,0.7217620553341,-2.1417030371292096,8.441847551303754,626,False,155,0.017537755307810262,-6.244032391107642,4.21488111245763,355,False,11,0.04457636446592087,-1.7358653077914508,8.283027948032835,420,False,12,0.06879675823042383,-0.9326414685775714,3.2410648734564167,260,False,217,0.1364345061727732,-3.382869937367963,1.261254684641401,355,False,9,0.46766053028959387,-3.0660032148908565,13.400921501516102,355,False,7,5.259161333810964,-1.6241263497619927,8.531204381175105,355,False,6,5.632433903339095,-1.3392510796542818,8.573010207511196,355,False,11,0.04457636446592087,-1.7358653077914508,8.283027948032835,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,4,107,multiscale_only_diverse16,16,337,False,27,0.6117828189235333,-23.747642543161952,10.44455550597268,338,False,33,0.027502517599595155,-23.144491530475612,9.043435372216377,337,False,24,0.04143830934318254,-23.3996975331251,10.415546759617424,337,False,64,0.05907314030634813,-21.866428744776556,5.12710113833713,337,False,117,0.13335434610969973,-18.763716728406582,3.673110510315099,337,False,28,0.4291501276202393,-25.280911331510495,15.926488556353567,337,False,27,5.726254320523154,-24.032073468338893,10.315126929975326,337,False,27,6.205989105112133,-23.56061881645996,10.595828446323711,337,False,24,0.04143830934318254,-23.3996975331251,10.415546759617424,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,5,468,multiscale_only_diverse16,16,337,False,10,0.997674507430478,-12.264650637799758,20.582008821576117,338,False,38,0.007734044449894148,-19.583813629053907,10.99936583683986,337,False,10,0.06227749532096437,-12.252864017839078,20.33053442457075,337,False,10,0.0673250970564391,-11.921013239712346,13.607745202180938,337,False,12,0.12812988521753405,-9.383074553268324,11.36067954815597,337,False,10,0.9228753048251943,-12.59650141592649,27.48784674478093,337,False,10,47.89565373272765,-12.770138211759265,20.457604489199053,337,False,10,51.57821795949065,-12.465258924787307,20.750241521182538,337,False,10,0.06227749532096437,-12.252864017839078,20.33053442457075,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,6,89,multiscale_only_diverse16,16,128,False,17,1.1425719069166007,-23.03458352062298,19.443092851007176,128,False,18,0.06971597481336989,-22.199550707956327,19.995079579910616,128,False,17,0.06967050845264267,-23.153927508911867,18.931288343737727,128,False,54,0.07300022440844142,-22.952009530288628,12.227097230882972,128,False,109,0.11282375023240374,-21.22763260059138,8.858725587595224,128,False,17,1.0904564519308528,-23.236501499246213,26.692847400612138,128,False,17,24.50086859508296,-23.13197503043059,19.28869011323254,128,False,17,25.25731742154882,-22.83909638477207,19.24280954262982,128,False,17,0.06967050845264267,-23.153927508911867,18.931288343737727,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,7,713,multiscale_only_diverse16,16,128,False,15,0.7041568364746951,-14.777922206907348,25.806675211952623,128,False,26,0.015285972185128194,-19.013587934751193,20.490350856657756,128,False,15,0.04452673848836293,-14.705104250685231,25.364848586608588,128,False,33,0.0449946291452211,-14.662285022577812,14.678334970586665,128,False,65,0.05914610854061229,-13.722110514899592,10.327879012924992,128,False,15,0.6968344424243752,-14.820741435014765,37.08651960586708,128,False,15,52.02910102889823,-14.813266589407512,25.86047877089382,128,False,15,53.28178295689166,-14.815503863504711,25.92937496698532,128,False,15,0.04452673848836293,-14.705104250685231,25.364848586608588,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,8,865,multiscale_only_diverse16,16,865,True,1,0.8108549489325902,18.10779407143342,42.8831482140848,865,True,1,0.03545162742870467,10.747696555446849,41.801725308632086,865,True,1,0.05067380830165975,18.05828478652637,42.716077695566526,865,True,1,0.05067973490998561,12.278854465528642,35.93681045404785,865,True,1,0.052115996624704466,6.878972164020174,30.801781573672734,865,True,1,0.8107601256329036,18.170435752953534,49.93361532192495,865,True,1,9549.853283040886,18.085678971693298,42.81647350759763,865,True,1,9515.655262874421,17.871729925533383,42.64340480483695,865,True,1,0.05067380830165975,18.05828478652637,42.716077695566526,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,9,492,multiscale_only_diverse16,16,492,True,1,0.8031406826014553,14.932403081995073,42.84578157873767,493,False,5,0.0007518091901832806,-11.481638389697393,24.654662342815513,492,True,1,0.050282906948627006,14.925971908973244,42.76817952299554,492,True,1,0.05029164226879614,11.955281196186554,35.81188983965694,492,True,1,0.05118442652880551,6.6755952339332705,30.65479682552166,492,True,1,0.8030011824641187,14.951524558304968,50.292732125529646,492,True,1,10186.029030053289,14.949526354777484,43.0223312444858,492,True,1,10082.244887026847,14.98897732812025,42.8101216693816,492,True,1,0.050282906948627006,14.925971908973244,42.76817952299554,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
