packet_index,frame_index,event_index,payload_symbol_index,start_sample,paper_start_sample,paper_origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,center_raw_fft_bin,center_signed_fft_bin,center_symbol_value,paper_raw_fft_bin,paper_signed_fft_bin,paper_symbol_value,center_raw_hit,paper_raw_hit,center_symbol_hit,paper_symbol_hit,center_gt_rank,paper_gt_rank,center_peak_power,paper_peak_power,paper_peak_margin_db,paper_total_power
1,0,1,0,2550960,2550962,2,10,4,continuous,222,222,221,222,222,221,222,222,221,1,1,1,1,1,1,49.89771304944588,0.7324391971456521,18.251611100435277,0.8616736824031126
1,0,1,1,2555056,2555058,2,10,4,continuous,826,-198,825,826,-198,825,826,-198,825,1,1,1,1,1,1,45.496393596069765,0.6725190550093352,20.287417796290434,0.7947247031075119
1,0,1,2,2559152,2559154,2,10,4,continuous,922,-102,921,922,-102,921,922,-102,921,1,1,1,1,1,1,55.36506041368648,0.8157760012935888,18.518501579682756,0.9403523214780412
1,0,1,3,2563248,2563250,2,10,4,continuous,718,-306,717,718,-306,717,718,-306,717,1,1,1,1,1,1,54.776403549112956,0.8106455324256245,19.008089318467295,0.9305458023412743
1,0,1,4,2567344,2567346,2,10,4,continuous,107,107,106,107,107,106,107,107,106,1,1,1,1,1,1,54.2808547097959,0.815387573422047,16.032186210281466,0.9398241711038102
1,0,1,5,2571440,2571442,2,10,4,continuous,468,468,467,468,468,467,468,468,467,1,1,1,1,1,1,53.97080885119999,0.8090703557568055,18.491579457911637,0.9271410853244014
1,0,1,6,2575536,2575538,2,10,4,continuous,89,89,88,89,89,88,89,89,88,1,1,1,1,1,1,53.95471691991497,0.7988324475218747,17.155451234831762,0.9332926539696309
1,0,1,7,2579633,2579635,2,10,4,continuous,713,-311,712,713,-311,712,713,-311,712,1,1,1,1,1,1,52.02415403894065,0.7948283574316974,16.621810937983156,0.9301989545741021
1,0,1,8,2583729,2583731,2,10,4,continuous,865,-159,864,865,-159,864,865,-159,864,1,1,1,1,1,1,53.629268531545904,0.8108549489325902,18.10779407143342,0.9369101223572339
1,0,1,9,2587825,2587827,2,10,4,continuous,492,492,491,492,492,491,492,492,491,1,1,1,1,1,1,53.70893606046229,0.8031406826014553,14.932402276136667,0.9364651128907773
1,0,1,10,2591921,2591923,2,10,4,continuous,765,-259,764,765,-259,764,765,-259,764,1,1,1,1,1,1,53.954373670200084,0.8085675403278323,18.813894191730355,0.9281135067197339
1,0,1,11,2596017,2596019,2,10,4,continuous,1023,-1,1022,1023,-1,1022,1023,-1,1022,1,1,1,1,1,1,55.14644091057767,0.8180554623780303,21.00895930517867,0.9212661351133803
1,0,1,12,2600113,2600115,2,10,4,continuous,597,-427,596,597,-427,596,597,-427,596,1,1,1,1,1,1,54.82225645426661,0.8166192768549685,17.274594267033937,0.9227254836680211
1,0,1,13,2604209,2604211,2,10,4,continuous,562,-462,561,562,-462,561,562,-462,561,1,1,1,1,1,1,43.68216125785784,0.6683838175153056,18.283266844628052,0.8067017629437511
1,0,1,14,2608305,2608307,2,10,4,continuous,478,478,477,478,478,477,478,478,477,1,1,1,1,1,1,48.175633978373526,0.7436015491827597,16.3779449908565,0.8708792084059759
1,0,1,15,2612401,2612403,2,10,4,continuous,267,267,266,267,267,266,267,267,266,1,1,1,1,1,1,54.40755558616024,0.8194591325832903,18.823797277252506,0.9261292099152895
1,0,1,16,2616497,2616499,2,10,4,continuous,917,-107,916,917,-107,916,917,-107,916,1,1,1,1,1,1,56.52995524174548,0.8472619472386214,25.023748208778194,0.9393422402709563
1,0,1,17,2620593,2620595,2,10,4,continuous,656,-368,655,656,-368,655,656,-368,655,1,1,1,1,1,1,55.8393086715696,0.8303647132402183,19.153769775783626,0.9365566372996702
1,0,1,18,2624689,2624691,2,10,4,continuous,889,-135,888,889,-135,888,889,-135,888,1,1,1,1,1,1,54.819248424138095,0.8129551158552637,22.44950677229296,0.9179403769481185
1,0,1,19,2628785,2628787,2,10,4,continuous,510,510,509,510,510,509,510,510,509,1,1,1,1,1,1,55.030745590230254,0.8261818151619451,18.07143159117949,0.9280820194607856
