packet_index,frame_index,event_index,payload_symbol_index,start_sample,paper_start_sample,paper_origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,center_raw_fft_bin,center_signed_fft_bin,center_symbol_value,paper_raw_fft_bin,paper_signed_fft_bin,paper_symbol_value,center_raw_hit,paper_raw_hit,center_symbol_hit,paper_symbol_hit,center_gt_rank,paper_gt_rank,center_peak_power,paper_peak_power,paper_peak_margin_db,paper_total_power
1,0,1,0,2550960,2550962,2,10,4,continuous,222,222,221,222,222,221,222,222,221,1,1,1,1,1,1,129.68837968203297,0.8393959763987233,3.7373549813989024,48.076354135228534
1,0,1,1,2555056,2555058,2,10,4,continuous,826,-198,825,1007,-17,1006,826,-198,825,0,1,0,1,96,1,85.67181547958535,0.38628175450770996,1.4364238089209715,46.1566479150455
1,0,1,2,2559152,2559154,2,10,4,continuous,922,-102,921,637,-387,636,922,-102,921,0,1,0,1,201,1,107.66959766770015,0.7823541100195577,3.8282932292671608,49.76298892002974
1,0,1,3,2563248,2563250,2,10,4,continuous,718,-306,717,718,-306,717,718,-306,717,1,1,1,1,1,1,103.36235862684498,0.9674399213099747,3.9894499691321577,47.3179467529188
1,0,1,4,2567344,2567346,2,10,4,continuous,107,107,106,989,-35,988,107,107,106,0,1,0,1,8,1,96.92235903654728,1.1229825595558083,4.483424137696749,48.61991873039855
1,0,1,5,2571440,2571442,2,10,4,continuous,468,468,467,880,-144,879,468,468,467,0,1,0,1,633,1,90.14180281065,0.8320944386992437,4.8251970898161565,48.95257685609757
1,0,1,6,2575536,2575538,2,10,4,continuous,89,89,88,921,-103,920,89,89,88,0,1,0,1,792,1,86.75456006640161,0.8079422946558488,4.295074574096487,47.55926777998644
1,0,1,7,2579633,2579635,2,10,4,continuous,713,-311,712,713,-311,712,713,-311,712,1,1,1,1,1,1,154.13449731558012,0.8468349382156362,4.777262148228053,48.673626397699
1,0,1,8,2583729,2583731,2,10,4,continuous,865,-159,864,865,-159,864,865,-159,864,1,1,1,1,1,1,128.6093384543792,1.0043391466317644,5.669467877410676,48.54574745535364
1,0,1,9,2587825,2587827,2,10,4,continuous,492,492,491,449,449,448,492,492,491,0,1,0,1,3,1,90.77549435984201,0.8055153056876065,4.156964932656717,48.755926028889746
1,0,1,10,2591921,2591923,2,10,4,continuous,765,-259,764,91,91,90,765,-259,764,0,1,0,1,24,1,88.78655504497965,0.8728607010521614,4.397263840833836,48.406098285353785
1,0,1,11,2596017,2596019,2,10,4,continuous,1023,-1,1022,648,-376,647,1023,-1,1022,0,1,0,1,11,1,84.76942443847656,0.9766852204302836,4.687728071508329,48.566419183869115
1,0,1,12,2600113,2600115,2,10,4,continuous,597,-427,596,134,134,133,597,-427,596,0,1,0,1,603,1,91.14362347302085,0.4089764398946869,1.2352668026816445,46.68966823839147
1,0,1,13,2604209,2604211,2,10,4,continuous,562,-462,561,285,285,284,562,-462,561,0,1,0,1,10,1,78.79802798622768,0.5140990113373824,2.545208182845349,46.31620081084627
1,0,1,14,2608305,2608307,2,10,4,continuous,478,478,477,82,82,81,478,478,477,0,1,0,1,5,1,105.50062891041398,0.6356721477346561,2.5270971699770546,47.89757788402201
1,0,1,15,2612401,2612403,2,10,4,continuous,267,267,266,498,498,497,267,267,266,0,1,0,1,11,1,93.7276097825461,0.7925860760871082,4.205077193790297,47.641035375284886
1,0,1,16,2616497,2616499,2,10,4,continuous,917,-107,916,970,-54,969,917,-107,916,0,1,0,1,69,1,88.29379315306232,1.0741525532043994,4.821096097191847,49.44796552250987
1,0,1,17,2620593,2620595,2,10,4,continuous,656,-368,655,775,-249,774,656,-368,655,0,1,0,1,116,1,93.63973404655644,0.7493702486244871,3.9650101216067917,46.89876504552413
1,0,1,18,2624689,2624691,2,10,4,continuous,889,-135,888,554,-470,553,889,-135,888,0,1,0,1,24,1,73.77969780466174,0.7606779638308581,4.148766312672504,47.7653391308566
1,0,1,19,2628785,2628787,2,10,4,continuous,510,510,509,510,510,509,510,510,509,1,1,1,1,1,1,107.63415417859596,1.0533831101384408,4.565776007934379,46.42652328152235
1,0,1,20,2632881,2632883,2,10,4,continuous,860,-164,859,337,337,336,860,-164,859,0,1,0,1,9,1,88.58884411611143,0.7960224231262067,4.09348516482089,49.3317254657413
1,0,1,21,2636977,2636979,2,10,4,continuous,553,-471,552,553,-471,552,553,-471,552,1,1,1,1,1,1,71.41982370536789,1.0754514571317486,4.6452021129779455,47.44973148353776
