packet_index,frame_index,event_index,sf,bw,os_factor,payload_len,cr,has_crc,ldro,cfo_correction_mode,paper_origin_shift,symbol_count,gt_compared_symbols,center_raw_ser,center_symbol_ser,paper_raw_ser,paper_symbol_ser,paper_symbol_ser_gain_vs_center,center_crc_valid,paper_crc_valid,paper_crc_gain_vs_center,center_mean_gt_rank,paper_mean_gt_rank,center_payload_hex,paper_payload_hex,center_crc_computed,center_crc_received,paper_crc_computed,paper_crc_received,center_decode_error,paper_decode_error
1,0,1,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.8,0.8,0.02857142857142857,0.02857142857142857,0.7714285714285715,0,0,0,129.57142857142858,1.0571428571428572,4004734473202201580120e3e5aee089f0c3f19cf0b466f17f921c438bf5422132,404433221100020058303132773075323738393a3b3c3d3e3f4041424378563412,0x08b8,0x1f53,0xcc0e,0x4d14,,
2,1,2,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.8857142857142857,0.8857142857142857,0.08571428571428572,0.08571428571428572,0.7999999999999999,0,0,0,121.94285714285714,1.9428571428571428,405476f21dc59b166082ef1044645463575d596c0abf04f246aac5aaca629cdf63,404433221100030058303172333071323338393a3b3c3d3e3f4041424378563412,0x905a,0xc0a2,0x6586,0x09a0,,
3,2,3,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.6857142857142857,0.6857142857142857,0.02857142857142857,0.02857142857142857,0.6571428571428571,0,0,0,48.77142857142857,1.0285714285714285,40e4f6505894084458616cffd17abfd63338393b3addd50227b42c71011f731455,406411223102040058303132333435363738393a3b3c3d3e3f4041424378563412,0x6376,0xe7e8,0x29ff,0xc08d,,
5,3,5,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.7142857142857143,0.7142857142857143,0.11428571428571428,0.11428571428571428,0.6,0,0,0,56.94285714285714,1.1428571428571428,40d4ae2e090d7f201971010422051436d737292e71005504cf00056853f3b73496,404433221100060058303132333435363774b5beb7383d36374041424378563412,0x43aa,0xcf21,0x3097,0x4be5,,
6,4,6,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.7428571428571429,0.7428571428571429,0.05714285714285714,0.05714285714285714,0.6857142857142857,0,0,0,87.51428571428572,1.0571428571428572,40c4318a39a89fe62b7474aaa3a5ad3fef2db0bba735ccf766772e39ea5e444670,40641102312025207a323132333435363738393a3b3c3d3e3f4041424378563412,0x12b5,0x2b10,0xfe7c,0x0e51,,
8,5,8,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.8,0.8,0.05714285714285714,0.05714285714285714,0.7428571428571429,0,0,0,44.02857142857143,1.0857142857142856,40443ba29108894810607126777139267671a523ee04e13e84de02725d92d66059,404433221100090058303132773035723738393a3b3c3d3e3f4041424378563452,0xce1b,0xede2,0xfb5c,0x8a6a,,
9,6,9,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.8285714285714286,0.8285714285714286,0.11428571428571428,0.11428571428571428,0.7142857142857143,0,0,0,115.8,1.1142857142857143,4024782b62eb21025800037072fffcb738a82d7efa3db3d04ce5e25bd9535dff1c,4044332211000a0058303132333435363738393a3b2c3d2e3e504142437856f412,0x28dd,0xa6de,0x8b31,0xccfa,,
10,7,10,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.7714285714285715,0.7714285714285715,0.02857142857142857,0.02857142857142857,0.7428571428571429,0,0,0,76.97142857142858,1.0285714285714285,405473a258541fe83668d1b1e66c68721a5e21523b9f153e9fc8a9a4a9b0fa1022,4044332211000b0058303132333435363738393a3bbcbdb63fc041424378563412,0xc5d4,0x1562,0x69bf,0x0542,,
11,8,11,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.6285714285714286,0.6285714285714286,0.0,0.0,0.6285714285714286,0,1,1,26.4,1.0,4094aa66c98020267e70135031655454e6e57e1b251d9dbeb740e12738de979530,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,0x93a2,0x6f67,0xcd6f,0xcd6f,,
12,9,12,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.4857142857142857,0.4857142857142857,0.0,0.0,0.4857142857142857,0,1,1,15.542857142857143,1.0,4064101200010e467e36377637743132a3203922ab2d2c3e2e412124477876f4f8,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,0x636c,0x53f1,0x88db,0x88db,,
13,10,13,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.7142857142857143,0.7142857142857143,0.02857142857142857,0.02857142857142857,0.6857142857142857,0,1,1,57.628571428571426,1.0285714285714285,40c43f22150c22072f230246f0103e3c3a1a380b091d1b7a794607027629105066,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,0xfd55,0x4172,0x4607,0x4607,,
