packet_index,frame_index,event_index,payload_symbol_index,start_sample,paper_start_sample,paper_origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,center_raw_fft_bin,center_signed_fft_bin,center_symbol_value,paper_raw_fft_bin,paper_signed_fft_bin,paper_symbol_value,center_raw_hit,paper_raw_hit,center_symbol_hit,paper_symbol_hit,center_gt_rank,paper_gt_rank,center_peak_power,paper_peak_power,paper_peak_margin_db,paper_total_power
1,0,1,0,2550960,2550962,2,10,4,continuous,222,222,221,222,222,221,222,222,221,1,1,1,1,1,1,173.73480748677048,0.8870477520341105,0.9622860175401131,94.88704184269704
1,0,1,1,2555056,2555058,2,10,4,continuous,826,-198,825,1007,-17,1006,640,-384,639,0,0,0,0,312,40,171.3984665249236,0.5562099324916439,0.11510473214324873,91.48682134357513
1,0,1,2,2559152,2559154,2,10,4,continuous,922,-102,921,637,-387,636,922,-102,921,0,1,0,1,573,1,214.90368399391082,0.8077200766949524,0.9753973544355998,98.399743337857
1,0,1,3,2563248,2563250,2,10,4,continuous,718,-306,717,841,-183,840,718,-306,717,0,1,0,1,6,1,154.73992286995872,1.0550073176342636,1.3436461654410456,93.2546088192655
1,0,1,4,2567344,2567346,2,10,4,continuous,107,107,106,989,-35,988,107,107,106,0,1,0,1,84,1,191.84974723291907,1.2879478936457076,2.0584857160481573,95.94541419603219
1,0,1,5,2571440,2571442,2,10,4,continuous,468,468,467,880,-144,879,468,468,467,0,1,0,1,1011,1,178.9507844949585,0.872091167233723,1.9968034882542405,96.79993148867555
1,0,1,6,2575536,2575538,2,10,4,continuous,89,89,88,921,-103,920,89,89,88,0,1,0,1,991,1,171.560465801821,0.814639830427101,1.3041841513781942,94.06639743789634
1,0,1,7,2579633,2579635,2,10,4,continuous,713,-311,712,713,-311,712,713,-311,712,1,1,1,1,1,1,212.81044829184248,0.8790901026899611,1.9290555154608677,96.10271353974582
1,0,1,8,2583729,2583731,2,10,4,continuous,865,-159,864,575,-449,574,865,-159,864,0,1,0,1,3,1,210.07129367382822,1.1040633232107808,3.0598626303085497,95.82992448200378
1,0,1,9,2587825,2587827,2,10,4,continuous,492,492,491,449,449,448,492,492,491,0,1,0,1,29,1,180.27810706022956,0.8130598085364547,1.2060141185062798,96.34200944644368
