packet_index,frame_index,event_index,sf,bw,os_factor,payload_len,cr,has_crc,ldro,cfo_correction_mode,paper_origin_shift,symbol_count,gt_compared_symbols,center_raw_ser,center_symbol_ser,paper_raw_ser,paper_symbol_ser,paper_symbol_ser_gain_vs_center,center_crc_valid,paper_crc_valid,paper_crc_gain_vs_center,center_mean_gt_rank,paper_mean_gt_rank,center_payload_hex,paper_payload_hex,center_crc_computed,center_crc_received,paper_crc_computed,paper_crc_received,center_decode_error,paper_decode_error
1,0,1,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.8571428571428571,0.8571428571428571,0.08571428571428572,0.08571428571428572,0.7714285714285714,0,0,0,172.71428571428572,1.6285714285714286,40047bcc7b20aa095001a8ebe5aee089f0c3f19cf0b466f17f921c438bf5422132,404431203122000058303132773075323738393a3bbc3db6374041424378563412,0x3f4e,0x1f53,0x61b4,0x4d14,,
2,1,2,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.9428571428571428,0.9428571428571428,0.08571428571428572,0.08571428571428572,0.8571428571428571,0,0,0,171.14285714285714,4.542857142857143,405476f21dc59b166082ef9044e4dc635f5d596c0abf04f246aac5aaca629cdf63,404433221100030058303172333071323338393a3b3c3d3e3f4041424378563412,0x4de3,0xc0a2,0x6586,0x09a0,,
3,2,3,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.7142857142857142,0,0,0,73.71428571428571,2.0285714285714285,40e4f6505894084458616cffc17baec732b2b3b912dfd50227b4acf9019f731c55,4024152231420000583031723330717637183b1a193c3d3e3f4041424378562413,0xe546,0x6f60,0xaf31,0xd18d,,
5,3,5,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.9142857142857143,0.9142857142857143,0.14285714285714285,0.14285714285714285,0.7714285714285714,0,0,0,94.05714285714286,1.8,40f4ac0e090fffa01171894ce20d9cf2d737292e71005504cf00056853f3b72487,404433221100060058303132333435361776b79cb73a3d36374041424378563412,0xc7be,0xce31,0x6747,0x4be5,,
6,4,6,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.8285714285714286,0.8285714285714286,0.17142857142857143,0.17142857142857143,0.6571428571428573,0,0,0,106.6,1.5714285714285714,40c4318a39a89fe62b74748a83a78f1def0fb0b9a737ccf766772e39ea5e444670,40641102312025207a3231b2b3343dbe3738393a3b3c3d3e3f4041420338163456,0xfc3c,0x2b10,0xc04b,0x4c35,,
8,5,8,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.8857142857142857,0.8857142857142857,0.08571428571428572,0.08571428571428572,0.7999999999999999,0,0,0,73.71428571428571,1.2285714285714286,40542bb29008886812605126777139267671a523ee04e13e84de02725d92d66059,404433221100090058303132773035723738393a3b3c3d3e3f6043424378563452,0xdebf,0xede2,0x8ad7,0x8a6a,,
9,6,9,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.7142857142857142,0,0,0,164.45714285714286,1.6,4024782b62eb21025800037072fffcb738a82d7efa3db3d04ce5e25bd9535dff1d,40443b229900020058303132333435363738393a3b2c3d2e3e504142437856f412,0x28dc,0xb6df,0xc87e,0xccfa,,
10,7,10,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.7142857142857142,0,0,0,120.14285714285714,1.2,405473a258541fe83668d1b1e66c68721a5e21523b8f142f9ed9a9a4a9b0fa5022,40c4b32291008300d8b8b13a333035363738393a3bbcbdb63fc041424378563412,0x6743,0x5562,0xe7f9,0x0542,,
11,8,11,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.7142857142857143,0.7142857142857143,0.02857142857142857,0.02857142857142857,0.6857142857142857,0,0,0,43.74285714285714,1.0285714285714285,4094aa66c980202ef6f09b5831655454e6e57e1b251d9dbeb740e12738de979530,4044332211000c0058303132333435363738393a3b2c2c3f2f4140424378563412,0x4e87,0x6f67,0x7e7d,0xcd6f,,
12,9,12,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.6857142857142857,0.6857142857142857,0.05714285714285714,0.05714285714285714,0.6285714285714286,0,0,0,30.485714285714284,1.0571428571428572,4064101200010e467e363766267cb9a3ab203922ab2d2e1e2c433125567967f5f8,4044332211002d225a101330333435363738393a3b3c3d3e3f4041424378563412,0xa420,0x53f1,0x2c58,0x88db,,
13,10,13,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.7714285714285715,0.7714285714285715,0.05714285714285714,0.05714285714285714,0.7142857142857143,0,0,0,92.34285714285714,1.3428571428571427,40d43f32040c22072f230246f0103e3c3a12b88381151b7a794607027629105066,4044332211000e0058303132333435363738393a3b2c3d2e2e5041424378563412,0xd82d,0x4172,0x7abb,0x4607,,
