packet_index,frame_index,event_index,payload_symbol_index,start_sample,paper_start_sample,paper_origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,center_raw_fft_bin,center_signed_fft_bin,center_symbol_value,paper_raw_fft_bin,paper_signed_fft_bin,paper_symbol_value,center_raw_hit,paper_raw_hit,center_symbol_hit,paper_symbol_hit,center_gt_rank,paper_gt_rank,center_peak_power,paper_peak_power,paper_peak_margin_db,paper_total_power
1,0,1,0,2550960,2550962,2,10,4,continuous,222,222,221,222,222,221,222,222,221,1,1,1,1,1,1,156.57403562241234,0.8690633223614022,1.8777280325573362,75.59104257444588
1,0,1,1,2555056,2555058,2,10,4,continuous,826,-198,825,1007,-17,1006,640,-384,639,0,0,0,0,216,10,136.0382294227029,0.44121937375626885,0.09749620631514605,72.79098651107402
1,0,1,2,2559152,2559154,2,10,4,continuous,922,-102,921,637,-387,636,922,-102,921,0,1,0,1,453,1,170.68643923711443,0.7956023619535166,1.9072271705900967,78.34443084350556
1,0,1,3,2563248,2563250,2,10,4,continuous,718,-306,717,841,-183,840,718,-306,717,0,1,0,1,2,1,122.79900934593115,1.0208388973729257,2.2072009000293633,74.32042163515403
1,0,1,4,2567344,2567346,2,10,4,continuous,107,107,106,989,-35,988,107,107,106,0,1,0,1,42,1,152.75176946256488,1.2239231569542994,2.8430119214521037,76.43568800710257
1,0,1,5,2571440,2571442,2,10,4,continuous,468,468,467,880,-144,879,468,468,467,0,1,0,1,961,1,142.3582220673561,0.8551165388651647,2.920991783259965,77.06998931952538
1,0,1,6,2575536,2575538,2,10,4,continuous,89,89,88,921,-103,920,89,89,88,0,1,0,1,1008,1,136.63600141654024,0.8119455108566207,2.2977054877631904,74.88757386486532
1,0,1,7,2579633,2579635,2,10,4,continuous,713,-311,712,713,-311,712,713,-311,712,1,1,1,1,1,1,189.8322031803409,0.8663425197763139,2.8687434781405488,76.54912543601888
1,0,1,8,2583729,2583731,2,10,4,continuous,865,-159,864,575,-449,574,865,-159,864,0,1,0,1,2,1,166.55733167562084,1.065571414867236,3.9118798718843815,76.33639785412514
1,0,1,9,2587825,2587827,2,10,4,continuous,492,492,491,449,449,448,492,492,491,0,1,0,1,17,1,143.39784760866314,0.8098026658097446,2.186050326803358,76.72138931800278
1,0,1,10,2591921,2591923,2,10,4,continuous,765,-259,764,91,91,90,765,-259,764,0,1,0,1,103,1,141.86633831891322,0.8901747833288596,2.474490569022746,76.1460709687498
1,0,1,11,2596017,2596019,2,10,4,continuous,1023,-1,1022,648,-376,647,1023,-1,1022,0,1,0,1,49,1,133.48883142574869,1.033325075761752,2.956951221914515,76.42985405446046
1,0,1,12,2600113,2600115,2,10,4,continuous,597,-427,596,134,134,133,394,394,393,0,0,0,0,923,10,144.5043241577232,0.4884443585781497,0.10606403170483254,73.6069834904456
1,0,1,13,2604209,2604211,2,10,4,continuous,562,-462,561,285,285,284,562,-462,561,0,1,0,1,33,1,123.98298428580256,0.4824719559555888,0.2926544409283377,72.99167396400928
1,0,1,14,2608305,2608307,2,10,4,continuous,478,478,477,82,82,81,478,478,477,0,1,0,1,18,1,167.71672265642792,0.6442474605001145,0.5962524595046482,75.41951996924519
1,0,1,15,2612401,2612403,2,10,4,continuous,267,267,266,498,498,497,267,267,266,0,1,0,1,59,1,148.4147673505504,0.8138423148559504,2.306088642025359,74.98350799778405
1,0,1,16,2616497,2616499,2,10,4,continuous,917,-107,916,970,-54,969,917,-107,916,0,1,0,1,237,1,140.31422074872899,1.1382306189153866,3.0794433708277276,77.75855703254786
