packet_index,frame_index,event_index,sf,bw,os_factor,payload_len,cr,has_crc,ldro,cfo_correction_mode,paper_origin_shift,symbol_count,gt_compared_symbols,center_raw_ser,center_symbol_ser,paper_raw_ser,paper_symbol_ser,paper_symbol_ser_gain_vs_center,center_crc_valid,paper_crc_valid,paper_crc_gain_vs_center,center_mean_gt_rank,paper_mean_gt_rank,center_payload_hex,paper_payload_hex,center_crc_computed,center_crc_received,paper_crc_computed,paper_crc_received,center_decode_error,paper_decode_error
1,0,1,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.9714285714285714,0.9714285714285714,0.5714285714285714,0.5714285714285714,0.4,0,0,0,288.0857142857143,24.4,40146acd6a20aa095001a8ebe5aee089f0c3f19cf0b466f17f920c61a8d66021b2,4004f1b8357709007a1211a07f31f432e6ac686ab3e878b2221045c24bf0567416,0x809b,0x97d3,0x105a,0x0d14,,
2,1,2,10,125000.0,4,33,1,1,0,continuous,2,35,35,1.0,1.0,0.5714285714285714,0.5714285714285714,0.4285714285714286,0,0,0,318.8285714285714,39.91428571428571,407476d03fc59b166082ef9044e4dc635f5551e48abf04f246aac5aaca629cdf63,40d43323111952114c21615612026000533c5f5a7dfe349e931feccae35a743412,0x9bd2,0xc0a2,0x2233,0x09a0,,
3,2,3,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.9714285714285714,0.9714285714285714,0.6285714285714286,0.6285714285714286,0.34285714285714286,0,0,0,174.82857142857142,30.714285714285715,40e4f6505894084458414cfdc17baec772b6b3fd56dbd50227b4acf9019f731c55,40a4152ab14208805830315292b071e46f0d3b4e49686a5f3e70e1e0c1d0fcae33,0x56a9,0x6f60,0x337c,0xf1ad,,
5,3,5,10,125000.0,4,33,1,1,0,continuous,2,35,35,1.0,1.0,0.5428571428571428,0.5428571428571428,0.4571428571428572,0,0,0,225.0857142857143,28.914285714285715,40f42c0e018fffa01171894ce20d9cf2d737292e71005504cf00056853f3b724ad,4054e6738d943b124b012223332535261676b79cb73a2d3626406066075c561488,0xea88,0x6611,0x1775,0xf63c,,
6,4,6,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.9714285714285714,0.9714285714285714,0.7142857142857143,0.7142857142857143,0.2571428571428571,0,0,0,190.62857142857143,21.97142857142857,408431ce39e89fe22f74748e83e3cf5deb0fb0b9a737ccf766772e39ea5e44c670,40a4118e3de8eda07e7a71f2b26479efa221a0baaa740308f6b7fdc128311c3f56,0x5ae5,0x2b10,0xe2f8,0x4c35,,
8,5,8,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.9714285714285714,0.9714285714285714,0.45714285714285713,0.45714285714285713,0.5142857142857142,0,0,0,190.68571428571428,9.914285714285715,405429b0b22a8a6812605106577119067451a501ee04e13e84de02725d92d66059,40443300312219914128b033773035723738393a3b3c2c3e3f71e242ebd2f41649,0xb95d,0xede2,0x1b9d,0x22fa,,
9,6,9,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.9714285714285714,0.9714285714285714,0.6,0.6,0.37142857142857144,0,0,0,307.1714285714286,17.34285714285714,4024782b62eba18a5080837072fffcb718882d7cfa3db3d04ce5a25f99135dfb5d,40443b2299008299c030b92a76313567b63da1e2632c796a7a50c579d8604ffe02,0x21d4,0xb6db,0x2725,0xcceb,,
10,7,10,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.9428571428571428,0.9428571428571428,0.6857142857142857,0.6857142857142857,0.2571428571428571,0,0,0,267.51428571428573,15.142857142857142,4074538078541de83668d1b1c64c6870185e21523b8f542b9e99ad2c2938fa5022,40a4c747835686708b8e913ab3b21f363d3b0a3a09bfbdb63fc0c1c0e172543ec2,0xfd9c,0x5562,0x9d28,0x8482,,
11,8,11,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.9428571428571428,0.9428571428571428,0.42857142857142855,0.42857142857142855,0.5142857142857142,0,0,0,126.91428571428571,4.314285714285714,40b4a846eba2223fe6e18a59396554d4e6e57e1b254dccbfa344e52738de97c520,404433aa11084cc884f9613f732431377638793a7f282c3f2f41c0e41549579b3a,0xfbf0,0x6a63,0xa825,0x6d6f,,
12,9,12,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.9142857142857143,0.9142857142857143,0.4,0.4,0.5142857142857142,0,0,0,111.14285714285714,6.485714285714286,4064505240059ecf6f3fa66e267cb9a3ab2219008b6d225a6c073525d6f96ff5bc,4054637241053c261f55573533343536373a1b1a193e396f3e04e0c8cbd07c3c03,0x3621,0x53b5,0x90f7,0x88db,,
13,10,13,10,125000.0,4,33,1,1,0,continuous,2,35,35,1.0,1.0,0.5428571428571428,0.5428571428571428,0.4571428571428572,0,0,0,237.0,18.714285714285715,40f43f32060e2207af238a46f0103e3c7a52f8c781959a7261cf0682f62118d8e6,4044088ab8b0970af9b2cb31336124721318191a3b0c1d2c2e72f1485a73773c12,0x3243,0x4172,0xbe31,0x4607,,
