packet_index,frame_index,event_index,sf,bw,os_factor,payload_len,cr,has_crc,ldro,cfo_correction_mode,paper_origin_shift,symbol_count,gt_compared_symbols,center_raw_ser,center_symbol_ser,paper_raw_ser,paper_symbol_ser,paper_symbol_ser_gain_vs_center,center_crc_valid,paper_crc_valid,paper_crc_gain_vs_center,center_mean_gt_rank,paper_mean_gt_rank,center_payload_hex,paper_payload_hex,center_crc_computed,center_crc_received,paper_crc_computed,paper_crc_received,center_decode_error,paper_decode_error
1,0,1,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.6857142857142857,0.6857142857142857,0.0,0.0,0.6857142857142857,0,1,1,90.28571428571429,1.0,4004734473202201580120e3e5aee089f043719cf0b464f37f901c438bf5423112,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,0x38c7,0x0d50,0x4d14,0x4d14,,
2,1,2,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.7714285714285715,0.7714285714285715,0.02857142857142857,0.02857142857142857,0.7428571428571429,0,0,0,79.97142857142858,1.1428571428571428,40547672154593166082ef7062647023737d796e2abd04f246aac5aaca629cdf63,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,0x9c80,0xc0a2,0x08a0,0x09a0,,
3,2,3,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.6571428571428571,0.6571428571428571,0.0,0.0,0.6571428571428571,0,1,1,29.2,1.0,40e4f6505894084458616cffd17abfd63338393b3a5d5d0a2f342471011f731455,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,0x4a75,0xe7e8,0xc08d,0xc08d,,
5,3,5,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.5714285714285714,0.5714285714285714,0.0,0.0,0.5714285714285714,0,1,1,29.37142857142857,1.0,40d4ae2e090d2f205830112022253436d737292e71203526af40016853f3b73496,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,0x09bf,0xcf21,0x4be5,0x4be5,,
6,4,6,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.6571428571428571,0.6571428571428571,0.0,0.0,0.6571428571428571,0,1,1,71.8,1.0,40c4318a39a89fa26b3030aaa3a5ad3faf29b0bba335ccf766770e1bca7c460470,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,0xc0a3,0x2f50,0x0e51,0x0e51,,
8,5,8,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.6571428571428571,0.6571428571428571,0.0,0.0,0.6571428571428571,0,1,1,24.02857142857143,1.0,404433221100894810607126777131267671a523ee04e13e84de02725d92d6705a,404433221100090058303132333435363738393a3b3c3d3e3f4041424378563412,0xf74b,0xcee2,0x8e2a,0x8e2a,,
9,6,9,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.7142857142857143,0.7142857142857143,0.02857142857142857,0.02857142857142857,0.6857142857142857,0,0,0,72.31428571428572,1.0285714285714285,40047a2b40c923025800037072fffcb738a82d7efa3db1f26ec5e05bd9535dff1c,4044332211000a0058303132333435363738393a3b3c3d3e3f4041424378567412,0x0cb7,0xa6de,0x00f6,0x44f2,,
10,7,10,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.6571428571428571,0.6571428571428571,0.0,0.0,0.6571428571428571,0,1,1,43.4,1.0,405433a218101be83668d1b1e66c68721a5e21523bbf353ebfc8a9a4a9b0fa1022,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,0xe8d7,0x1562,0x0542,0x0542,,
11,8,11,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.42857142857142855,0.42857142857142855,0.0,0.0,0.42857142857142855,0,1,1,13.571428571428571,1.0,40142266410008045c70315231745554f7f47f1a353cbdbeb740c1060bfc969430,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,0x3e4a,0x6f67,0xcd6f,0xcd6f,,
12,9,12,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0,1,1,7.0285714285714285,1.0,4044332211000d027a32337237743132b3303932bb2c2c3e2e4161604378767470,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,0x0747,0xdbf9,0x88db,0x88db,,
13,10,13,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.5428571428571428,0.5428571428571428,0.0,0.0,0.5428571428571428,0,1,1,31.0,1.0,40c43b22110826072f230246f0103e3c3a38382b2b1d1b7a794607027629103002,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,0xa301,0x4716,0x4607,0x4607,,
