packet_index,frame_index,event_index,payload_symbol_index,start_sample,paper_start_sample,paper_origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,center_raw_fft_bin,center_signed_fft_bin,center_symbol_value,paper_raw_fft_bin,paper_signed_fft_bin,paper_symbol_value,center_raw_hit,paper_raw_hit,center_symbol_hit,paper_symbol_hit,center_gt_rank,paper_gt_rank,center_peak_power,paper_peak_power,paper_peak_margin_db,paper_total_power
1,0,1,0,2550960,2550962,2,10,4,continuous,222,222,221,222,222,221,222,222,221,1,1,1,1,1,1,142.0391611779487,0.8532756003660893,2.803043824690972,60.25907348683643
1,0,1,1,2555056,2555058,2,10,4,continuous,826,-198,825,1007,-17,1006,826,-198,825,0,1,0,1,151,1,107.96251149522504,0.35689674176638064,0.08544273451214329,57.94503307939003
1,0,1,2,2559152,2559154,2,10,4,continuous,922,-102,921,637,-387,636,922,-102,921,0,1,0,1,316,1,135.56545906183692,0.7874747953028418,2.8598016758367417,62.41508243273714
1,0,1,3,2563248,2563250,2,10,4,continuous,718,-306,717,718,-306,717,718,-306,717,1,1,1,1,1,1,110.98075630668609,0.9919483075093503,3.08986106818643,59.27455738312073
1,0,1,4,2567344,2567346,2,10,4,continuous,107,107,106,989,-35,988,107,107,106,0,1,0,1,19,1,121.65651823327153,1.1694592993890751,3.6520218396327584,60.935267254725545
1,0,1,5,2571440,2571442,2,10,4,continuous,468,468,467,880,-144,879,468,468,467,0,1,0,1,824,1,113.26879289774752,0.8420693512825075,3.8649301693012132,61.39919828675285
1,0,1,6,2575536,2575538,2,10,4,continuous,89,89,88,921,-103,920,89,89,88,0,1,0,1,927,1,108.85573927522637,0.8097446309171943,3.2947926859466428,59.65589377183625
1,0,1,7,2579633,2579635,2,10,4,continuous,713,-311,712,713,-311,712,713,-311,712,1,1,1,1,1,1,170.48253863131686,0.8557183118271929,3.8186590702135796,61.01490203336111
1,0,1,8,2583729,2583731,2,10,4,continuous,865,-159,864,865,-159,864,865,-159,864,1,1,1,1,1,1,140.61620782854243,1.0326242933120398,4.782358627500171,60.84960078026383
1,0,1,9,2587825,2587827,2,10,4,continuous,492,492,491,449,449,448,492,492,491,0,1,0,1,6,1,114.08141297181373,0.8073473891645477,3.1700210105453808,61.13599398493537
1,0,1,10,2591921,2591923,2,10,4,continuous,765,-259,764,91,91,90,765,-259,764,0,1,0,1,50,1,112.25776923593367,0.8809858554107883,3.4332390879321473,60.686929771148726
1,0,1,11,2596017,2596019,2,10,4,continuous,1023,-1,1022,648,-376,647,1023,-1,1022,0,1,0,1,23,1,106.35619299853352,1.002578726739344,3.8142769142445667,60.90132367437528
1,0,1,12,2600113,2600115,2,10,4,continuous,597,-427,596,134,134,133,394,394,393,0,0,0,0,790,3,114.76457478937027,0.3877143595248391,0.09520338632131975,58.60228019591005
