dataset,snr_db,seed,method,errors,symbol_count,ser,fixes_vs_savaux,breaks_vs_savaux
0_0_0_10_14_32,-18.0,47,ordinary_fft,49,245,0.2,0,20
0_0_0_10_14_32,-18.0,47,savaux,29,245,0.11836734693877551,0,0
0_0_0_10_14_32,-18.0,47,branch_gls,27,245,0.11020408163265306,2,0
0_0_0_10_14_32,-18.0,47,savaux_dual,29,245,0.11836734693877551,0,0
0_0_0_10_14_32,-18.0,47,proposed,28,245,0.11428571428571428,1,0
0_0_0_10_14_32,-20.0,47,ordinary_fft,99,245,0.40408163265306124,3,62
0_0_0_10_14_32,-20.0,47,savaux,40,245,0.16326530612244897,0,0
0_0_0_10_14_32,-20.0,47,branch_gls,41,245,0.1673469387755102,2,3
0_0_0_10_14_32,-20.0,47,savaux_dual,40,245,0.16326530612244897,0,0
0_0_0_10_14_32,-20.0,47,proposed,39,245,0.15918367346938775,1,0
0_0_0_10_14_32,-22.0,47,ordinary_fft,170,245,0.6938775510204082,2,82
0_0_0_10_14_32,-22.0,47,savaux,90,245,0.3673469387755102,0,0
0_0_0_10_14_32,-22.0,47,branch_gls,96,245,0.39183673469387753,2,8
0_0_0_10_14_32,-22.0,47,savaux_dual,89,245,0.363265306122449,1,0
0_0_0_10_14_32,-22.0,47,proposed,89,245,0.363265306122449,2,1
