dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser
0_0_0_10_14_32,-18.0,ordinary_fft,49,245,0,20,0.2
0_0_0_10_14_32,-18.0,savaux,29,245,0,0,0.11836734693877551
0_0_0_10_14_32,-18.0,branch_gls,27,245,2,0,0.11020408163265306
0_0_0_10_14_32,-18.0,savaux_dual,29,245,0,0,0.11836734693877551
0_0_0_10_14_32,-18.0,proposed,28,245,1,0,0.11428571428571428
0_0_0_10_14_32,-20.0,ordinary_fft,99,245,3,62,0.40408163265306124
0_0_0_10_14_32,-20.0,savaux,40,245,0,0,0.16326530612244897
0_0_0_10_14_32,-20.0,branch_gls,41,245,2,3,0.1673469387755102
0_0_0_10_14_32,-20.0,savaux_dual,40,245,0,0,0.16326530612244897
0_0_0_10_14_32,-20.0,proposed,39,245,1,0,0.15918367346938775
0_0_0_10_14_32,-22.0,ordinary_fft,170,245,2,82,0.6938775510204082
0_0_0_10_14_32,-22.0,savaux,90,245,0,0,0.3673469387755102
0_0_0_10_14_32,-22.0,branch_gls,96,245,2,8,0.39183673469387753
0_0_0_10_14_32,-22.0,savaux_dual,89,245,1,0,0.363265306122449
0_0_0_10_14_32,-22.0,proposed,89,245,2,1,0.363265306122449
