branch_dimension,branch_covariance_count,branch_snapshots,branch_diagonal_cv,branch_mean_abs_correlation,branch_max_abs_correlation,pair_dimension,pair_snapshots,pair_diagonal_cv,pair_mean_abs_correlation,pair_max_abs_correlation,dataset,snr_db,seed,packet_index,cfo_int,cfo_frac,offpacket_windows,branch_gls_active,min_branch_correlation
4,1024,256,0.02785629643908064,0.31970151816981424,0.4945185207685431,2,4096,0.6956536856640814,0.007446763196679617,0.007446763196679617,0_0_0_10_14_32,-18.0,47,0,-25,0.05380236129609033,256,1,0.05
4,1024,256,0.027909796371179317,0.3192597288799339,0.5005019992082045,2,4096,0.6985796288460505,0.010164887489883619,0.010164887489883619,0_0_0_10_14_32,-18.0,47,2,-25,-0.2621175001545824,256,1,0.05
4,1024,256,0.027893174872114956,0.3191872002681773,0.5017709561081198,2,4096,0.6987447541055488,0.01238660248553648,0.01238660248553648,0_0_0_10_14_32,-18.0,47,3,-25,-0.3325083542533448,256,1,0.05
4,1024,256,0.027919987055512303,0.31906789455242024,0.4996964572671751,2,4096,0.6980888183447304,0.014424607609619455,0.014424607609619455,0_0_0_10_14_32,-18.0,47,4,-25,-0.4459073051101653,256,1,0.05
4,1024,256,0.027932467992531657,0.32034578370019473,0.49250365365352544,2,4096,0.6975373911108245,0.015557830124390262,0.015557830124390262,0_0_0_10_14_32,-18.0,47,5,-25,0.4549490166226258,256,1,0.05
4,1024,256,0.02791733926250203,0.3202319113707678,0.49196753628090556,2,4096,0.6968559069344121,0.016844812157914456,0.016844812157914456,0_0_0_10_14_32,-18.0,47,6,-25,0.36147652624687177,256,1,0.05
4,1024,256,0.02787808052746173,0.3200816911123707,0.4926786262374749,2,4096,0.6960075696185487,0.015971947266338094,0.015971947266338094,0_0_0_10_14_32,-18.0,47,7,-25,0.2634318661684987,256,1,0.05
4,1024,256,0.027866724927507466,0.31963105632436795,0.49437804052806916,2,4096,0.6959334787886807,0.008215264737832066,0.008215264737832066,0_0_0_10_14_32,-20.0,47,0,-25,0.05380236129609033,256,1,0.05
4,1024,256,0.027921709978648988,0.31918786146796696,0.5005669163760353,2,4096,0.6988778003269385,0.009848999224306888,0.009848999224306888,0_0_0_10_14_32,-20.0,47,2,-25,-0.2621175001545824,256,1,0.05
4,1024,256,0.027906078395795876,0.31911457710649815,0.5018352956329946,2,4096,0.6990507641368832,0.01202253155650522,0.01202253155650522,0_0_0_10_14_32,-20.0,47,3,-25,-0.3325083542533448,256,1,0.05
4,1024,256,0.02793884679528643,0.3189943462921089,0.49975352452676336,2,4096,0.6983985275259674,0.013946876619632764,0.013946876619632764,0_0_0_10_14_32,-20.0,47,4,-25,-0.4459073051101653,256,1,0.05
4,1024,256,0.027955717436937783,0.32027248872394076,0.4924858490850089,2,4096,0.6979055674557825,0.015882782893720828,0.015882782893720828,0_0_0_10_14_32,-20.0,47,5,-25,0.4549490166226258,256,1,0.05
4,1024,256,0.027941925923500307,0.3201592523837746,0.4919209167538351,2,4096,0.6972032501279456,0.017300430564191713,0.017300430564191713,0_0_0_10_14_32,-20.0,47,6,-25,0.36147652624687177,256,1,0.05
4,1024,256,0.027899961542336177,0.3200100910319541,0.4925781091781628,2,4096,0.6963287615792565,0.016546943285068897,0.016546943285068897,0_0_0_10_14_32,-20.0,47,7,-25,0.2634318661684987,256,1,0.05
4,1024,256,0.027875222283684054,0.319586026116464,0.4942576159479284,2,4096,0.6961095831770405,0.008722438009480797,0.008722438009480797,0_0_0_10_14_32,-22.0,47,0,-25,0.05380236129609033,256,1,0.05
4,1024,256,0.027930791711648764,0.3191419818402962,0.5006110975819652,2,4096,0.69906520725091,0.009721910145165248,0.009721910145165248,0_0_0_10_14_32,-22.0,47,2,-25,-0.2621175001545824,256,1,0.05
4,1024,256,0.02791588340187331,0.3190682394556752,0.5018784597869341,2,4096,0.6992413985043953,0.011854528973053283,0.011854528973053283,0_0_0_10_14_32,-22.0,47,3,-25,-0.3325083542533448,256,1,0.05
4,1024,256,0.027953425106584065,0.3189474363400647,0.4997900197178814,2,4096,0.6985868027298482,0.013692013033347515,0.013692013033347515,0_0_0_10_14_32,-22.0,47,4,-25,-0.4459073051101653,256,1,0.05
4,1024,256,0.027973831917805975,0.3202257268828803,0.4924619518748381,2,4096,0.6981419279280958,0.016071919762157324,0.016071919762157324,0_0_0_10_14_32,-22.0,47,5,-25,0.4549490166226258,256,1,0.05
4,1024,256,0.027961263367101606,0.3201128842365174,0.49187154359024504,2,4096,0.6974241697554786,0.01758154129113557,0.01758154129113557,0_0_0_10_14_32,-22.0,47,6,-25,0.36147652624687177,256,1,0.05
4,1024,256,0.027917614287205433,0.31996438813942374,0.49248345129337867,2,4096,0.6965315339641678,0.01691258411949187,0.01691258411949187,0_0_0_10_14_32,-22.0,47,7,-25,0.2634318661684987,256,1,0.05
