packet_index,payload_len,symbol_count,gt_stage1_top_l_recall,gt_viterbi_candidate_recall,multi_raw_ser,multi_symbol_ser,multi_errors,multi_selectable_misses,multi_gt_missing_top_l_errors,v3_raw_ser,v3_symbol_ser,v3_errors,v3_selectable_misses,v3_gt_missing_top_l_errors,phase_line_raw_ser,phase_line_symbol_ser,phase_line_errors,phase_line_selectable_misses,phase_line_gt_missing_top_l_errors,phase_dp_first_raw_ser,phase_dp_first_symbol_ser,phase_dp_first_errors,phase_dp_first_selectable_misses,phase_dp_first_gt_missing_top_l_errors,phase_dp_second_raw_ser,phase_dp_second_symbol_ser,phase_dp_second_errors,phase_dp_second_selectable_misses,phase_dp_second_gt_missing_top_l_errors,phase_dp_second_anchor_raw_ser,phase_dp_second_anchor_symbol_ser,phase_dp_second_anchor_errors,phase_dp_second_anchor_selectable_misses,phase_dp_second_anchor_gt_missing_top_l_errors,dataset,target_snr_db
1,33,35,0.9428571428571428,0.9428571428571428,0.2,0.2,7,5,2,0.05714285714285714,0.05714285714285714,2,0,2,0.37142857142857144,0.37142857142857144,13,11,2,0.05714285714285714,0.05714285714285714,2,0,2,0.08571428571428572,0.08571428571428572,3,1,2,0.08571428571428572,0.08571428571428572,3,1,2,0_0_0_10_14_16,-22.0
2,33,35,0.9714285714285714,0.9714285714285714,0.2571428571428571,0.2571428571428571,9,8,1,0.08571428571428572,0.08571428571428572,3,2,1,0.17142857142857143,0.17142857142857143,6,5,1,0.05714285714285714,0.05714285714285714,2,1,1,0.05714285714285714,0.05714285714285714,2,1,1,0.05714285714285714,0.05714285714285714,2,1,1,0_0_0_10_14_16,-22.0
3,33,35,0.9428571428571428,0.9428571428571428,0.22857142857142856,0.22857142857142856,8,6,2,0.11428571428571428,0.11428571428571428,4,2,2,0.45714285714285713,0.45714285714285713,16,14,2,0.14285714285714285,0.14285714285714285,5,3,2,0.14285714285714285,0.14285714285714285,5,3,2,0.14285714285714285,0.14285714285714285,5,3,2,0_0_0_10_14_16,-22.0
5,33,35,0.9142857142857143,0.9142857142857143,0.2,0.2,7,4,3,0.14285714285714285,0.14285714285714285,5,2,3,0.5714285714285714,0.5714285714285714,20,17,3,0.11428571428571428,0.11428571428571428,4,1,3,0.11428571428571428,0.11428571428571428,4,1,3,0.11428571428571428,0.11428571428571428,4,1,3,0_0_0_10_14_16,-22.0
6,33,35,0.9714285714285714,0.9714285714285714,0.22857142857142856,0.22857142857142856,8,7,1,0.05714285714285714,0.05714285714285714,2,1,1,0.3142857142857143,0.3142857142857143,11,10,1,0.08571428571428572,0.08571428571428572,3,2,1,0.08571428571428572,0.08571428571428572,3,2,1,0.08571428571428572,0.08571428571428572,3,2,1,0_0_0_10_14_16,-22.0
8,33,35,0.9714285714285714,0.9714285714285714,0.17142857142857143,0.17142857142857143,6,5,1,0.02857142857142857,0.02857142857142857,1,0,1,0.2,0.2,7,6,1,0.02857142857142857,0.02857142857142857,1,0,1,0.02857142857142857,0.02857142857142857,1,0,1,0.02857142857142857,0.02857142857142857,1,0,1,0_0_0_10_14_16,-22.0
9,33,35,0.9714285714285714,0.9714285714285714,0.34285714285714286,0.34285714285714286,12,11,1,0.11428571428571428,0.11428571428571428,4,3,1,0.3142857142857143,0.3142857142857143,11,10,1,0.11428571428571428,0.11428571428571428,4,3,1,0.11428571428571428,0.11428571428571428,4,3,1,0.11428571428571428,0.11428571428571428,4,3,1,0_0_0_10_14_16,-22.0
10,33,35,1.0,1.0,0.2,0.2,7,7,0,0.02857142857142857,0.02857142857142857,1,1,0,0.17142857142857143,0.17142857142857143,6,6,0,0.02857142857142857,0.02857142857142857,1,1,0,0.02857142857142857,0.02857142857142857,1,1,0,0.02857142857142857,0.02857142857142857,1,1,0,0_0_0_10_14_16,-22.0
11,33,35,1.0,1.0,0.02857142857142857,0.02857142857142857,1,1,0,0.0,0.0,0,0,0,0.2,0.2,7,7,0,0.08571428571428572,0.08571428571428572,3,3,0,0.11428571428571428,0.11428571428571428,4,4,0,0.11428571428571428,0.11428571428571428,4,4,0,0_0_0_10_14_16,-22.0
12,33,35,1.0,1.0,0.05714285714285714,0.05714285714285714,2,2,0,0.0,0.0,0,0,0,0.11428571428571428,0.11428571428571428,4,4,0,0.11428571428571428,0.11428571428571428,4,4,0,0.02857142857142857,0.02857142857142857,1,1,0,0.02857142857142857,0.02857142857142857,1,1,0,0_0_0_10_14_16,-22.0
13,33,35,0.9714285714285714,0.9714285714285714,0.05714285714285714,0.05714285714285714,2,1,1,0.02857142857142857,0.02857142857142857,1,0,1,0.08571428571428572,0.08571428571428572,3,2,1,0.02857142857142857,0.02857142857142857,1,0,1,0.02857142857142857,0.02857142857142857,1,0,1,0.02857142857142857,0.02857142857142857,1,0,1,0_0_0_10_14_16,-22.0
1,33,35,0.9142857142857143,0.9142857142857143,0.45714285714285713,0.45714285714285713,16,13,3,0.17142857142857143,0.17142857142857143,6,3,3,0.5142857142857142,0.5142857142857142,18,15,3,0.11428571428571428,0.11428571428571428,4,1,3,0.11428571428571428,0.11428571428571428,4,1,3,0.11428571428571428,0.11428571428571428,4,1,3,0_0_0_10_14_16,-23.0
2,33,35,0.9142857142857143,0.9142857142857143,0.4,0.4,14,11,3,0.14285714285714285,0.14285714285714285,5,2,3,0.34285714285714286,0.34285714285714286,12,9,3,0.08571428571428572,0.08571428571428572,3,0,3,0.08571428571428572,0.08571428571428572,3,0,3,0.08571428571428572,0.08571428571428572,3,0,3,0_0_0_10_14_16,-23.0
3,33,35,0.9142857142857143,0.9142857142857143,0.4,0.4,14,11,3,0.2,0.2,7,4,3,0.5428571428571428,0.5428571428571428,19,16,3,0.17142857142857143,0.17142857142857143,6,3,3,0.2571428571428571,0.2571428571428571,9,6,3,0.2571428571428571,0.2571428571428571,9,6,3,0_0_0_10_14_16,-23.0
5,33,35,0.8285714285714286,0.8285714285714286,0.37142857142857144,0.37142857142857144,13,7,6,0.2,0.2,7,1,6,0.6571428571428571,0.6571428571428571,23,17,6,0.2,0.2,7,1,6,0.22857142857142856,0.22857142857142856,8,2,6,0.22857142857142856,0.22857142857142856,8,2,6,0_0_0_10_14_16,-23.0
6,33,35,0.9428571428571428,0.9428571428571428,0.3142857142857143,0.3142857142857143,11,9,2,0.2571428571428571,0.2571428571428571,9,7,2,0.4857142857142857,0.4857142857142857,17,15,2,0.2,0.2,7,5,2,0.17142857142857143,0.17142857142857143,6,4,2,0.17142857142857143,0.17142857142857143,6,4,2,0_0_0_10_14_16,-23.0
8,33,35,0.9142857142857143,0.9142857142857143,0.3142857142857143,0.3142857142857143,11,8,3,0.2,0.2,7,4,3,0.3142857142857143,0.3142857142857143,11,8,3,0.14285714285714285,0.14285714285714285,5,2,3,0.14285714285714285,0.14285714285714285,5,2,3,0.14285714285714285,0.14285714285714285,5,2,3,0_0_0_10_14_16,-23.0
9,33,35,0.8285714285714286,0.8285714285714286,0.4857142857142857,0.4857142857142857,17,11,6,0.3142857142857143,0.3142857142857143,11,5,6,0.5142857142857142,0.5142857142857142,18,12,6,0.2571428571428571,0.2571428571428571,9,3,6,0.3142857142857143,0.3142857142857143,11,5,6,0.3142857142857143,0.3142857142857143,11,5,6,0_0_0_10_14_16,-23.0
10,33,35,0.9714285714285714,0.9714285714285714,0.3142857142857143,0.3142857142857143,11,10,1,0.17142857142857143,0.17142857142857143,6,5,1,0.5142857142857142,0.5142857142857142,18,17,1,0.08571428571428572,0.08571428571428572,3,2,1,0.05714285714285714,0.05714285714285714,2,1,1,0.05714285714285714,0.05714285714285714,2,1,1,0_0_0_10_14_16,-23.0
11,33,35,1.0,1.0,0.14285714285714285,0.14285714285714285,5,5,0,0.02857142857142857,0.02857142857142857,1,1,0,0.34285714285714286,0.34285714285714286,12,12,0,0.14285714285714285,0.14285714285714285,5,5,0,0.2571428571428571,0.2571428571428571,9,9,0,0.2571428571428571,0.2571428571428571,9,9,0,0_0_0_10_14_16,-23.0
12,33,35,0.9714285714285714,0.9714285714285714,0.17142857142857143,0.17142857142857143,6,5,1,0.08571428571428572,0.08571428571428572,3,2,1,0.2857142857142857,0.2857142857142857,10,9,1,0.2,0.2,7,6,1,0.08571428571428572,0.08571428571428572,3,2,1,0.08571428571428572,0.08571428571428572,3,2,1,0_0_0_10_14_16,-23.0
13,33,35,0.9714285714285714,0.9714285714285714,0.14285714285714285,0.14285714285714285,5,4,1,0.05714285714285714,0.05714285714285714,2,1,1,0.22857142857142856,0.22857142857142856,8,7,1,0.02857142857142857,0.02857142857142857,1,0,1,0.02857142857142857,0.02857142857142857,1,0,1,0.02857142857142857,0.02857142857142857,1,0,1,0_0_0_10_14_16,-23.0
1,33,35,0.8857142857142857,0.8857142857142857,0.6,0.6,21,17,4,0.2857142857142857,0.2857142857142857,10,6,4,0.6285714285714286,0.6285714285714286,22,18,4,0.2,0.2,7,3,4,0.4,0.4,14,10,4,0.4,0.4,14,10,4,0_0_0_10_14_16,-24.0
2,33,35,0.8285714285714286,0.8285714285714286,0.5428571428571428,0.5428571428571428,19,13,6,0.2571428571428571,0.2571428571428571,9,3,6,0.5142857142857142,0.5142857142857142,18,12,6,0.2571428571428571,0.2571428571428571,9,3,6,0.17142857142857143,0.17142857142857143,6,0,6,0.17142857142857143,0.17142857142857143,6,0,6,0_0_0_10_14_16,-24.0
3,33,35,0.7714285714285715,0.7714285714285715,0.6,0.6,21,13,8,0.5142857142857142,0.5142857142857142,18,10,8,0.7142857142857143,0.7142857142857143,25,17,8,0.34285714285714286,0.34285714285714286,12,4,8,0.37142857142857144,0.37142857142857144,13,5,8,0.37142857142857144,0.37142857142857144,13,5,8,0_0_0_10_14_16,-24.0
5,33,35,0.7714285714285715,0.7714285714285715,0.6,0.6,21,13,8,0.34285714285714286,0.34285714285714286,12,4,8,0.7142857142857143,0.7142857142857143,25,17,8,0.22857142857142856,0.22857142857142856,8,0,8,0.34285714285714286,0.34285714285714286,12,4,8,0.34285714285714286,0.34285714285714286,12,4,8,0_0_0_10_14_16,-24.0
6,33,35,0.8285714285714286,0.8285714285714286,0.5714285714285714,0.5714285714285714,20,14,6,0.34285714285714286,0.34285714285714286,12,6,6,0.6571428571428571,0.6571428571428571,23,17,6,0.4,0.4,14,8,6,0.34285714285714286,0.34285714285714286,12,6,6,0.34285714285714286,0.34285714285714286,12,6,6,0_0_0_10_14_16,-24.0
8,33,35,0.8571428571428571,0.8571428571428571,0.4,0.4,14,9,5,0.3142857142857143,0.3142857142857143,11,6,5,0.6571428571428571,0.6571428571428571,23,18,5,0.2571428571428571,0.2571428571428571,9,4,5,0.2857142857142857,0.2857142857142857,10,5,5,0.2857142857142857,0.2857142857142857,10,5,5,0_0_0_10_14_16,-24.0
9,33,35,0.7428571428571429,0.7428571428571429,0.5428571428571428,0.5428571428571428,19,10,9,0.4857142857142857,0.4857142857142857,17,8,9,0.6857142857142857,0.6857142857142857,24,15,9,0.4857142857142857,0.4857142857142857,17,8,9,0.4857142857142857,0.4857142857142857,17,8,9,0.4857142857142857,0.4857142857142857,17,8,9,0_0_0_10_14_16,-24.0
10,33,35,0.8285714285714286,0.8285714285714286,0.6,0.6,21,15,6,0.2571428571428571,0.2571428571428571,9,3,6,0.6,0.6,21,15,6,0.22857142857142856,0.22857142857142856,8,2,6,0.2571428571428571,0.2571428571428571,9,3,6,0.2571428571428571,0.2571428571428571,9,3,6,0_0_0_10_14_16,-24.0
11,33,35,1.0,1.0,0.5142857142857142,0.5142857142857142,18,18,0,0.17142857142857143,0.17142857142857143,6,6,0,0.6571428571428571,0.6571428571428571,23,23,0,0.4,0.4,14,14,0,0.34285714285714286,0.34285714285714286,12,12,0,0.34285714285714286,0.34285714285714286,12,12,0,0_0_0_10_14_16,-24.0
