packet_index,payload_symbol_index,gt_bin,top1_bin,gt_in_stage1_top_l,gt_stage1_rank,gt_in_viterbi_candidates,gt_viterbi_rank,top1_margin_db,top1_peak_to_median_db,top1_coherence,multi_bin,multi_hit,multi_error_type,v3_bin,v3_hit,v3_error_type,phase_line_bin,phase_line_hit,phase_line_error_type,phase_dp_first_bin,phase_dp_first_hit,phase_dp_first_error_type,phase_dp_second_bin,phase_dp_second_hit,phase_dp_second_error_type,phase_dp_second_anchor_bin,phase_dp_second_anchor_hit,phase_dp_second_anchor_error_type,dataset,target_snr_db
13,0,222,222,1,1,1,1,0.9768950346222905,6.474601444430226,0.9590331766215319,222,1,hit,222,1,hit,222,1,hit,222,1,hit,222,1,hit,222,1,hit,0_0_0_10_14_16,-24.0
13,1,826,46,1,2,1,2,0.018939396982157564,6.061093636869749,0.7138461619860228,46,0,selectable_miss,826,1,hit,46,0,selectable_miss,826,1,hit,826,1,hit,826,1,hit,0_0_0_10_14_16,-24.0
13,2,871,871,1,1,1,1,1.286568117233684,6.656741333714509,0.9946430515212371,871,1,hit,871,1,hit,871,1,hit,871,1,hit,871,1,hit,871,1,hit,0_0_0_10_14_16,-24.0
13,3,691,692,1,19,1,19,0.6221506927934706,6.3131158221309125,0.05144692203168888,692,0,selectable_miss,108,0,selectable_miss,692,0,selectable_miss,108,0,selectable_miss,964,0,selectable_miss,964,0,selectable_miss,0_0_0_10_14_16,-24.0
13,4,107,107,1,1,1,1,0.9562298387934752,6.601594153840694,0.9324962889861779,107,1,hit,107,1,hit,107,1,hit,107,1,hit,107,1,hit,107,1,hit,0_0_0_10_14_16,-24.0
13,5,468,146,1,6,1,6,0.02158179426931109,5.54049110686298,0.2398467998360922,146,0,selectable_miss,468,1,hit,146,0,selectable_miss,468,1,hit,468,1,hit,468,1,hit,0_0_0_10_14_16,-24.0
13,6,89,89,1,1,1,1,0.6007881944052275,6.268146248327586,0.9262797450642626,89,1,hit,89,1,hit,89,1,hit,89,1,hit,89,1,hit,89,1,hit,0_0_0_10_14_16,-24.0
13,7,713,713,1,1,1,1,1.0080236471268926,6.2549449696100226,0.848156698183492,713,1,hit,713,1,hit,713,1,hit,713,1,hit,713,1,hit,713,1,hit,0_0_0_10_14_16,-24.0
13,8,865,865,1,1,1,1,1.8498158337928268,6.981207349795547,0.9060197055529275,865,1,hit,865,1,hit,865,1,hit,865,1,hit,865,1,hit,865,1,hit,0_0_0_10_14_16,-24.0
13,9,492,797,1,22,1,22,0.08501661019849632,5.839519055474469,0.5630577177687179,797,0,selectable_miss,1000,0,selectable_miss,267,0,selectable_miss,1003,0,selectable_miss,1003,0,selectable_miss,1003,0,selectable_miss,0_0_0_10_14_16,-24.0
