packet_index,payload_symbol_index,gt_bin,top1_bin,gt_in_stage1_top_l,gt_stage1_rank,gt_in_viterbi_candidates,gt_viterbi_rank,top1_margin_db,top1_peak_to_median_db,top1_coherence,multi_bin,multi_hit,multi_error_type,v3_bin,v3_hit,v3_error_type,phase_line_bin,phase_line_hit,phase_line_error_type,phase_dp_first_bin,phase_dp_first_hit,phase_dp_first_error_type,phase_dp_second_bin,phase_dp_second_hit,phase_dp_second_error_type,phase_dp_second_anchor_bin,phase_dp_second_anchor_hit,phase_dp_second_anchor_error_type,dataset,target_snr_db
1,23,759,525,0,0,0,0,0.019204249230836176,4.7714432839477015,0.8653920977743578,525,0,gt_missing_top_l,525,0,gt_missing_top_l,627,0,gt_missing_top_l,870,0,gt_missing_top_l,727,0,gt_missing_top_l,727,0,gt_missing_top_l,0_0_0_10_14_16,-22.0
1,24,874,874,1,1,1,1,0.9842175857733398,6.797755451895894,0.911471182833165,874,1,hit,874,1,hit,1008,0,selectable_miss,874,1,hit,874,1,hit,874,1,hit,0_0_0_10_14_16,-22.0
1,25,720,720,1,1,1,1,0.48897758179295653,6.783647358035159,0.9726403629808943,720,1,hit,720,1,hit,720,1,hit,720,1,hit,720,1,hit,720,1,hit,0_0_0_10_14_16,-22.0
1,26,314,314,1,1,1,1,1.845482820707507,7.211207361348238,0.8977217070831222,314,1,hit,314,1,hit,314,1,hit,314,1,hit,314,1,hit,314,1,hit,0_0_0_10_14_16,-22.0
1,27,602,602,1,1,1,1,1.5411264489843082,7.75843524032263,0.9665119511874917,602,1,hit,602,1,hit,391,0,selectable_miss,602,1,hit,602,1,hit,602,1,hit,0_0_0_10_14_16,-22.0
1,28,7,6,1,3,1,3,0.08965429936446527,6.1507815865873745,0.870872673670463,6,0,selectable_miss,7,1,hit,7,1,hit,7,1,hit,7,1,hit,7,1,hit,0_0_0_10_14_16,-22.0
1,29,610,610,1,1,1,1,0.8275015407040656,6.401783283159493,0.9493484560834223,610,1,hit,610,1,hit,588,0,selectable_miss,610,1,hit,610,1,hit,610,1,hit,0_0_0_10_14_16,-22.0
1,30,807,807,1,1,1,1,0.7558172208269587,6.886818510505599,0.9356331238127616,807,1,hit,807,1,hit,142,0,selectable_miss,807,1,hit,807,1,hit,807,1,hit,0_0_0_10_14_16,-22.0
1,31,897,897,1,1,1,1,0.18441122130425835,6.9619268931231835,0.979284706640554,897,1,hit,897,1,hit,214,0,selectable_miss,897,1,hit,897,1,hit,897,1,hit,0_0_0_10_14_16,-22.0
1,32,749,749,1,1,1,1,2.2327295644940324,7.967687501223322,0.9894772895070038,749,1,hit,749,1,hit,749,1,hit,749,1,hit,749,1,hit,749,1,hit,0_0_0_10_14_16,-22.0
1,33,584,584,1,1,1,1,1.3679525463888655,7.597992362808821,0.916370087090286,584,1,hit,584,1,hit,423,0,selectable_miss,584,1,hit,584,1,hit,584,1,hit,0_0_0_10_14_16,-22.0
1,34,934,1018,1,3,1,3,0.7557529583064204,6.174948187475722,0.8073673876320273,1018,0,selectable_miss,934,1,hit,57,0,selectable_miss,934,1,hit,1018,0,selectable_miss,1018,0,selectable_miss,0_0_0_10_14_16,-22.0
2,0,803,803,1,1,1,1,1.0426101776545258,7.769985313327626,0.9208984549402954,803,1,hit,803,1,hit,803,1,hit,803,1,hit,803,1,hit,803,1,hit,0_0_0_10_14_16,-22.0
2,1,826,336,1,4,1,4,0.2006598258780566,6.068537803574956,0.37612149954129226,336,0,selectable_miss,826,1,hit,485,0,selectable_miss,826,1,hit,826,1,hit,826,1,hit,0_0_0_10_14_16,-22.0
2,2,922,922,1,1,1,1,1.9434103106787401,8.623185215474287,0.9592306535687467,922,1,hit,922,1,hit,922,1,hit,922,1,hit,922,1,hit,922,1,hit,0_0_0_10_14_16,-22.0
2,3,718,718,1,1,1,1,1.7882783375668132,7.360783860281442,0.9787584899198738,718,1,hit,718,1,hit,718,1,hit,718,1,hit,718,1,hit,718,1,hit,0_0_0_10_14_16,-22.0
2,4,86,86,1,1,1,1,0.09972562043634378,5.508609671806335,0.980724978486816,86,1,hit,86,1,hit,86,1,hit,86,1,hit,86,1,hit,86,1,hit,0_0_0_10_14_16,-22.0
2,5,468,109,1,3,1,3,0.0636849783509206,5.2702765133260705,0.5065943882714378,109,0,selectable_miss,468,1,hit,109,0,selectable_miss,468,1,hit,468,1,hit,468,1,hit,0_0_0_10_14_16,-22.0
2,6,89,89,1,1,1,1,1.7672040888977367,6.970487755473779,0.9988675663098024,89,1,hit,89,1,hit,89,1,hit,89,1,hit,89,1,hit,89,1,hit,0_0_0_10_14_16,-22.0
2,7,713,713,1,1,1,1,1.1678041260837804,7.300453502347928,0.9799518912668231,713,1,hit,713,1,hit,713,1,hit,713,1,hit,713,1,hit,713,1,hit,0_0_0_10_14_16,-22.0
2,8,865,865,1,1,1,1,3.2800905087121284,7.809371483866298,0.9519446121158809,865,1,hit,865,1,hit,865,1,hit,865,1,hit,865,1,hit,865,1,hit,0_0_0_10_14_16,-22.0
