dataset,target_snr_db,packet_count,symbol_count,gt_stage1_top_l_recall,gt_viterbi_candidate_recall,gt_rank1_rate,gt_rank_le3_rate,gt_rank_le5_rate,gt_rank_le8_rate,mean_gt_rank_when_present,multi_raw_ser,multi_hit_rate,multi_error_count,multi_selectable_miss_count,multi_gt_missing_top_l_error_count,multi_error_selectable_miss_rate,v3_raw_ser,v3_hit_rate,v3_error_count,v3_selectable_miss_count,v3_gt_missing_top_l_error_count,v3_error_selectable_miss_rate,phase_line_raw_ser,phase_line_hit_rate,phase_line_error_count,phase_line_selectable_miss_count,phase_line_gt_missing_top_l_error_count,phase_line_error_selectable_miss_rate,phase_dp_first_raw_ser,phase_dp_first_hit_rate,phase_dp_first_error_count,phase_dp_first_selectable_miss_count,phase_dp_first_gt_missing_top_l_error_count,phase_dp_first_error_selectable_miss_rate,phase_dp_second_raw_ser,phase_dp_second_hit_rate,phase_dp_second_error_count,phase_dp_second_selectable_miss_count,phase_dp_second_gt_missing_top_l_error_count,phase_dp_second_error_selectable_miss_rate,phase_dp_second_anchor_raw_ser,phase_dp_second_anchor_hit_rate,phase_dp_second_anchor_error_count,phase_dp_second_anchor_selectable_miss_count,phase_dp_second_anchor_gt_missing_top_l_error_count,phase_dp_second_anchor_error_selectable_miss_rate
0_0_0_10_14_16,-22.0,11,385,0.9688311688311688,0.9688311688311688,0.8207792207792208,0.8961038961038961,0.9402597402597402,0.9532467532467532,1.5576407506702412,0.17922077922077922,0.8207792207792208,69,57,12,0.8260869565217391,0.05974025974025974,0.9402597402597402,23,11,12,0.4782608695652174,0.2701298701298701,0.7298701298701299,104,92,12,0.8846153846153846,0.07792207792207792,0.922077922077922,30,18,12,0.6,0.07532467532467532,0.9246753246753247,29,17,12,0.5862068965517241,0.07532467532467532,0.9246753246753247,29,17,12,0.5862068965517241
0_0_0_10_14_16,-23.0,11,385,0.9246753246753247,0.9246753246753247,0.6805194805194805,0.7896103896103897,0.825974025974026,0.8571428571428571,2.356741573033708,0.3194805194805195,0.6805194805194805,123,94,29,0.7642276422764228,0.16623376623376623,0.8337662337662337,64,35,29,0.546875,0.43116883116883115,0.5688311688311688,166,137,29,0.8253012048192772,0.14805194805194805,0.8519480519480519,57,28,29,0.49122807017543857,0.15844155844155844,0.8415584415584415,61,32,29,0.5245901639344263,0.15844155844155844,0.8415584415584415,61,32,29,0.5245901639344263
0_0_0_10_14_16,-24.0,11,385,0.8545454545454545,0.8545454545454545,0.4909090909090909,0.6311688311688312,0.6987012987012987,0.7402597402597403,3.6686930091185412,0.509090909090909,0.4909090909090909,196,140,56,0.7142857142857143,0.2961038961038961,0.7038961038961039,114,58,56,0.5087719298245614,0.6441558441558441,0.35584415584415585,248,192,56,0.7741935483870968,0.2831168831168831,0.7168831168831169,109,53,56,0.48623853211009177,0.3064935064935065,0.6935064935064935,118,62,56,0.5254237288135594,0.3064935064935065,0.6935064935064935,118,62,56,0.5254237288135594
0_0_0_10_14_16,-25.0,11,385,0.7298701298701299,0.7298701298701299,0.35584415584415585,0.4883116883116883,0.5402597402597402,0.6025974025974026,4.530249110320285,0.6441558441558441,0.35584415584415585,248,144,104,0.5806451612903226,0.43636363636363634,0.5636363636363636,168,64,104,0.38095238095238093,0.6857142857142857,0.3142857142857143,264,160,104,0.6060606060606061,0.4103896103896104,0.5896103896103896,158,54,104,0.34177215189873417,0.4623376623376623,0.5376623376623376,178,74,104,0.4157303370786517,0.4623376623376623,0.5376623376623376,178,74,104,0.4157303370786517
0_0_0_10_14_16,-26.0,11,385,0.6103896103896104,0.6103896103896104,0.22077922077922077,0.33506493506493507,0.4077922077922078,0.45714285714285713,5.761702127659574,0.7792207792207793,0.22077922077922077,300,150,150,0.5,0.587012987012987,0.412987012987013,226,76,150,0.336283185840708,0.7844155844155845,0.21558441558441557,302,152,150,0.5033112582781457,0.574025974025974,0.42597402597402595,221,71,150,0.3212669683257919,0.6155844155844156,0.38441558441558443,237,87,150,0.3670886075949367,0.6155844155844156,0.38441558441558443,237,87,150,0.3670886075949367
