packet_index,payload_symbol_index,gt_bin,top1_bin,gt_in_stage1_top_l,gt_stage1_rank,gt_in_viterbi_candidates,gt_viterbi_rank,top1_margin_db,top1_peak_to_median_db,top1_coherence,multi_bin,multi_hit,multi_error_type,v3_bin,v3_hit,v3_error_type,phase_line_bin,phase_line_hit,phase_line_error_type,phase_dp_first_bin,phase_dp_first_hit,phase_dp_first_error_type,phase_dp_second_bin,phase_dp_second_hit,phase_dp_second_error_type,phase_dp_second_anchor_bin,phase_dp_second_anchor_hit,phase_dp_second_anchor_error_type,dataset,target_snr_db
10,0,803,378,1,24,1,24,0.05001830299756521,5.447926838581179,0.20468599648334157,378,0,selectable_miss,819,0,selectable_miss,378,0,selectable_miss,819,0,selectable_miss,819,0,selectable_miss,819,0,selectable_miss,0_0_0_10_14_16,-25.0
10,1,826,171,1,3,1,3,0.47353843380566685,6.086109687357132,0.8127792245551532,171,0,selectable_miss,826,1,hit,171,0,selectable_miss,826,1,hit,826,1,hit,826,1,hit,0_0_0_10_14_16,-25.0
10,2,922,922,1,1,1,1,0.12529912841590812,6.003681943816065,0.9080090085274599,922,1,hit,922,1,hit,922,1,hit,922,1,hit,922,1,hit,922,1,hit,0_0_0_10_14_16,-25.0
10,3,691,531,0,0,0,0,0.061779703402461805,4.751557641188803,0.7365675372101887,531,0,gt_missing_top_l,451,0,gt_missing_top_l,531,0,gt_missing_top_l,451,0,gt_missing_top_l,451,0,gt_missing_top_l,451,0,gt_missing_top_l,0_0_0_10_14_16,-25.0
10,4,107,512,1,2,1,2,0.9295187195103156,6.125387174462191,0.9964276776487895,512,0,selectable_miss,512,0,selectable_miss,512,0,selectable_miss,512,0,selectable_miss,512,0,selectable_miss,512,0,selectable_miss,0_0_0_10_14_16,-25.0
10,5,468,816,0,0,0,0,0.1536245137640371,5.830616802795491,0.41224854335985583,816,0,gt_missing_top_l,444,0,gt_missing_top_l,816,0,gt_missing_top_l,444,0,gt_missing_top_l,444,0,gt_missing_top_l,444,0,gt_missing_top_l,0_0_0_10_14_16,-25.0
10,6,89,823,1,13,1,13,0.30468718987260474,6.562858315851997,0.39187554417619624,823,0,selectable_miss,89,1,hit,823,0,selectable_miss,941,0,selectable_miss,941,0,selectable_miss,941,0,selectable_miss,0_0_0_10_14_16,-25.0
10,7,713,735,1,23,1,23,0.22789279664113776,5.19407257619431,0.6093032869113852,735,0,selectable_miss,713,1,hit,735,0,selectable_miss,713,1,hit,713,1,hit,713,1,hit,0_0_0_10_14_16,-25.0
10,8,865,492,0,0,0,0,0.6071344764875413,6.06592622610601,0.33742011404493155,492,0,gt_missing_top_l,981,0,gt_missing_top_l,492,0,gt_missing_top_l,981,0,gt_missing_top_l,981,0,gt_missing_top_l,981,0,gt_missing_top_l,0_0_0_10_14_16,-25.0
10,9,492,288,0,0,0,0,0.3225286967976486,6.296848189355736,0.11224440601142943,288,0,gt_missing_top_l,497,0,gt_missing_top_l,288,0,gt_missing_top_l,497,0,gt_missing_top_l,497,0,gt_missing_top_l,497,0,gt_missing_top_l,0_0_0_10_14_16,-25.0
10,10,765,1001,1,16,1,16,0.7700247213640453,5.638623540117196,0.4630900875267116,1001,0,selectable_miss,765,1,hit,1001,0,selectable_miss,765,1,hit,765,1,hit,765,1,hit,0_0_0_10_14_16,-25.0
10,11,1023,1023,1,1,1,1,0.2596615669751526,6.281666058688885,0.6914714968776531,1023,1,hit,1023,1,hit,1023,1,hit,1023,1,hit,1023,1,hit,1023,1,hit,0_0_0_10_14_16,-25.0
10,12,597,130,0,0,0,0,0.4167844360291573,6.14349279442104,0.48959464480416426,130,0,gt_missing_top_l,600,0,gt_missing_top_l,130,0,gt_missing_top_l,600,0,gt_missing_top_l,600,0,gt_missing_top_l,600,0,gt_missing_top_l,0_0_0_10_14_16,-25.0
10,13,562,841,1,8,1,8,0.25109362728140444,5.479140610862826,0.5194027173731696,841,0,selectable_miss,148,0,selectable_miss,841,0,selectable_miss,562,1,hit,562,1,hit,562,1,hit,0_0_0_10_14_16,-25.0
10,14,478,651,1,2,1,2,0.013357905881623562,5.310932668792754,0.23829320144385485,651,0,selectable_miss,478,1,hit,651,0,selectable_miss,478,1,hit,478,1,hit,478,1,hit,0_0_0_10_14_16,-25.0
10,15,267,747,1,16,1,16,0.047089682817184376,5.344908964673715,0.32276055043223295,747,0,selectable_miss,669,0,selectable_miss,747,0,selectable_miss,378,0,selectable_miss,378,0,selectable_miss,378,0,selectable_miss,0_0_0_10_14_16,-25.0
10,16,917,426,0,0,0,0,0.3492800160449513,5.971110144316131,0.39451716133411796,426,0,gt_missing_top_l,274,0,gt_missing_top_l,426,0,gt_missing_top_l,574,0,gt_missing_top_l,574,0,gt_missing_top_l,574,0,gt_missing_top_l,0_0_0_10_14_16,-25.0
10,17,656,656,1,1,1,1,1.210504170449925,6.809132656784529,0.9486424177124874,656,1,hit,656,1,hit,656,1,hit,656,1,hit,656,1,hit,656,1,hit,0_0_0_10_14_16,-25.0
10,18,889,889,1,1,1,1,0.2868937840938088,6.0000497438913145,0.951164337795264,889,1,hit,889,1,hit,889,1,hit,889,1,hit,889,1,hit,889,1,hit,0_0_0_10_14_16,-25.0
10,19,510,122,0,0,0,0,0.3932713947007563,5.567011092255255,0.3748094555937021,122,0,gt_missing_top_l,614,0,gt_missing_top_l,122,0,gt_missing_top_l,614,0,gt_missing_top_l,614,0,gt_missing_top_l,614,0,gt_missing_top_l,0_0_0_10_14_16,-25.0
10,20,860,860,1,1,1,1,0.4067024623016502,5.628997138801023,0.9108744112057685,860,1,hit,860,1,hit,860,1,hit,860,1,hit,860,1,hit,860,1,hit,0_0_0_10_14_16,-25.0
