trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,decision_q2,is_error,true_rank_q2,true_in_top4,true_in_top8,true_in_top16,signal_power,added_noise_power,wrong_symbol,c_1m_true,c_1m_wrong,delta_c_1m,c_multirate_true,c_multirate_wrong,delta_c_multirate,c_1m_true_wins,c_multirate_true_wins
10:11:1,10.0,11,1,exp0_000000_rxg20_0_fulltrim,0,1,313,3745,1,2,1,1,1,5.516800773616521e-08,2.259681596873327e-05,3745,-0.00405627933980122,-0.0005462192230680207,-0.003510060116733199,-0.011445075811930933,-0.0011908147069216478,-0.010254261105009285,0,0
10:11:2,10.0,11,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,3922,1,127,0,0,0,5.490116890765393e-08,2.248751878457505e-05,3922,-0.0008683662172784924,-6.192711280592166e-06,-0.0008621735059979002,-0.0030394494492303305,-2.507932256436312e-05,-0.0030143701266659674,0,0
10:11:3,10.0,11,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,3644,1,7,0,1,1,5.706549947195974e-08,2.337402858371471e-05,3644,-0.007675279746448085,-0.0002334609819947916,-0.007441818764453293,-0.022563819899146003,-0.0011575937030232225,-0.02140622619612278,0,0
10:11:4,10.0,11,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,495,1,8,0,1,1,5.727483806912936e-08,2.3459773673115387e-05,495,-0.00015718651816675042,-0.008740602343475299,0.008583415825308548,-0.000811611018743776,-0.029130594794787107,0.02831898377604333,1,1
10:11:5,10.0,11,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,544,1,8,0,1,1,5.998009479350775e-08,2.4567846827420775e-05,544,-0.0016209481491612733,-0.006292259140875025,0.004671310991713752,-0.0068223101846185,-0.01713340530994925,0.010311095125330752,1,1
10:11:6,10.0,11,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,3428,1,3,1,1,1,6.021993173101038e-08,2.4666084037021852e-05,3428,-0.0041238119851905695,-4.1374883083950414e-05,-0.0040824371021066196,-0.012525870083899287,-0.00015381883315982107,-0.012372051250739466,0,0
10:11:7,10.0,11,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,47,1,13,0,0,1,6.297640756193777e-08,2.5795136537369707e-05,47,-0.0008791038819741307,-0.0002710115374839947,-0.000608092344490136,-0.0025348749625493864,-0.0016723557004388917,-0.0008625192621104947,0,0
10:11:8,10.0,11,8,exp0_000000_rxg20_0_fulltrim,0,8,849,3873,1,4,1,1,1,6.501240630023145e-08,2.6629081620574803e-05,3873,-0.00044321025268958023,-8.764356979095186e-06,-0.00043444589571048505,-0.0022712411206438315,-0.00018672783820841384,-0.0020845132824354176,0,0
10:11:10,10.0,11,10,exp0_000000_rxg20_0_fulltrim,0,10,713,3898,1,39,0,0,0,6.285975786989332e-08,2.5747356823508304e-05,3898,-0.010572833295835787,-0.002327420597880754,-0.008245412697955033,-0.032053966683413294,-0.006000909687265639,-0.026053056996147655,0,0
10:11:11,10.0,11,11,exp0_000000_rxg20_0_fulltrim,0,11,797,310,1,6,0,1,1,6.41980468785086e-08,2.629552000143712e-05,310,-0.0026967632049970363,-0.0020879454379664807,-0.0006088177670305556,-0.009352356395961544,-0.009022398076799342,-0.00032995831916220186,0,0
10:11:14,10.0,11,14,exp0_000000_rxg20_0_fulltrim,0,14,2437,4059,1,36,0,0,0,6.669297009117698e-08,2.731744054934609e-05,4059,-0.014893491206593699,-0.0011038523910052122,-0.013789638815588487,-0.04581332629137399,-0.004638720664402613,-0.041174605626971374,0,0
12:11:2,12.0,11,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,3922,1,18,0,0,0,5.490116890765393e-08,1.4188665136263938e-05,3922,-0.0011484997520518534,-7.145330427301003e-06,-0.0011413544216245524,-0.003916484653826732,-3.4320735577871756e-05,-0.0038821639182488603,0,0
12:11:3,12.0,11,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,3644,1,3,1,1,1,5.706549947195974e-08,1.4748015004984768e-05,3644,-0.011721035651979588,-0.0002235363961823714,-0.011497499255797216,-0.03490000553977076,-0.0013163176237514559,-0.0335836879160193,0,0
12:11:7,12.0,11,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,47,1,2,1,1,1,6.297640756193777e-08,1.62756308501228e-05,47,-0.000349760674712711,-0.00029113254117329123,-5.862813353941978e-05,-0.0009706289359783263,-0.0019871960842780937,0.0010165671482997673,0,1
12:11:10,12.0,11,10,exp0_000000_rxg20_0_fulltrim,0,10,713,3898,1,4,1,1,1,6.285975786989332e-08,1.6245483888744786e-05,3898,-0.007088784683565608,-0.0023863152829423978,-0.00470246940062321,-0.021858366324227045,-0.006003329022868823,-0.015855037301358222,0,0
12:11:11,12.0,11,11,exp0_000000_rxg20_0_fulltrim,0,11,797,310,1,3,1,1,1,6.41980468785086e-08,1.6591351471832576e-05,310,-0.0020787608237163666,-0.001982648912050954,-9.611191166541272e-05,-0.007545576221358678,-0.009270876685330559,0.0017253004639718808,0,1
12:11:14,12.0,11,14,exp0_000000_rxg20_0_fulltrim,0,14,2437,4059,1,9,0,0,1,6.669297009117698e-08,1.7236139747010963e-05,4059,-0.010968487335768136,-0.0011774735700265946,-0.00979101376574154,-0.03388046421756535,-0.005378520843753896,-0.02850194337381145,0,0
14:11:2,14.0,11,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,3922,1,2,1,1,1,5.490116890765393e-08,8.952442476095794e-06,3922,-0.0013840402123362608,-8.397395228116301e-06,-0.0013756428171081444,-0.004635982504709622,-4.539374247421023e-05,-0.0045905887622354116,0,0
14:11:11,14.0,11,11,exp0_000000_rxg20_0_fulltrim,0,11,797,798,1,3,1,1,1,6.41980468785086e-08,1.046843506600503e-05,798,-0.0018336409211419788,-0.0015249492871899034,-0.00030869163395207534,-0.006876079910563437,-0.006723304291124792,-0.0001527756194386453,0,0
14:11:14,14.0,11,14,exp0_000000_rxg20_0_fulltrim,0,14,2437,4059,1,2,1,1,1,6.669297009117698e-08,1.0875268963863548e-05,4059,-0.007671993751888837,-0.0012827652908890467,-0.006389228460999791,-0.02380662205528776,-0.006473922608257926,-0.017332699447029833,0,0
