method,packet_index,symbol_index,gt_bin,savaux_bin,proposal_bin,gt_savaux_rank,proposal_savaux_rank,savaux_correct,proposal_correct,savaux_margin_db,branch_color_mismatch,backend_ran,dataset,training_dataset,noise_mode,snr_db,seed,lora_guard_segments
information_8_conditional_lora,1,53,889,869,438,19,4,0,0,0.11991195886516474,0.30774489119794995,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_conditional_lora,1,55,860,349,111,31,5,0,0,0.006760777499475288,0.18226385366373957,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_conditional_lora,1,60,720,955,720,59,59,0,1,0.1594592336371451,0.46628287536595786,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_conditional_lora,1,62,602,602,602,1,1,1,1,0.26861502541912186,0.13583214689387865,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_conditional_lora,1,64,610,945,610,14,14,0,1,0.10193974331667599,0.2541043212431627,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_conditional_lora,0,5,468,337,338,11,2,0,0,0.19213140560848066,0.520701517642101,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,0,7,713,128,127,16,2,0,0,0.09354055795474056,0.7198427580465642,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,0,14,478,876,823,44,2,0,0,0.38191371053420137,0.37519072388764835,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,0,19,510,313,313,3,1,0,0,0.22638748840928713,0.20856995880531953,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,0,20,860,117,632,49,3,0,0,0.21230278221478344,0.1513626463678016,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,0,22,629,963,952,68,3,0,0,0.12627721277123571,0.3244875943783486,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,0,32,749,179,749,47,47,0,1,0.03196596833891065,0.46654973469116423,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,1,37,922,47,47,12,1,0,0,0.11163823460315818,0.16875835086774849,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,1,39,86,84,86,3,3,0,1,0.18330724580120672,0.2922088556966591,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,1,40,468,576,346,100,4,0,0,0.3699110421916142,0.14995616045443866,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,1,42,713,391,713,3,3,0,1,0.2085100654556143,0.3838880099300419,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,1,44,492,394,394,18,1,0,0,0.03865623365022322,1.2369500140451224,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,1,53,889,869,438,40,4,0,0,0.10681885855448661,0.30761727438506087,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,1,55,860,349,111,70,5,0,0,0.00859465830118836,0.1825425341697099,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
