method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db
savaux,0,70,1,0.014285714285714285,0,0,0.6263926999927207,8.948467142753154,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
hamming_8,8,70,1,0.014285714285714285,0,0,1.1727085999809788,16.752979999728268,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8,8,70,2,0.02857142857142857,0,1,1.2050602000053914,17.215145714362734,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap,8,70,2,0.02857142857142857,0,1,1.2907288000023982,18.438982857177116,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap_gated,8,70,2,0.02857142857142857,0,1,0.12473949999548495,1.7819928570783563,7,0.1,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
savaux,0,70,8,0.11428571428571428,0,0,0.26714059998994344,3.8162942855706206,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
hamming_8,8,70,8,0.11428571428571428,0,0,1.100415900000371,15.720227142862443,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8,8,70,8,0.11428571428571428,0,0,1.1245498999996926,16.06499857142418,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap,8,70,10,0.14285714285714285,0,2,1.2339612999930978,17.628018571329967,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap_gated,8,70,10,0.14285714285714285,0,2,0.28189349999956903,4.027049999993843,16,0.22857142857142856,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
savaux,0,70,16,0.22857142857142856,0,0,0.25704790000236244,3.6721128571766064,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
hamming_8,8,70,17,0.24285714285714285,2,3,1.2068600000166043,17.24085714309435,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8,8,70,18,0.2571428571428571,1,3,1.284330200011027,18.347574285871815,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap,8,70,20,0.2857142857142857,1,5,1.3839781000024232,19.77111571432033,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap_gated,8,70,19,0.2714285714285714,1,4,0.5894918999983929,8.421312857119899,29,0.4142857142857143,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
