selection_method,pattern_count,selection_rank,candidate_index,pattern_name,marginal_information,lora_leakage_weight
information,12,1,106,block_w32_s2_b1,119.71922425184201,10.0
information,12,2,128,block_w64_s2_b0,111.31755390859344,10.0
information,12,3,132,block_w64_s2_b2,81.12430197884936,10.0
information,12,4,110,block_w32_s2_b3,63.15496289054074,10.0
information,12,5,48,block_w8_s1_b0,16.57939759020478,10.0
information,12,6,155,multiscale_w128_s2_b1,18.923085132324065,10.0
information,12,7,163,multiscale_w128_s3_b1,15.640753729455524,10.0
information,12,8,22,block_w2_s3_b3,13.664236556623711,10.0
information,12,9,99,multiscale_w32_s1_b1,16.019138117618468,10.0
information,12,10,23,multiscale_w2_s3_b3,15.013688079456402,10.0
information,12,11,102,block_w32_s1_b3,17.451163699076854,10.0
information,12,12,146,block_w128_s1_b1,14.224088643375442,10.0
lora_information,12,1,113,multiscale_w32_s3_b0,58.62894452426539,10.0
lora_information,12,2,96,block_w32_s1_b0,24.483630282959584,10.0
lora_information,12,3,81,multiscale_w16_s2_b0,36.1688940633922,10.0
lora_information,12,4,87,multiscale_w16_s2_b3,17.803560981074288,10.0
lora_information,12,5,74,block_w16_s1_b1,30.67426997055067,10.0
lora_information,12,6,86,block_w16_s2_b3,16.828787586059647,10.0
lora_information,12,7,72,block_w16_s1_b0,26.34684348303146,10.0
lora_information,12,8,105,multiscale_w32_s2_b0,14.7592034066935,10.0
lora_information,12,9,99,multiscale_w32_s1_b1,15.288764052744165,10.0
lora_information,12,10,134,block_w64_s2_b3,13.508944289743695,10.0
lora_information,12,11,58,block_w8_s2_b1,8.99686505412692,10.0
lora_information,12,12,76,block_w16_s1_b2,6.623081740144488,10.0
