rank,preamble_start_sample,sfd_start_sample,data_start_sample,score,preamble_score,sfd_score,sync_word_bonus,preamble_ref_bin,preamble_stable_count,sync1_bin,sync2_bin,sync1_distance,sync2_distance,sfd1_bin,sfd2_bin,sfd_bin_distance,mean_preamble_confidence_db,mean_sfd_confidence_db,coarse_cfo_bins,hard_grlora_pattern_valid
1,23920,163184,172400,25.62302405558498,11.234824955105806,14.377240525282547,0.010958575196629945,3775,2,3738,3756,61,51,3820,3817,3,0.6115056988306644,0.037128083655935375,-299.25,False
2,28112,167376,176592,24.79013626916986,17.256408480690105,4.857420645884805,2.6763071425949514,3761,4,3780,2995,5,798,419,285,134,0.5829516347191351,1.1967576562634021,8.5,False
3,41008,180272,189488,23.672285189081016,16.36887808082811,7.303407108252907,4.496883014631087e-17,3951,4,3661,396,314,509,127,659,532,0.4721794351538634,1.8026621557229454,124.0,False
4,16408,155672,164888,22.547807235422678,16.737394048582246,2.777759866459954,3.0326533203804784,3945,4,3815,3981,154,4,4,3763,337,0.5179646171141271,0.6789378810153613,-157.75,False
5,32208,171472,180688,20.551182600687643,17.121708852763128,3.429473747924516,4.0443913757378136e-34,3761,4,2995,3165,790,628,285,679,394,0.5661380245604701,0.8396212944569892,73.5,False
