detection_index,event_start_sample,event_end_sample,coarse_preamble_start_sample,selected_window_start_sample,selected_peak_bin,selected_signed_peak_bin,selected_peak_power,selected_confidence_db,selected_peak_share,window_count,timing_correction_samples,score
0,25145344,25260032,25146777,25145344,74753,-7167,0.24806234585236395,0.8283669462992937,0.0001775297530671403,9,-1433,1.2101430045548145
1,25653248,25763840,25653348,25653248,81422,-498,0.25317564357923156,0.2002925592786658,0.00018890789052201508,8,-100,1.0471990894701695
2,25907200,26021888,25905541,25907200,8293,8293,0.2605960325332816,1.0684611303626337,0.0001970149773061352,9,1659,1.2789280512711865
3,26173440,26284032,26176750,26173440,65370,-16550,0.24619417448179812,0.5510103665777405,0.00018682986521256385,8,-3310,1.1352749015513488
4,26624000,26750976,26623788,26624000,1058,1058,0.21640650350002377,0.2294193483820015,0.0001604867318015754,12,212,1.0542459343120583
5,27103232,27213824,27104230,27103232,76930,-4990,0.1995987065090434,0.3613168424022627,0.00014189276564967646,8,-998,1.0867550932065968
6,27512832,27623424,27515421,27512832,68977,-12943,0.2664159473678649,0.4568700440299758,0.0001898620502432842,8,-2589,1.110930791993403
7,28626944,28737536,28627041,28626944,81433,-487,0.2980911862148572,0.30939301443610295,0.00015979944419574536,8,-97,1.0738393182132542
8,30228480,30343168,30230459,30228480,72025,-9895,0.2397320767667401,0.19046021344527442,0.0001630524693735641,9,-1979,1.0448309320635347
9,31301632,31416320,31302165,31301632,79254,-2666,0.22178172531580403,0.44910161816849536,0.0001583375760149806,9,-533,1.1089453950218797
10,32575488,32706560,32576088,32575488,78922,-2998,0.24178008716840876,1.1404315079434837,0.00018131913085008873,13,-600,1.300298767188757
11,33013760,33128448,33012420,33013760,6699,6699,0.19937704592826863,0.1411023717651789,0.00014093937762124054,9,1340,1.0330235853572483
12,33353728,33468416,33354975,33353728,75686,-6234,0.20467198487264485,0.1475430119926447,0.00014858008432336523,9,-1247,1.0345567084947014
