dataset,packet_index,frame_index,event_index,payload_symbol_index,frame_symbol_index,source_start_sample,corrected_start_sample,gt_bin,clean_csv_margin_db,clean_recomputed_margin_db,waveform_source,gt_provenance,noise_covariance_source,noise_window_count,noise_windows_available,raw_noise_power,covariance_sample_count,segment_covariance_sample_count,savaux_bin,gt_match_savaux,savaux_correct,savaux_margin_db,savaux_fix_vs_savaux,savaux_break_vs_savaux,fixed_gls_bin,fixed_gls_correct,fixed_gls_margin_db,fixed_gls_fix_vs_savaux,fixed_gls_break_vs_savaux,segmented_gls_bin,segmented_gls_correct,segmented_gls_margin_db,segmented_gls_fix_vs_savaux,segmented_gls_break_vs_savaux,colored_ml_bin,colored_ml_correct,colored_ml_margin_db,colored_ml_fix_vs_savaux,colored_ml_break_vs_savaux
0_0_0_10_14_16,1,0,1,11,19,2596017,2596019,1023,20.864407287465752,21.0089596635617,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,1023,1,1,21.0089596635617,0,0,1023,1,19.496764573647006,0,0,1023,1,9.71442195567337,0,0,1023,1,17.331060586565748,0,0
0_0_0_10_14_16,1,0,1,12,20,2600113,2600115,597,19.259424151450478,17.274593760515913,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,597,1,1,17.274593760515913,0,0,597,1,12.830994631110604,0,0,597,1,5.289559545531245,0,0,597,1,14.206499425721121,0,0
0_0_0_10_14_16,1,0,1,13,21,2604209,2604211,562,18.22906206910614,18.28326597405678,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,562,1,1,18.28326597405678,0,0,562,1,22.080464741391154,0,0,562,1,11.945359436803884,0,0,562,1,14.306714661427309,0,0
0_0_0_10_14_16,1,0,1,14,22,2608305,2608307,478,17.5300023689488,16.37794397469005,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,478,1,1,16.37794397469005,0,0,478,1,19.406647387280586,0,0,478,1,7.364632796378025,0,0,478,1,13.12091701079151,0,0
0_0_0_10_14_16,1,0,1,15,23,2612401,2612403,267,19.91502665531867,18.82379793004504,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,267,1,1,18.82379793004504,0,0,267,1,18.295329891520034,0,0,267,1,10.192544110289246,0,0,267,1,16.248366526314914,0,0
0_0_0_10_14_16,1,0,1,16,24,2616497,2616499,917,24.43834426946772,25.023747366904598,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,917,1,1,25.023747366904598,0,0,917,1,23.086393362724124,0,0,917,1,14.8879530479143,0,0,917,1,17.20663276494373,0,0
0_0_0_10_14_16,1,0,1,17,25,2620593,2620595,656,20.882241945775938,19.15376894332546,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,656,1,1,19.15376894332546,0,0,656,1,16.54984644011188,0,0,656,1,10.630685709131448,0,0,656,1,15.422470035413623,0,0
0_0_0_10_14_16,1,0,1,18,26,2624689,2624691,889,23.77697122211258,22.44950826290879,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,889,1,1,22.44950826290879,0,0,889,1,14.352983522339088,0,0,889,1,0.8060640733352936,0,0,889,1,16.034443191297818,0,0
0_0_0_10_14_16,1,0,1,19,27,2628785,2628787,510,20.336764949103735,18.071430778773028,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,510,1,1,18.071430778773028,0,0,510,1,20.805478176789496,0,0,510,1,16.013926147087954,0,0,510,1,15.04114639327826,0,0
0_0_0_10_14_16,1,0,1,20,28,2632881,2632883,860,24.804899830100705,23.78443336911374,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,860,1,1,23.78443336911374,0,0,860,1,23.683718517215297,0,0,860,1,10.751248566660168,0,0,860,1,16.392473505920265,0,0
