dataset,packet_index,frame_index,event_index,payload_symbol_index,frame_symbol_index,source_start_sample,corrected_start_sample,gt_bin,clean_csv_margin_db,clean_recomputed_margin_db,waveform_source,gt_provenance,noise_covariance_source,noise_window_count,noise_windows_available,raw_noise_power,covariance_sample_count,segment_covariance_sample_count,savaux_bin,gt_match_savaux,savaux_correct,savaux_margin_db,savaux_fix_vs_savaux,savaux_break_vs_savaux,fixed_gls_bin,fixed_gls_correct,fixed_gls_margin_db,fixed_gls_fix_vs_savaux,fixed_gls_break_vs_savaux,segmented_gls_bin,segmented_gls_correct,segmented_gls_margin_db,segmented_gls_fix_vs_savaux,segmented_gls_break_vs_savaux,colored_ml_bin,colored_ml_correct,colored_ml_margin_db,colored_ml_fix_vs_savaux,colored_ml_break_vs_savaux
0_0_0_10_14_16,2,1,2,20,28,4133246,4133248,860,18.920549484054416,19.083798072535217,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,860,1,1,19.083798072535217,0,0,860,1,18.626320176034323,0,0,860,1,10.754201482550682,0,0,860,1,14.698539011536942,0,0
0_0_0_10_14_16,2,1,2,21,29,4137342,4137344,553,14.194460245687717,13.017705839174315,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,553,1,1,13.017705839174315,0,0,553,1,11.666734208924643,0,0,553,1,6.603571424323192,0,0,553,1,11.190309436558294,0,0
0_0_0_10_14_16,2,1,2,22,30,4141438,4141440,629,15.33628081812064,14.57245874951967,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,629,1,1,14.57245874951967,0,0,629,1,10.391544327039577,0,0,629,1,5.047109248524084,0,0,629,1,12.007105279855388,0,0
0_0_0_10_14_16,2,1,2,23,31,4145534,4145536,759,18.869525652863462,17.969540713501367,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,759,1,1,17.969540713501367,0,0,759,1,17.77736843401901,0,0,759,1,8.55986762993156,0,0,759,1,14.495179990311073,0,0
0_0_0_10_14_16,2,1,2,24,32,4149630,4149632,874,21.752687090380498,20.79058819892517,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,874,1,1,20.79058819892517,0,0,874,1,21.478766167305892,0,0,874,1,7.831724864401453,0,0,874,1,14.930762003004928,0,0
0_0_0_10_14_16,2,1,2,25,33,4153726,4153728,720,17.08009569926032,16.31693892882668,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,720,1,1,16.31693892882668,0,0,720,1,15.955465154915931,0,0,720,1,7.246737000965525,0,0,720,1,13.383117439430956,0,0
0_0_0_10_14_16,2,1,2,26,34,4157822,4157824,314,18.63628794761517,16.28754112160985,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,314,1,1,16.28754112160985,0,0,314,1,20.70579788410996,0,0,314,1,13.033743209329513,0,0,314,1,14.83255488678038,0,0
0_0_0_10_14_16,2,1,2,27,35,4161918,4161920,602,15.86735299419622,15.000612309920605,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,602,1,1,15.000612309920605,0,0,602,1,19.268711298484153,0,0,602,1,14.174921986176818,0,0,602,1,12.686126148120389,0,0
0_0_0_10_14_16,2,1,2,28,36,4166014,4166016,7,26.855263492123157,25.817917184920326,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,7,1,1,25.817917184920326,0,0,7,1,22.150861887266004,0,0,7,1,12.079895901282908,0,0,7,1,21.637993941289082,0,0
0_0_0_10_14_16,2,1,2,29,37,4170110,4170112,610,16.436024028831085,16.053710145701302,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,610,1,1,16.053710145701302,0,0,610,1,16.80556522982214,0,0,610,1,11.790222924599492,0,0,610,1,13.41813749396417,0,0
0_0_0_10_14_16,3,2,3,0,8,5551688,5551690,222,28.289297548516366,26.35912521333605,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,222,1,1,26.35912521333605,0,0,222,1,22.06955897596213,0,0,222,1,5.676352241315569,0,0,222,1,18.44016291178535,0,0
0_0_0_10_14_16,3,2,3,1,9,5555784,5555786,711,25.801577181908346,23.324628633601968,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,711,1,1,23.324628633601968,0,0,711,1,24.47290960547951,0,0,711,1,11.57939154714639,0,0,711,1,19.67867765920059,0,0
0_0_0_10_14_16,3,2,3,2,10,5559880,5559882,871,26.546128606741487,23.47501054745029,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,871,1,1,23.47501054745029,0,0,871,1,24.038870794393326,0,0,871,1,7.302529478999488,0,0,871,1,18.083010566182253,0,0
0_0_0_10_14_16,3,2,3,3,11,5563976,5563978,718,24.28681801441202,24.81050396005903,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,718,1,1,24.81050396005903,0,0,718,1,25.23089060982337,0,0,718,1,6.617041557165557,0,0,718,1,18.565388323707264,0,0
0_0_0_10_14_16,3,2,3,4,12,5568072,5568074,107,26.40457228073022,21.86566540396388,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,107,1,1,21.86566540396388,0,0,107,1,18.88805083051626,0,0,107,1,8.515367848342866,0,0,107,1,18.89433865654915,0,0
0_0_0_10_14_16,3,2,3,5,13,5572168,5572170,468,20.707209536224788,18.851781650448906,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,468,1,1,18.851781650448906,0,0,468,1,15.66112003227262,0,0,468,1,12.055832031301081,0,0,468,1,17.240535370604473,0,0
0_0_0_10_14_16,3,2,3,6,14,5576264,5576266,89,19.116500745002295,18.264468940296418,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,89,1,1,18.264468940296418,0,0,89,1,12.41355649560369,0,0,89,1,11.368490542370765,0,0,89,1,17.492019586881014,0,0
0_0_0_10_14_16,3,2,3,7,15,5580360,5580362,713,22.50425283809451,22.430145864608075,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,713,1,1,22.430145864608075,0,0,713,1,10.756552403097743,0,0,713,1,6.667622607065536,0,0,713,1,17.88379336251611,0,0
0_0_0_10_14_16,3,2,3,8,16,5584456,5584458,865,18.437123948508575,19.96679255998578,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,865,1,1,19.96679255998578,0,0,865,1,19.57140930815929,0,0,865,1,13.063153681570103,0,0,865,1,16.07510107920365,0,0
0_0_0_10_14_16,3,2,3,9,17,5588552,5588554,492,21.776053551162647,20.166362571978457,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,492,1,1,20.166362571978457,0,0,492,1,18.80078118646308,0,0,492,1,11.766144551861382,0,0,492,1,17.551683457742666,0,0
0_0_0_10_14_16,3,2,3,10,18,5592648,5592650,765,20.76107546059385,19.872788296546297,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,765,1,1,19.872788296546297,0,0,765,1,17.6472732547829,0,0,765,1,6.432039560709133,0,0,765,1,17.616633384718654,0,0
0_0_0_10_14_16,3,2,3,11,19,5596744,5596746,1023,17.223515884703954,15.7891655845519,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,1023,1,1,15.7891655845519,0,0,1023,1,18.598787429913507,0,0,1023,1,7.454467228811032,0,0,1023,1,15.305106948177906,0,0
0_0_0_10_14_16,3,2,3,12,20,5600840,5600842,597,20.762888504047435,19.849375760565376,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,597,1,1,19.849375760565376,0,0,597,1,17.9462853330261,0,0,597,1,2.8630177106194044,0,0,597,1,18.356071798765257,0,0
0_0_0_10_14_16,3,2,3,13,21,5604936,5604938,562,20.85003552101133,18.552642188692985,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,562,1,1,18.552642188692985,0,0,562,1,19.253926998813387,0,0,562,1,8.871360090307196,0,0,562,1,17.982450185065765,0,0
0_0_0_10_14_16,3,2,3,14,22,5609032,5609034,478,19.906792589279323,17.88960696287301,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,478,1,1,17.88960696287301,0,0,478,1,16.726854658986387,0,0,478,1,8.514148682576696,0,0,478,1,17.159548115372132,0,0
0_0_0_10_14_16,3,2,3,15,23,5613128,5613130,267,16.79887416885262,18.155886646056675,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,267,1,1,18.155886646056675,0,0,267,1,18.656937784105242,0,0,267,1,11.813310965324481,0,0,267,1,14.947518630013704,0,0
0_0_0_10_14_16,3,2,3,16,24,5617224,5617226,917,15.281615191137586,14.369076406047306,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,917,1,1,14.369076406047306,0,0,917,1,14.15488011692875,0,0,917,1,10.478832959175108,0,0,917,1,15.145240938026829,0,0
0_0_0_10_14_16,3,2,3,17,25,5621320,5621322,656,18.588556930534196,19.54973425915982,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,656,1,1,19.54973425915982,0,0,656,1,15.589924191600407,0,0,656,1,9.616164239514276,0,0,656,1,16.582406777693887,0,0
0_0_0_10_14_16,3,2,3,18,26,5625417,5625419,889,19.053185607055873,19.15769213156244,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,889,1,1,19.15769213156244,0,0,889,1,15.478092779689167,0,0,889,1,0.6516445035627632,0,0,889,1,14.060194896775613,0,0
0_0_0_10_14_16,3,2,3,19,27,5629513,5629515,510,14.234230658205222,12.700382890554538,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,510,1,1,12.700382890554538,0,0,510,1,15.648568565751585,0,0,510,1,14.432412993644256,0,0,510,1,10.943990174984904,0,0
0_0_0_10_14_16,3,2,3,20,28,5633609,5633611,860,19.148988465949902,18.48522078715835,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,860,1,1,18.48522078715835,0,0,860,1,17.50861613816497,0,0,860,1,10.895054389037707,0,0,860,1,13.628889184581432,0,0
0_0_0_10_14_16,3,2,3,21,29,5637705,5637707,553,13.98546149114421,13.021087926070763,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,553,1,1,13.021087926070763,0,0,553,1,11.366416987293114,0,0,553,1,6.544750192842939,0,0,553,1,11.187154669356998,0,0
0_0_0_10_14_16,3,2,3,22,30,5641801,5641803,629,14.684041056883594,13.947307080515143,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,629,1,1,13.947307080515143,0,0,629,1,9.742416053785746,0,0,629,1,5.6642848351294,0,0,629,1,11.845619468877068,0,0
0_0_0_10_14_16,3,2,3,23,31,5645897,5645899,759,16.860775179013427,16.940990366561593,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,759,1,1,16.940990366561593,0,0,759,1,17.026955836831387,0,0,759,1,8.486813530730506,0,0,759,1,13.94281713049416,0,0
0_0_0_10_14_16,3,2,3,24,32,5649993,5649995,874,22.295245708408288,20.77314180854739,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,874,1,1,20.77314180854739,0,0,874,1,21.710139577268492,0,0,874,1,8.054734811070803,0,0,874,1,15.089315915722128,0,0
0_0_0_10_14_16,3,2,3,25,33,5654089,5654091,720,17.879331592546027,16.484694475499136,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,720,1,1,16.484694475499136,0,0,720,1,16.114485422212645,0,0,720,1,7.864295059940794,0,0,720,1,13.522133278737577,0,0
0_0_0_10_14_16,3,2,3,26,34,5658185,5658187,314,18.032519349545254,16.586399444896706,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,314,1,1,16.586399444896706,0,0,314,1,20.55173690963954,0,0,314,1,12.302222654497854,0,0,314,1,15.200414948262331,0,0
0_0_0_10_14_16,3,2,3,27,35,5662281,5662283,602,14.355472460494163,13.912157345813231,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,602,1,1,13.912157345813231,0,0,602,1,17.733383469000582,0,0,602,1,13.894651012083898,0,0,602,1,11.921105922594322,0,0
0_0_0_10_14_16,3,2,3,28,36,5666377,5666379,7,26.936159054964072,23.68374426042992,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,7,1,1,23.68374426042992,0,0,7,1,20.59317748259524,0,0,7,1,11.775875594620635,0,0,7,1,20.61610822201353,0,0
0_0_0_10_14_16,3,2,3,29,37,5670473,5670475,610,15.402797917536583,14.8523696826195,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,610,1,1,14.8523696826195,0,0,610,1,15.452631633370277,0,0,610,1,10.865786128453214,0,0,610,1,12.548524443672886,0,0
0_0_0_10_14_16,5,3,5,0,8,8552416,8552418,222,20.847720742217156,21.031571688687354,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,222,1,1,21.031571688687354,0,0,222,1,19.570166909326833,0,0,222,1,6.606155170294015,0,0,222,1,16.02864136844229,0,0
0_0_0_10_14_16,5,3,5,1,9,8556512,8556514,826,23.587367006503793,21.2400432113067,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,826,1,1,21.2400432113067,0,0,826,1,19.238284699436086,0,0,826,1,13.987284431864031,0,0,826,1,15.664990718048344,0,0
0_0_0_10_14_16,5,3,5,2,10,8560608,8560610,871,23.279026282889173,21.888182219080097,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,871,1,1,21.888182219080097,0,0,871,1,21.040680308141397,0,0,871,1,5.604930202861596,0,0,871,1,15.334358276902353,0,0
0_0_0_10_14_16,5,3,5,3,11,8564704,8564706,718,20.751258668171367,20.223281813597545,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,718,1,1,20.223281813597545,0,0,718,1,27.53037985175923,0,0,718,1,6.863184727931724,0,0,718,1,15.827777125049732,0,0
0_0_0_10_14_16,5,3,5,4,12,8568800,8568802,86,28.695668546797876,25.387948050513657,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,86,1,1,25.387948050513657,0,0,86,1,22.850635247710848,0,0,86,1,7.018945245653898,0,0,86,1,17.99566225834117,0,0
0_0_0_10_14_16,5,3,5,5,13,8572896,8572898,468,21.94231329968432,19.9338168420133,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,468,1,1,19.9338168420133,0,0,468,1,20.622777859464332,0,0,468,1,12.100474735654398,0,0,468,1,16.28190157002555,0,0
0_0_0_10_14_16,5,3,5,6,14,8576992,8576994,89,27.984640506812582,25.522844920107804,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,89,1,1,25.522844920107804,0,0,89,1,15.460733558934397,0,0,89,1,9.502146867388584,0,0,89,1,18.41683305635389,0,0
0_0_0_10_14_16,5,3,5,7,15,8581088,8581090,713,21.671845456802778,21.67942315951793,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,713,1,1,21.67942315951793,0,0,713,1,15.235334308137398,0,0,713,1,7.86139828923445,0,0,713,1,16.88507130453514,0,0
0_0_0_10_14_16,5,3,5,8,16,8585184,8585186,865,26.686222000386866,23.711801217413836,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,865,1,1,23.711801217413836,0,0,865,1,22.33055844785815,0,0,865,1,12.340658834345588,0,0,865,1,16.3515430266516,0,0
0_0_0_10_14_16,5,3,5,9,17,8589280,8589282,492,22.03032352363481,20.00425784372385,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,492,1,1,20.00425784372385,0,0,492,1,23.009784271742383,0,0,492,1,13.067564744015685,0,0,492,1,15.875513275127208,0,0
0_0_0_10_14_16,5,3,5,10,18,8593376,8593378,765,25.915507117070046,24.51007879338185,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,765,1,1,24.51007879338185,0,0,765,1,23.186816303497515,0,0,765,1,5.984432664109423,0,0,765,1,17.054418551855527,0,0
0_0_0_10_14_16,5,3,5,11,19,8597472,8597474,1023,23.846487161161335,21.434621967776295,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,1023,1,1,21.434621967776295,0,0,1023,1,24.138234356473987,0,0,1023,1,8.592069939056614,0,0,1023,1,19.2645215850131,0,0
0_0_0_10_14_16,5,3,5,12,20,8601568,8601570,597,23.085274063472436,22.341592871315488,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,597,1,1,22.341592871315488,0,0,597,1,18.35046604401732,0,0,597,1,4.220747708508236,0,0,597,1,17.359312063934492,0,0
0_0_0_10_14_16,5,3,5,13,21,8605664,8605666,562,22.657247434291147,20.364584335826912,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,562,1,1,20.364584335826912,0,0,562,1,22.173997963015253,0,0,562,1,10.873879763803785,0,0,562,1,16.36971653160453,0,0
0_0_0_10_14_16,5,3,5,14,22,8609760,8609762,478,23.324589891090504,21.788696397389167,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,478,1,1,21.788696397389167,0,0,478,1,21.598255648760933,0,0,478,1,7.95102093305584,0,0,478,1,16.918458440440716,0,0
0_0_0_10_14_16,5,3,5,15,23,8613856,8613858,267,24.098378391981058,21.847084300506637,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,267,1,1,21.847084300506637,0,0,267,1,22.314635228205123,0,0,267,1,12.237495212728264,0,0,267,1,18.717095616996076,0,0
0_0_0_10_14_16,5,3,5,16,24,8617952,8617954,917,22.215560895373105,20.692445999908884,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,917,1,1,20.692445999908884,0,0,917,1,20.983771318872087,0,0,917,1,12.897426815377717,0,0,917,1,18.353710931572323,0,0
0_0_0_10_14_16,5,3,5,17,25,8622048,8622050,656,26.824147976801896,23.885534489633745,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,656,1,1,23.885534489633745,0,0,656,1,21.58822981892644,0,0,656,1,10.461095731433785,0,0,656,1,19.174623009558744,0,0
0_0_0_10_14_16,5,3,5,18,26,8626144,8626146,889,22.509930510077943,19.514055262249347,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,889,1,1,19.514055262249347,0,0,889,1,14.287172203144728,0,0,889,1,0.8181594128531156,0,0,889,1,17.886371671721555,0,0
0_0_0_10_14_16,5,3,5,19,27,8630240,8630242,510,20.20722844451472,18.95317215620773,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,510,1,1,18.95317215620773,0,0,510,1,18.95992453043492,0,0,510,1,13.25957631197976,0,0,510,1,17.031093050861127,0,0
0_0_0_10_14_16,5,3,5,20,28,8634336,8634338,860,19.231444518337817,17.94657943156085,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,860,1,1,17.94657943156085,0,0,860,1,20.26401607689795,0,0,860,1,11.899636953560131,0,0,860,1,16.517262116072477,0,0
0_0_0_10_14_16,5,3,5,21,29,8638432,8638434,553,20.532840469091074,18.562830868640113,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,553,1,1,18.562830868640113,0,0,553,1,20.728747573055735,0,0,553,1,10.36826509614546,0,0,553,1,18.113643751085608,0,0
0_0_0_10_14_16,5,3,5,22,30,8642528,8642530,629,22.4399883880486,21.14218802246246,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,629,1,1,21.14218802246246,0,0,629,1,16.79461830420565,0,0,629,1,6.026701523606489,0,0,629,1,18.172162383206324,0,0
0_0_0_10_14_16,5,3,5,23,31,8646624,8646626,759,19.947927876517504,19.927768813754145,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,759,1,1,19.927768813754145,0,0,759,1,19.272523675339404,0,0,759,1,10.239358317764637,0,0,759,1,17.58767744362195,0,0
0_0_0_10_14_16,5,3,5,24,32,8650720,8650722,874,16.78730517330823,15.23801631051895,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,874,1,1,15.23801631051895,0,0,874,1,14.692202929313346,0,0,874,1,7.326337901155919,0,0,874,1,18.185966977744332,0,0
0_0_0_10_14_16,5,3,5,25,33,8654816,8654818,720,19.47739173600271,18.533822570981886,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,720,1,1,18.533822570981886,0,0,720,1,18.17796739190249,0,0,720,1,7.821462633426641,0,0,720,1,18.706558426901424,0,0
