sf,os_factor,noise_model,segment_count,dictionary_index,pattern_name,savaux_fixed_branch,selected,selection_order,selection_marginal_information,robust_group_gain_vs_segmented_savaux,mean_group_gain_vs_segmented_savaux
10,4,awgn,4,0,fixed_0,1,1,0,0.0,0.0,0.0
10,4,awgn,4,1,fixed_1,1,1,1,0.0,0.0,0.0
10,4,awgn,4,2,fixed_2,1,1,2,0.0,0.0,0.0
10,4,awgn,4,3,fixed_3,1,1,3,0.0,0.0,0.0
10,4,awgn,4,4,dyadic_w1_s1_b0,0,1,4,0.0,0.0,0.0
10,4,awgn,4,5,dyadic_w1_s1_b1,0,1,5,0.0,0.0,0.0
10,4,awgn,4,6,dyadic_w1_s1_b2,0,1,6,0.0,0.0,0.0
10,4,awgn,4,7,dyadic_w1_s1_b3,0,1,7,0.0,0.0,0.0
10,4,awgn,4,8,dyadic_w1_s2_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,9,dyadic_w1_s2_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,10,dyadic_w1_s2_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,11,dyadic_w1_s2_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,12,dyadic_w1_s3_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,13,dyadic_w1_s3_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,14,dyadic_w1_s3_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,15,dyadic_w1_s3_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,16,dyadic_w2_s1_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,17,dyadic_w2_s1_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,18,dyadic_w2_s1_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,19,dyadic_w2_s1_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,20,dyadic_w2_s2_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,21,dyadic_w2_s2_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,22,dyadic_w2_s2_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,23,dyadic_w2_s2_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,24,dyadic_w2_s3_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,25,dyadic_w2_s3_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,26,dyadic_w2_s3_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,27,dyadic_w2_s3_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,28,dyadic_w4_s1_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,29,dyadic_w4_s1_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,30,dyadic_w4_s1_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,31,dyadic_w4_s1_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,32,dyadic_w4_s2_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,33,dyadic_w4_s2_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,34,dyadic_w4_s2_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,35,dyadic_w4_s2_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,36,dyadic_w4_s3_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,37,dyadic_w4_s3_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,38,dyadic_w4_s3_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,39,dyadic_w4_s3_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,40,dyadic_w8_s1_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,41,dyadic_w8_s1_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,42,dyadic_w8_s1_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,43,dyadic_w8_s1_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,44,dyadic_w8_s2_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,45,dyadic_w8_s2_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,46,dyadic_w8_s2_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,47,dyadic_w8_s2_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,48,dyadic_w8_s3_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,49,dyadic_w8_s3_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,50,dyadic_w8_s3_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,51,dyadic_w8_s3_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,52,dyadic_w16_s1_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,53,dyadic_w16_s1_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,54,dyadic_w16_s1_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,55,dyadic_w16_s1_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,56,dyadic_w16_s2_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,57,dyadic_w16_s2_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,58,dyadic_w16_s2_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,59,dyadic_w16_s2_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,60,dyadic_w16_s3_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,61,dyadic_w16_s3_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,62,dyadic_w16_s3_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,63,dyadic_w16_s3_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,64,dyadic_w32_s1_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,65,dyadic_w32_s1_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,66,dyadic_w32_s1_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,67,dyadic_w32_s1_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,68,dyadic_w32_s2_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,69,dyadic_w32_s2_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,70,dyadic_w32_s2_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,71,dyadic_w32_s2_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,72,dyadic_w32_s3_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,73,dyadic_w32_s3_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,74,dyadic_w32_s3_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,75,dyadic_w32_s3_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,76,dyadic_w64_s1_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,77,dyadic_w64_s1_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,78,dyadic_w64_s1_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,79,dyadic_w64_s1_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,80,dyadic_w64_s2_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,81,dyadic_w64_s2_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,82,dyadic_w64_s2_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,83,dyadic_w64_s2_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,84,dyadic_w64_s3_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,85,dyadic_w64_s3_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,86,dyadic_w64_s3_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,87,dyadic_w64_s3_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,88,dyadic_w128_s1_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,89,dyadic_w128_s1_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,90,dyadic_w128_s1_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,91,dyadic_w128_s1_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,92,dyadic_w128_s2_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,93,dyadic_w128_s2_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,94,dyadic_w128_s2_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,95,dyadic_w128_s2_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,96,dyadic_w128_s3_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,97,dyadic_w128_s3_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,98,dyadic_w128_s3_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,99,dyadic_w128_s3_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,100,dyadic_w256_s1_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,101,dyadic_w256_s1_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,102,dyadic_w256_s1_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,103,dyadic_w256_s1_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,104,dyadic_w256_s2_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,105,dyadic_w256_s2_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,106,dyadic_w256_s2_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,107,dyadic_w256_s2_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,108,dyadic_w256_s3_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,109,dyadic_w256_s3_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,110,dyadic_w256_s3_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,111,dyadic_w256_s3_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,112,dyadic_w512_s1_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,113,dyadic_w512_s1_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,114,dyadic_w512_s1_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,115,dyadic_w512_s1_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,116,dyadic_w512_s2_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,117,dyadic_w512_s2_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,118,dyadic_w512_s2_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,119,dyadic_w512_s2_b3,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,120,dyadic_w512_s3_b0,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,121,dyadic_w512_s3_b1,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,122,dyadic_w512_s3_b2,0,0,-1,0.0,0.0,0.0
10,4,awgn,4,123,dyadic_w512_s3_b3,0,0,-1,0.0,0.0,0.0
10,4,ar1_rho0.8,4,12,dyadic_w1_s3_b0,0,1,4,0.04402674099409826,0.04402674099409826,0.052003631235080235
10,4,ar1_rho0.8,4,7,dyadic_w1_s1_b3,0,0,-1,0.0,0.030039274558835434,0.03241838657439579
10,4,ar1_rho0.8,4,52,dyadic_w16_s1_b0,0,1,5,0.029348916550097016,0.029546812329191496,0.05782894354634727
10,4,ar1_rho0.8,4,64,dyadic_w32_s1_b0,0,0,-1,0.0,0.028693180561258688,0.06158260376999127
10,4,ar1_rho0.8,4,40,dyadic_w8_s1_b0,0,0,-1,0.0,0.028242119578527347,0.05444678028281567
10,4,ar1_rho0.8,4,76,dyadic_w64_s1_b0,0,1,7,0.028408827423188274,0.028106582847320143,0.057781177218239735
10,4,ar1_rho0.8,4,4,dyadic_w1_s1_b0,0,1,6,0.028614411542604988,0.02713062194571755,0.043550264095504256
10,4,ar1_rho0.8,4,28,dyadic_w4_s1_b0,0,0,-1,0.0,0.023467135312420558,0.045751380043213295
10,4,ar1_rho0.8,4,8,dyadic_w1_s2_b0,0,0,-1,0.0,0.023102580258033658,0.025286886952794244
10,4,ar1_rho0.8,4,10,dyadic_w1_s2_b2,0,0,-1,0.0,0.02310258025803271,0.025286886952794758
10,4,ar1_rho0.8,4,60,dyadic_w16_s3_b0,0,0,-1,0.0,0.023072852585224703,0.02993323616945281
10,4,ar1_rho0.8,4,48,dyadic_w8_s3_b0,0,0,-1,0.0,0.0220846850716353,0.02853541671706618
10,4,ar1_rho0.8,4,13,dyadic_w1_s3_b1,0,0,-1,0.0,0.02202624497423107,0.04436297890990195
10,4,ar1_rho0.8,4,36,dyadic_w4_s3_b0,0,0,-1,0.0,0.02020358821008937,0.0244922695089763
10,4,ar1_rho0.8,4,9,dyadic_w1_s2_b1,0,0,-1,0.0,0.019852413393472067,0.036557301581515426
10,4,ar1_rho0.8,4,11,dyadic_w1_s2_b3,0,0,-1,0.0,0.01985241339346372,0.036557301581510986
10,4,ar1_rho0.8,4,16,dyadic_w2_s1_b0,0,0,-1,0.0,0.018968970522086022,0.02907713688115046
10,4,ar1_rho0.8,4,87,dyadic_w64_s3_b3,0,0,-1,0.0,0.018481546763195827,0.043532354199554854
10,4,ar1_rho0.8,4,74,dyadic_w32_s3_b2,0,0,-1,0.0,0.018070122847254295,0.02827150810437398
10,4,ar1_rho0.8,4,98,dyadic_w128_s3_b2,0,0,-1,0.0,0.017785805566361418,0.06504149183289411
