dataset,noise_model,snr_db,seed_count,symbol_count,savaux_equal_errors,savaux_equal_ser,savaux_gls_errors,savaux_gls_ser,savaux_nus_joint_gls_errors,savaux_nus_joint_gls_ser,segmented_savaux_gls_errors,segmented_savaux_gls_ser,segmented_savaux_nus_gls_errors,segmented_savaux_nus_gls_ser,cfr_whitened_ml_errors,cfr_whitened_ml_ser,savaux_gls_fixes_vs_equal,savaux_gls_breaks_vs_equal,joint_fixes_vs_savaux_gls,joint_breaks_vs_savaux_gls,segmented_savaux_fixes_vs_savaux_gls,segmented_savaux_breaks_vs_savaux_gls,segmented_joint_fixes_vs_segmented_savaux,segmented_joint_breaks_vs_segmented_savaux,segmented_savaux_paired_exact_p,segmented_joint_paired_exact_p,whitened_fixes_vs_segmented_joint,whitened_breaks_vs_segmented_joint
0_0_0_10_14_32,ar1_rho0.8,-26.0,3,384,329,0.8567708333333334,329,0.8567708333333334,329,0.8567708333333334,266,0.6927083333333334,264,0.6875,237,0.6171875,0,0,0,0,75,12,2,0,2.7135450099873083e-12,0.5,39,12
0_0_0_10_14_32,ar1_rho0.8,-24.0,3,384,261,0.6796875,261,0.6796875,261,0.6796875,157,0.4088541666666667,157,0.4088541666666667,135,0.3515625,0,0,0,0,109,5,1,1,1.4803002619863486e-26,1.0,34,12
0_0_0_10_14_32,ar1_rho0.8,-22.0,3,384,157,0.4088541666666667,157,0.4088541666666667,157,0.4088541666666667,41,0.10677083333333333,42,0.109375,29,0.07552083333333333,0,0,0,0,119,3,0,1,1.1387963575850963e-31,1.0,20,7
0_0_0_10_14_32,awgn,-26.0,3,384,88,0.22916666666666666,88,0.22916666666666666,88,0.22916666666666666,88,0.22916666666666666,88,0.22916666666666666,88,0.22916666666666666,0,0,0,0,0,0,0,0,1.0,1.0,0,0
0_0_0_10_14_32,awgn,-24.0,3,384,9,0.0234375,9,0.0234375,9,0.0234375,9,0.0234375,9,0.0234375,9,0.0234375,0,0,0,0,0,0,0,0,1.0,1.0,0,0
0_0_0_10_14_32,awgn,-22.0,3,384,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1.0,1.0,0,0
