sf,os_factor,noise_model,dictionary_index,pattern_name,savaux_fixed_branch,selected,selection_order,savaux_fisher_information,robust_conditional_fisher_gain,mean_conditional_fisher_gain,max_conditional_fisher_gain,conditional_gain_fraction_vs_savaux,mean_conditional_noise_variance,mean_residual_target_power,offset_counts
10,4,awgn,0,fixed_0,1,1,0,4096.000005721393,0.0,0.0,0.0,0.0,0.0,0.0,1024|0|0|0
10,4,awgn,1,fixed_1,1,1,1,4096.000005721393,0.0,0.0,0.0,0.0,0.0,0.0,0|1024|0|0
10,4,awgn,2,fixed_2,1,1,2,4096.000005721393,0.0,0.0,0.0,0.0,0.0,0.0,0|0|1024|0
10,4,awgn,3,fixed_3,1,1,3,4096.000005721393,0.0,0.0,0.0,0.0,0.0,0.0,0|0|0|1024
10,4,awgn,4,dyadic_w1_s1_b0,0,1,4,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999983056806,1.7130369330456844e-15,256|256|256|256
10,4,awgn,5,dyadic_w1_s1_b1,0,1,5,4096.000005721393,0.0,0.0,0.0,0.0,0.749999999345583,6.332718761601667e-16,256|256|256|256
10,4,awgn,6,dyadic_w1_s1_b2,0,1,6,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999998306405,3.1594041175759938e-15,256|256|256|256
10,4,awgn,7,dyadic_w1_s1_b3,0,1,7,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999983276221,1.5987690599971442e-15,256|256|256|256
10,4,awgn,8,dyadic_w1_s2_b0,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.49999999847161913,2.1962403855550252e-16,512|0|512|0
10,4,awgn,9,dyadic_w1_s2_b1,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.5000000001315563,2.6368519430895795e-15,0|512|0|512
10,4,awgn,10,dyadic_w1_s2_b2,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.4999999984716191,2.1962402539302697e-16,512|0|512|0
10,4,awgn,11,dyadic_w1_s2_b3,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.5000000001315562,2.6368508028842156e-15,0|512|0|512
10,4,awgn,12,dyadic_w1_s3_b0,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.749999998061073,3.2539872546228057e-15,256|256|256|256
10,4,awgn,13,dyadic_w1_s3_b1,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999985722295,5.919356866512942e-16,256|256|256|256
10,4,awgn,14,dyadic_w1_s3_b2,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7500000000752481,5.164356574324296e-15,256|256|256|256
10,4,awgn,15,dyadic_w1_s3_b3,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999991009753,9.044034302390512e-17,256|256|256|256
10,4,awgn,16,dyadic_w2_s1_b0,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999972563763,1.1781870122242668e-14,256|256|256|256
10,4,awgn,17,dyadic_w2_s1_b1,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999999312141,3.9244316720134975e-15,256|256|256|256
10,4,awgn,18,dyadic_w2_s1_b2,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999993769263,7.38255693816978e-16,256|256|256|256
10,4,awgn,19,dyadic_w2_s1_b3,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999992450094,3.5074487191478316e-16,256|256|256|256
10,4,awgn,20,dyadic_w2_s2_b0,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.4999999984716192,6.6216412884695955e-15,512|0|512|0
10,4,awgn,21,dyadic_w2_s2_b1,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.5000000001315563,2.4507535308622244e-16,0|512|0|512
10,4,awgn,22,dyadic_w2_s2_b2,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.4999999984716192,6.6216404211797225e-15,512|0|512|0
10,4,awgn,23,dyadic_w2_s2_b3,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.5000000001315561,2.450751097605118e-16,0|512|0|512
10,4,awgn,24,dyadic_w2_s3_b0,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999973748076,1.0193875789041726e-14,256|256|256|256
10,4,awgn,25,dyadic_w2_s3_b1,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999991265781,1.242910205206368e-16,256|256|256|256
10,4,awgn,26,dyadic_w2_s3_b2,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999992584951,3.8381759684091956e-16,256|256|256|256
10,4,awgn,27,dyadic_w2_s3_b3,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7500000000496454,4.931534101582934e-15,256|256|256|256
10,4,awgn,28,dyadic_w4_s1_b0,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999985073352,8.112791616129606e-16,256|256|256|256
10,4,awgn,29,dyadic_w4_s1_b1,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999992768059,4.3110890872100287e-16,256|256|256|256
10,4,awgn,30,dyadic_w4_s1_b2,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7499999979940507,3.761758135626475e-15,256|256|256|256
10,4,awgn,31,dyadic_w4_s1_b3,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.7500000000313344,4.768314813620045e-15,256|256|256|256
10,4,awgn,32,dyadic_w4_s2_b0,0,0,-1,4096.000005721393,0.0,0.0,0.0,0.0,0.4999999984716191,8.06693945777421e-15,512|0|512|0
