trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,decision_q2,is_error,true_rank_q2,true_in_top4,true_in_top8,true_in_top16,signal_power,added_noise_power,role,candidate_symbol,candidate_coordinate,q2_candidate_power,r_q8,theory_q8,dev_q8,abs_dev_q8,primary_amp_q8,secondary_amp_q8,pair_power_q8,strong_power_q8,r_q4,theory_q4,dev_q4,abs_dev_q4,primary_amp_q4,secondary_amp_q4,pair_power_q4,strong_power_q4,r_q2,theory_q2,dev_q2,abs_dev_q2,primary_amp_q2,secondary_amp_q2,pair_power_q2,strong_power_q2,ratio_variance,c_1m,c_multirate
6:7:0,6.0,7,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,3964,1,21,0,0,0,5.461110784836597e-08,5.618765857342129e-05,true,3293,3292,0.0004517588536387708,0.8520229929604126,0.803955078125,0.04806791483541262,0.04806791483541262,0.007266656961292028,0.04184000566601753,0.001803390377525473,0.0017505860741323792,0.852073689520417,0.803955078125,0.048118611395416955,0.048118611395416955,0.005165860988199711,0.02975599281489849,0.0009121052281496943,0.0008854191084002906,0.8632238305498995,0.803955078125,0.059268752424899485,0.059268752424899485,0.0033677539322525263,0.02125461958348751,0.00046310062018697316,0.0004517588536387708,2.7754108647178662e-05,-0.0023105244366244805,-0.00816646432189884
6:7:0,6.0,7,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,3964,1,21,0,0,0,5.461110784836597e-08,5.618765857342129e-05,wrong,3964,3963,0.0007652032298901545,0.9056206132935314,0.9677734375,-0.062152824206468615,0.062152824206468615,0.005804135464131832,0.05569377914071083,0.0031354850234602697,0.003101797034974277,0.9036871133192109,0.9677734375,-0.06408632418078908,0.06408632418078908,0.004174612928181887,0.03916966915130615,0.0015516903745229282,0.0015342629814227848,0.9078862167820422,0.9677734375,-0.05988722071795782,0.05988722071795782,0.002806606935337186,0.027662307024002075,0.0007730802723796373,0.0007652032298901545,2.9448723566012156e-06,-0.003862973556840191,-0.01155945458152338
6:7:1,6.0,7,1,exp0_000000_rxg20_0_fulltrim,0,1,313,46,1,1285,0,0,0,5.516800773616521e-08,5.676063542718011e-05,true,313,312,0.00010631343785764361,0.2246362597257748,0.076416015625,0.1482202441007748,0.1482202441007748,0.020324397832155228,0.005888328887522221,0.0004477535643273448,0.0004130811472397161,0.2227563284034879,0.076416015625,0.1463403127784879,0.1463403127784879,0.01462575327605009,0.004191708751022816,0.00023148308114529122,0.00021391265889188996,0.21565447729164106,0.076416015625,0.13923846166664106,0.13923846166664106,0.010310839861631393,0.0028349480126053095,0.00011435034888638169,0.00010631341865220689,1.4960316298385487e-05,-0.02196924076129327,-0.06278703742899
6:7:1,6.0,7,1,exp0_000000_rxg20_0_fulltrim,0,1,313,46,1,1285,0,0,0,5.516800773616521e-08,5.676063542718011e-05,wrong,46,45,0.0008576683200205992,0.02422029634540499,0.01123046875,0.012989827595404992,0.012989827595404992,0.05852848291397095,0.0014527635648846626,0.0034276938341864455,0.003425583312210989,0.031160779411786316,0.01123046875,0.019930310661786316,0.019930310661786316,0.0412178710103035,0.0013256905367597938,0.001700670346021272,0.0016989128906220174,0.03456271258439113,0.01123046875,0.023332243834391128,0.023332243834391128,0.0292859748005867,0.001048439648002386,0.0008587675457161026,0.0008576683200205992,1.8523225351782125e-05,-0.00016873562095834504,-0.0011288697317329232
6:7:2,6.0,7,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,92,1,589,0,0,0,5.490116890765393e-08,5.648609331329087e-05,true,1433,1432,0.00016779097345342997,0.4347708636133608,0.349853515625,0.08491734798836081,0.08491734798836081,0.02631109207868576,0.02023833431303501,0.001101863742139251,0.0006922735663730806,0.4319998345077649,0.349853515625,0.08214631888276491,0.08214631888276491,0.018437253311276436,0.014022690244019032,0.0005365681513438804,0.0003399323096641739,0.4398549084817291,0.349853515625,0.09000139285672909,0.09000139285672909,0.01295341644436121,0.010171692818403244,0.00027125433237300354,0.0001677909975810474,1.05809224071212e-05,-0.007210955989376366,-0.022069805333923675
6:7:2,6.0,7,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,92,1,589,0,0,0,5.490116890765393e-08,5.648609331329087e-05,wrong,92,91,0.0007969937027186291,0.020338009001619934,0.0224609375,-0.002122928498380066,0.002122928498380066,0.05663913115859032,0.0011758414329960942,0.0032093737814755468,0.0032079911783999965,0.0228720230586882,0.0224609375,0.0004110855586881984,0.0004110855586881984,0.040220022201538086,0.0009414460510015488,0.001618536506559163,0.0016176501858922165,0.026876281481026724,0.0224609375,0.004415343981026724,0.004415343981026724,0.028231075033545494,0.0007797018042765558,0.0007976015324532679,0.0007969935975496757,7.24492441880631e-06,-4.506825409234242e-06,-3.141600363539146e-05
6:7:3,6.0,7,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,3862,1,8,0,1,1,5.706549947195974e-08,5.871290524915007e-05,true,2865,2864,0.000618830499248324,0.8991384235147805,0.699462890625,0.19967553288978046,0.19967553288978046,0.005568642634898424,0.04964210093021393,0.002495347965560755,0.0024643381847655466,0.9031797492736395,0.699462890625,0.20371685864863953,0.20371685864863953,0.0037466667126864195,0.03495047241449356,0.0012355730334522278,0.0012215355219962754,0.9025416718927732,0.699462890625,0.20307878126777323,0.20307878126777323,0.0026861950755119324,0.02487630397081375,0.0006260461432320286,0.000618830499248324,3.1468395728334983e-06,-0.0398703184348178,-0.12261501517326451
6:7:3,6.0,7,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,3862,1,8,0,1,1,5.706549947195974e-08,5.871290524915007e-05,wrong,3862,3861,0.0008197633770781233,0.9315242165586161,0.94287109375,-0.011346877191383942,0.011346877191383942,0.004198991693556309,0.05712183564901352,0.0032805356391554666,0.0032629041079129117,0.933629546705884,0.94287109375,-0.00924154704411595,0.00924154704411595,0.0028739196714013815,0.04042727127671242,0.0016426236771585646,0.0016343642628808969,0.9321166125549493,0.94287109375,-0.010754481195050736,0.010754481195050736,0.0020851511508226395,0.028631512075662613,0.000824111339060591,0.000819763483738814,7.85813087836871e-07,-0.00012875162199634912,-0.0003306024926274941
6:7:4,6.0,7,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,4078,1,1902,0,0,0,5.727483806912936e-08,5.8928287175784206e-05,true,3469,3468,7.719159218516711e-05,0.4932607548019277,0.846923828125,-0.3536630733230723,0.3536630733230723,0.01751827262341976,0.017052313312888145,0.0005976712650293606,0.0003068898757084583,0.49637071096658025,0.846923828125,-0.35055311715841975,0.35055311715841975,0.012318171560764313,0.012140635401010513,0.0002991323785406924,0.0001517373506004227,0.5025027494795471,0.846923828125,-0.3444210786454529,0.3444210786454529,0.008698358200490475,0.008785875514149666,0.00015285304393417454,7.719160855013465e-05,1.4743132143523767e-05,-0.12507756943232082,-0.36660567992924636
6:7:4,6.0,7,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,4078,1,1902,0,0,0,5.727483806912936e-08,5.8928287175784206e-05,wrong,4078,4077,0.0008870556731289114,0.9828106896087734,0.99560546875,-0.01279477914122662,0.01279477914122662,0.0010566521668806672,0.060414817184209824,0.003651066649203268,0.0036499501354014946,0.9758106957525816,0.99560546875,-0.019794772997418386,0.019794772997418386,0.0010507877450436354,0.0423893928527832,0.0017979647813127215,0.0017968606264275877,0.9783600869217904,0.99560546875,-0.01724538182820956,0.01724538182820956,0.0006587675889022648,0.029783479869365692,0.0008874896478650996,0.0008870556731289114,8.367463733082465e-06,-0.0001637063732727678,-0.0008613100694259149
