trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,decision_q2,is_error,true_rank_q2,true_in_top4,true_in_top8,true_in_top16,signal_power,added_noise_power
6:7:0,6.0,7,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,3964,1,21,0,0,0,5.461110784836597e-08,5.618765857342129e-05
6:7:1,6.0,7,1,exp0_000000_rxg20_0_fulltrim,0,1,313,46,1,1285,0,0,0,5.516800773616521e-08,5.676063542718011e-05
6:7:2,6.0,7,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,92,1,589,0,0,0,5.490116890765393e-08,5.648609331329087e-05
6:7:3,6.0,7,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,3862,1,8,0,1,1,5.706549947195974e-08,5.871290524915007e-05
6:7:4,6.0,7,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,4078,1,1902,0,0,0,5.727483806912936e-08,5.8928287175784206e-05
6:7:5,6.0,7,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,610,1,123,0,0,0,5.998009479350775e-08,6.171164109720394e-05
6:7:6,6.0,7,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,277,1,297,0,0,0,6.021993173101038e-08,6.195840181107023e-05
6:7:7,6.0,7,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,4034,1,804,0,0,0,6.297640756193777e-08,6.479445346715599e-05
10:7:0,10.0,7,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,3293,0,1,1,1,1,5.461110784836597e-08,2.2368709774690702e-05
10:7:1,10.0,7,1,exp0_000000_rxg20_0_fulltrim,0,1,313,46,1,69,0,0,0,5.516800773616521e-08,2.259681596873327e-05
10:7:2,10.0,7,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,92,1,58,0,0,0,5.490116890765393e-08,2.248751878457505e-05
10:7:3,10.0,7,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,2865,0,1,1,1,1,5.706549947195974e-08,2.337402858371471e-05
10:7:4,10.0,7,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,4078,1,149,0,0,0,5.727483806912936e-08,2.3459773673115387e-05
10:7:5,10.0,7,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,610,1,9,0,0,1,5.998009479350775e-08,2.4567846827420775e-05
10:7:6,10.0,7,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,277,1,15,0,0,1,6.021993173101038e-08,2.4666084037021852e-05
10:7:7,10.0,7,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,4034,1,148,0,0,0,6.297640756193777e-08,2.5795136537369707e-05
