trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,decision_q2,is_error,true_rank_q2,true_in_top4,true_in_top8,true_in_top16,signal_power,added_noise_power,wrong_symbol,c_1m_true,c_1m_wrong,delta_c_1m,c_multirate_true,c_multirate_wrong,delta_c_multirate,c_1m_true_wins,c_multirate_true_wins
6:7:0,6.0,7,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,3964,1,21,0,0,0,5.461110784836597e-08,5.618765857342129e-05,3964,-0.0023105244366244805,-0.003862973556840191,0.0015524491202157107,-0.00816646432189884,-0.01155945458152338,0.003392990259624541,1,1
6:7:1,6.0,7,1,exp0_000000_rxg20_0_fulltrim,0,1,313,46,1,1285,0,0,0,5.516800773616521e-08,5.676063542718011e-05,46,-0.02196924076129327,-0.00016873562095834504,-0.021800505140334926,-0.06278703742899,-0.0011288697317329232,-0.06165816769725708,0,0
6:7:2,6.0,7,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,92,1,589,0,0,0,5.490116890765393e-08,5.648609331329087e-05,92,-0.007210955989376366,-4.506825409234242e-06,-0.007206449163967132,-0.022069805333923675,-3.141600363539146e-05,-0.022038389330288285,0,0
6:7:3,6.0,7,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,3862,1,8,0,1,1,5.706549947195974e-08,5.871290524915007e-05,3862,-0.0398703184348178,-0.00012875162199634912,-0.039741566812821455,-0.12261501517326451,-0.0003306024926274941,-0.12228441268063701,0,0
6:7:4,6.0,7,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,4078,1,1902,0,0,0,5.727483806912936e-08,5.8928287175784206e-05,4078,-0.12507756943232082,-0.0001637063732727678,-0.12491386305904804,-0.36660567992924636,-0.0008613100694259149,-0.36574436985982045,0,0
6:7:5,6.0,7,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,610,1,123,0,0,0,5.998009479350775e-08,6.171164109720394e-05,610,-0.002681000384319214,-0.0014084588457699409,-0.001272541538549273,-0.008855702459613441,-0.003735501015096524,-0.005120201444516918,0,0
6:7:6,6.0,7,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,277,1,297,0,0,0,6.021993173101038e-08,6.195840181107023e-05,277,-0.026456320341862422,-0.009603335609341512,-0.01685298473252091,-0.08050859131727106,-0.02800219380589573,-0.05250639751137533,0,0
6:7:7,6.0,7,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,4034,1,804,0,0,0,6.297640756193777e-08,6.479445346715599e-05,4034,-0.02676255889751403,-8.649717750055058e-05,-0.02667606172001348,-0.08180199991604005,-0.0004260714313463425,-0.0813759284846937,0,0
10:7:1,10.0,7,1,exp0_000000_rxg20_0_fulltrim,0,1,313,46,1,69,0,0,0,5.516800773616521e-08,2.259681596873327e-05,46,-0.01148039553015821,-0.00016964848294331603,-0.011310747047214895,-0.032290275625755774,-0.001748777545289058,-0.030541498080466717,0,0
10:7:2,10.0,7,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,92,1,58,0,0,0,5.490116890765393e-08,2.248751878457505e-05,92,-0.004591064570923979,-1.603026459380951e-05,-0.004575034306330169,-0.014172973350447036,-0.00011660383578807295,-0.014056369514658964,0,0
10:7:4,10.0,7,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,4078,1,149,0,0,0,5.727483806912936e-08,2.3459773673115387e-05,4078,-0.04861905139086509,-0.00015814922926632398,-0.04846090216159876,-0.1411563386939486,-0.0012954110462703762,-0.13986092764767824,0,0
10:7:5,10.0,7,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,610,1,9,0,0,1,5.998009479350775e-08,2.4567846827420775e-05,610,-0.0005291452647026636,-0.001439097714340346,0.0009099524496376825,-0.0021598519326901317,-0.00353825044806318,0.0013783985153730484,1,1
10:7:6,10.0,7,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,277,1,15,0,0,1,6.021993173101038e-08,2.4666084037021852e-05,277,-0.013224804064500106,-0.009335239254385152,-0.003889564810114954,-0.04137974346683854,-0.026470161369524705,-0.014909582097313832,0,0
10:7:7,10.0,7,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,4034,1,148,0,0,0,6.297640756193777e-08,2.5795136537369707e-05,4034,-0.01361932507971343,-8.707980605383788e-05,-0.013532245273659592,-0.042046614603848335,-0.0006649593620831283,-0.04138165524176521,0,0
