dataset,scenario,snr_db,seed,symbol_count,savaux_errors,robust_errors,savaux_ser,robust_ser,net_fixed_errors,fixes,breaks,gate_count,change_count,gate_rate,change_rate,gt_top_k_rate,mean_outlier_fraction,mean_savaux_seconds,mean_robust_overhead_seconds
0_0_0_10_14_16,awgn,-22.0,all,1155,11,11,0.009523809523809525,0.009523809523809525,0,0,0,0,0,0.0,0.0,1.0,0.0019283938717532467,0.0015521038095353717,0.0007651755843996055
0_0_0_10_14_16,awgn,-22.0,401,385,3,3,0.007792207792207792,0.007792207792207792,0,0,0,0,0,0.0,0.0,1.0,0.0019442471590909091,0.0014353994805386212,0.0007320758441408118
0_0_0_10_14_16,awgn,-22.0,502,385,3,3,0.007792207792207792,0.007792207792207792,0,0,0,0,0,0.0,0.0,1.0,0.0019061992694805194,0.0014456540259849939,0.0007339176623173007
0_0_0_10_14_16,awgn,-22.0,603,385,5,5,0.012987012987012988,0.012987012987012988,0,0,0,0,0,0.0,0.0,1.0,0.0019347351866883117,0.0017752579220825,0.0008295332467407041
0_0_0_10_14_16,awgn,-20.0,all,1155,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0019252232142857144,0.0014690197402679977,0.0007447531601625497
0_0_0_10_14_16,awgn,-20.0,401,385,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0019442471590909091,0.0014424000000068994,0.0007367864934935056
0_0_0_10_14_16,awgn,-20.0,502,385,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0019081016639610389,0.0015350135064949569,0.000769532987004669
0_0_0_10_14_16,awgn,-20.0,603,385,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0019233208198051947,0.0014296457143021368,0.0007279399999894743
0_0_0_10_14_16,awgn,-18.0,all,1155,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.001929873511904762,0.0014533645021437187,0.0007434446753101731
0_0_0_10_14_16,awgn,-18.0,401,385,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0019524908685064936,0.0014875651947607235,0.0007610122077789743
0_0_0_10_14_16,awgn,-18.0,502,385,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0019150771103896105,0.0014168046753066056,0.0007339270129693443
0_0_0_10_14_16,awgn,-18.0,603,385,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0019220525568181819,0.0014557236363638272,0.0007353948051822009
0_0_0_10_14_32,awgn,-22.0,all,735,93,93,0.12653061224489795,0.12653061224489795,0,0,0,0,0,0.0,0.0,0.9129251700680272,0.0019617612670068028,0.0014298510203961316,0.0007335474829814716
0_0_0_10_14_32,awgn,-22.0,401,245,29,29,0.11836734693877551,0.11836734693877551,0,0,0,0,0,0.0,0.0,0.926530612244898,0.0019491390306122449,0.001400363265294837,0.0007282404081558284
0_0_0_10_14_32,awgn,-22.0,502,245,32,32,0.1306122448979592,0.1306122448979592,0,0,0,0,0,0.0,0.0,0.9020408163265307,0.0019451530612244897,0.0014543677550897642,0.0007366436734461174
0_0_0_10_14_32,awgn,-22.0,603,245,32,32,0.1306122448979592,0.1306122448979592,0,0,0,0,0,0.0,0.0,0.9102040816326531,0.0019909917091836733,0.0014348220408037934,0.0007357583673424694
0_0_0_10_14_32,awgn,-20.0,all,735,74,74,0.10068027210884353,0.10068027210884353,0,0,0,0,0,0.0,0.0,0.9387755102040817,0.001966743728741497,0.0015056270748307254,0.0007579088435352101
0_0_0_10_14_32,awgn,-20.0,401,245,19,19,0.07755102040816327,0.07755102040816327,0,0,0,0,0,0.0,0.0,0.9469387755102041,0.0019511320153061224,0.0014516212244861705,0.0007316722448918807
0_0_0_10_14_32,awgn,-20.0,502,245,28,28,0.11428571428571428,0.11428571428571428,0,0,0,0,0,0.0,0.0,0.9387755102040817,0.0019601004464285714,0.001559711020409126,0.0007790408163136632
0_0_0_10_14_32,awgn,-20.0,603,245,27,27,0.11020408163265306,0.11020408163265306,0,0,0,0,0,0.0,0.0,0.9306122448979591,0.001988998724489796,0.00150554897959688,0.0007630134694000863
0_0_0_10_14_32,awgn,-18.0,all,735,51,51,0.06938775510204082,0.06938775510204082,0,0,0,0,0,0.0,0.0,0.9727891156462585,0.001973719175170068,0.00151284312926685,0.0007710142857163469
0_0_0_10_14_32,awgn,-18.0,401,245,16,16,0.0653061224489796,0.0653061224489796,0,0,0,0,0,0.0,0.0,0.9714285714285714,0.0019511320153061224,0.0015751130612424815,0.0007944848979419401
0_0_0_10_14_32,awgn,-18.0,502,245,16,16,0.0653061224489796,0.0653061224489796,0,0,0,0,0,0.0,0.0,0.9755102040816327,0.001980030293367347,0.0015065942856715398,0.000764635102054204
0_0_0_10_14_32,awgn,-18.0,603,245,19,19,0.07755102040816327,0.07755102040816327,0,0,0,0,0,0.0,0.0,0.9714285714285714,0.001989995216836735,0.0014568220408865292,0.0007539228571528968
