raw_bin,bank_kind,pattern_count,window_count,diag_cv,mean_abs_corr,max_abs_corr,target_amp_mean,target_phase_std,effective_replicas_empirical_rcond_1e_m6,effective_replicas_empirical_rcond_1e_m3,effective_replicas_rawpower_rcond_1e_m6,effective_replicas_rawpower_rcond_1e_m3,eig_max,rank_1em02,range_residual_1em02,rank_1em03,range_residual_1em03,rank_1em04,range_residual_1em04,rank_1em06,range_residual_1em06,dataset
301,fixed,4,1024,0.00939098019657187,0.9547359868980213,0.95848997238023,31.999999967466444,8.135447162829454e-10,1.0418275733999622,1.0418275733999622,0.231102843612166,0.231102843612166,8.105294567857559e-05,3,0.0021800760373544914,4,2.750985710722406e-16,4,2.750985710722406e-16,4,2.750985710722406e-16,0_0_0_10_14_16
653,fixed,4,1024,0.12500888491059997,0.6308135729281964,0.6656048921516566,31.99999997261623,7.612448847122017e-10,1.540877064562958,1.540877064562958,2.969435435762723,2.969435435762723,7.013384072436942e-06,4,1.086878823933626e-15,4,1.086878823933626e-15,4,1.086878823933626e-15,4,1.086878823933626e-15,0_0_0_10_14_16
301,basic_only,56,1024,0.013567890571291654,0.9621179749381799,0.9913940290925273,31.999999967466444,6.520177760925932e-10,1.1311493640046335,1.084325942282438,0.25004275117311464,0.2396923433849619,0.001134807362228436,1,0.0116110775231522,12,0.005090150752860997,20,7.527351060296149e-15,20,7.527351060296149e-15,0_0_0_10_14_16
653,basic_only,56,1024,0.16231583692886264,0.6604739349634594,0.927429268261784,31.999999972616227,9.516516940327722e-10,2.190911588198461,2.190911588198461,3.871017039565753,3.871017039565753,9.784522565376832e-05,13,0.038546800894550586,20,4.566574381301071e-15,20,4.566574381301071e-15,20,4.566574381301071e-15,0_0_0_10_14_16
301,random_only,64,1024,0.020105987769439282,0.9123023734609749,0.9483060453550985,31.999999964388152,7.781085161624811e-10,1.4771554767841495,1.1318208867053732,0.30887533213627744,0.23666537327608209,0.0013008913783852931,2,0.013092786636164032,26,0.009927532673432295,64,3.1732403059769014e-16,64,3.1732403059769014e-16,0_0_0_10_14_16
653,random_only,64,1024,0.11725856408286114,0.46813596234321236,0.6674285206524723,31.999999976220934,6.157253626446017e-10,4.954500249637386,4.954500249637386,6.192346795814871,6.192346795814871,0.00011250047220395053,30,0.06369684892556482,64,7.34257735913255e-16,64,7.34257735913255e-16,64,7.34257735913255e-16,0_0_0_10_14_16
301,balanced_random_only,64,1024,0.020776518162078903,0.9106849586663261,0.9509574056270248,31.999999965440825,6.216110465632378e-10,1.6317249560485592,1.1450747947209565,0.34049307833244397,0.2389434814550989,0.0013012795320357267,2,0.014198631924099408,26,0.01076709606580826,64,8.798574497518314e-16,64,8.798574497518314e-16,0_0_0_10_14_16
653,balanced_random_only,64,1024,0.09070067196104817,0.4547990730771966,0.6634139956258568,31.999999976402066,5.573995615156065e-10,3.963757457770687,3.963757457770687,4.760417812161179,4.760417812161179,0.00011371742840216739,29,0.04663404340926916,64,1.6240954673374792e-15,64,1.6240954673374792e-15,64,1.6240954673374792e-15,0_0_0_10_14_16
