dataset,snr_db,seed,packet_index,payload_symbol_index,gt_bin,raw_fft_bin,is_gt,is_savaux,savaux_ok,candidate_rank,gt_savaux_rank,savaux_margin_db,distance_to_gt,distance_to_savaux,savaux_power,log_savaux_power,best_pattern_power,mean_pattern_power,coherent_pattern_power,whitened_pattern_power,stable_pattern_power,pattern_consistency,mean_gain_vs_savaux,coherent_gain_vs_savaux,whitened_gain_vs_savaux,stable_gain_vs_savaux
0_0_0_10_14_8,-25.0,1,0,0,803,803,1,1,1,1,1,2.5530180931513873,0,0,1.7921826324295722,0.5834342247780033,0.36114585464615406,0.13335112568686286,0.10434134196211146,0.3908328641840929,1.4023034297288528,0.7824556517590064,0.07440710744199402,0.05822026174902785,0.2180764711765231,0.7824556517590064
0_0_0_10_14_8,-25.0,1,0,0,803,271,0,0,1,2,1,2.5530180931513873,492,492,0.9955898378862571,-0.004419915565443509,0.20503968500052255,0.0809680962274287,0.057142079139819495,0.2051441444688607,0.7026233289158713,0.7057357379296029,0.08132676042508888,0.057395201282024126,0.20605287103412334,0.7057357379296029
0_0_0_10_14_8,-25.0,1,0,0,803,580,0,0,1,3,1,2.5530180931513873,223,223,0.8265055024691073,-0.19054870418834088,0.1476816383860824,0.06901550412040569,0.04749917276173242,0.1732190585777309,0.5688334548974938,0.688239162592575,0.08350277634477736,0.05746988086568464,0.20958004279494244,0.688239162592575
0_0_0_10_14_8,-25.0,1,0,0,803,24,0,0,1,4,1,2.5530180931513873,245,245,0.8009912514426674,-0.22190525401753444,0.18661369923653195,0.059570374034091,0.028935342616978405,0.10817142406253157,0.38906850375712165,0.4857337743157237,0.07437081731766565,0.03612441779465492,0.13504694822534422,0.4857337743157237
0_0_0_10_14_8,-25.0,1,0,0,803,912,0,0,1,5,1,2.5530180931513873,109,109,0.7447600077004068,-0.2946932498148382,0.1867594338321876,0.07024741929442817,0.04446586818282143,0.16624696757274593,0.4714251521674059,0.6329893486400053,0.09432222268664896,0.05970496230069946,0.22322220024416478,0.6329893486400053
0_0_0_10_14_8,-25.0,1,0,0,803,645,0,0,1,6,1,2.5530180931513873,158,158,0.7317737536798177,-0.3122838924681721,0.23858482883247256,0.08657683841185387,0.0541898577648119,0.1984630097726947,0.45802914908131365,0.625916339275706,0.11831093692072338,0.07405274853369814,0.27120815521832825,0.625916339275706
0_0_0_10_14_8,-25.0,1,0,0,803,832,0,0,1,7,1,2.5530180931513873,29,29,0.7166286160399729,-0.33319754183578143,0.19881107883019086,0.07169582030564509,0.041889907567737236,0.15006768905272747,0.4187065069948895,0.5842726589800796,0.10004599132787904,0.058454137373437874,0.20940789370369886,0.5842726589800796
0_0_0_10_14_8,-25.0,1,0,0,803,16,0,0,1,8,1,2.5530180931513873,237,237,0.6979819702837773,-0.35956200709237973,0.18379188570508018,0.05910919904825238,0.037547801530348486,0.13852277495767853,0.4433774930799324,0.6352277164117422,0.08468585373948909,0.053794801483314454,0.19846182402298956,0.6352277164117422
0_0_0_10_14_8,-25.0,1,0,0,803,472,0,0,1,9,1,2.5530180931513873,331,331,0.6752222957590028,-0.3927133152754828,0.1289007602307279,0.054176075388827044,0.03794325270275675,0.1399575018067466,0.4729048757157324,0.7003691653637566,0.08023442906003109,0.05619372011421151,0.20727618546633356,0.7003691653637566
0_0_0_10_14_8,-25.0,1,0,0,803,727,0,0,1,10,1,2.5530180931513873,76,76,0.6687431005784674,-0.40235529771715156,0.27866777236912654,0.07439112128697895,0.04611209319134287,0.1694113430750366,0.41452721294496003,0.6198601713967458,0.11124020752158804,0.06895337410054114,0.25332798637996357,0.6198601713967458
