packet_index,frame_index,event_index,success,error,payload_len,cr,has_crc,ldro,fft_evidence_mode,payload_hex,observed_crc_valid,crc_computed,crc_received,candidate_payload_count,observed_crc_valid_count,avg_block_candidates,selected_beam_rank,selected_total_score,selected_block_score,selected_projection_score,selected_trajectory_score,selected_source,selected_source_is_argmax_fallback,phase_line_slope_pi,phase_line_r2,phase_gated_evidence,phase_gated_weight,phase_gated_width_pi,phase_gated_trend_source,phase_gated_trend_quality,phase_gated_trend_slope_pi,phase_gated_trend_r2,phase_gated_residual_offset_pi,phase_gated_residual_std_pi,phase_gated_early_anchor_count,likelihood_ms,block_search_ms,global_beam_ms,final_projection_ms,total_ms,gt_compared_symbols,argmax_raw_ser,two_stage_raw_ser,argmax_symbol_ser,two_stage_symbol_ser,topk_recall,mean_gt_rank,ser_delta_raw_argmax_minus_two_stage,ser_delta_symbol_argmax_minus_two_stage,center_argmax_raw_ser,center_argmax_symbol_ser,multi_offset_argmax_raw_ser,multi_offset_argmax_symbol_ser
1,0,1,1,,33,1,1,0,phase-gated,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4d14,0x4d14,64,1,64.000,0,3.142649046,0.000000000,-2.468324890,0.805486968,beam,0,0.009813279,0.211792225,multi-offset,0.200000000,0.500000000,early-payload,0.610649598,-0.024575955,0.800436369,0.000000000,0.047873203,8,48.912,179.584,1.746,98.680,329.834,35,0.05714285714285714,0.0,0.05714285714285714,0.0,1.0,1.0571428571428572,0.05714285714285714,0.05714285714285714,0.5714285714285714,0.5714285714285714,0.02857142857142857,0.02857142857142857
2,1,2,1,,33,1,1,0,phase-gated,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x08a0,0x08a0,64,1,64.000,0,4.125163294,0.000000000,-1.498062886,0.811613090,beam,0,-0.034590212,0.659879301,multi-offset,0.200000000,0.500000000,early-payload,0.723625027,-0.071436804,0.985781782,0.000000000,0.037024298,8,50.136,166.277,1.168,79.203,297.233,35,0.05714285714285714,0.0,0.05714285714285714,0.0,1.0,1.2571428571428571,0.05714285714285714,0.05714285714285714,0.4857142857142857,0.4857142857142857,0.05714285714285714,0.05714285714285714
3,2,3,1,,33,1,1,0,phase-gated,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xc08d,0xc08d,64,1,64.000,0,3.315401170,0.000000000,-2.147396569,0.731398869,beam,0,-0.011000071,0.251169748,multi-offset,0.200000000,0.500000000,early-payload,0.626860935,-0.052463722,0.942281845,0.000000000,0.190344281,8,51.090,181.108,1.201,85.243,319.223,35,0.05714285714285714,0.0,0.05714285714285714,0.0,1.0,1.1142857142857143,0.05714285714285714,0.05714285714285714,0.4,0.4,0.05714285714285714,0.05714285714285714
5,3,5,1,,33,1,1,0,phase-gated,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4be5,0x4be5,64,1,64.000,0,3.627874404,0.000000000,-1.874011423,0.750942914,beam,0,-0.062578458,0.777229089,multi-offset,0.200000000,0.500000000,early-payload,0.666913250,-0.060137589,0.904176639,0.000000000,0.056856456,8,41.981,154.073,1.146,80.163,277.795,35,0.02857142857142857,0.0,0.02857142857142857,0.0,1.0,1.0285714285714285,0.02857142857142857,0.02857142857142857,0.37142857142857144,0.37142857142857144,0.02857142857142857,0.02857142857142857
6,4,6,1,,33,1,1,0,phase-gated,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x0e51,0x0e51,64,3,64.000,0,3.924570515,0.000000000,-1.700272844,0.812421680,beam,0,-0.038839014,0.383894326,multi-offset,0.200000000,0.500000000,early-payload,0.657192847,-0.108345068,0.924185457,0.000000000,0.103330612,8,43.529,151.357,1.171,74.410,270.889,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.34285714285714286,0.34285714285714286,0.0,0.0
8,5,8,1,,33,1,1,0,phase-gated,404433221100090058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x8e2a,0x8e2a,64,1,64.000,0,2.853383249,0.000000000,-2.632566455,0.742974852,beam,0,-0.037712986,0.771144910,multi-offset,0.200000000,0.500000000,early-payload,0.710723206,-0.047740004,0.981324648,0.000000000,0.058456085,8,41.487,151.477,1.120,75.663,270.189,35,0.02857142857142857,0.0,0.02857142857142857,0.0,1.0,1.0285714285714285,0.02857142857142857,0.02857142857142857,0.37142857142857144,0.37142857142857144,0.0,0.0
9,6,9,1,,33,1,1,0,phase-gated,4044332211000a0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x40f6,0x40f6,64,2,64.000,0,3.348859378,0.000000000,-2.099681502,0.724270440,beam,0,-0.018318309,0.372410835,multi-offset,0.200000000,0.500000000,early-payload,0.678835633,-0.057230837,0.921341621,0.000000000,0.052469616,8,42.184,148.557,1.088,77.420,269.676,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0
10,7,10,1,,33,1,1,0,phase-gated,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x0542,0x0542,64,1,64.000,0,2.513867450,0.000000000,-2.900976477,0.707421964,beam,0,-0.025642330,0.362715017,multi-offset,0.200000000,0.500000000,early-payload,0.686918183,-0.052756472,0.946595481,0.000000000,0.066511575,8,59.097,165.814,1.211,76.000,302.555,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.45714285714285713,0.45714285714285713,0.0,0.0
11,8,11,1,,33,1,1,0,phase-gated,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xcd6f,0xcd6f,64,1,64.000,0,2.287059519,0.000000000,-2.291895346,0.289477432,beam,0,0.112395762,0.243206611,multi-offset,0.200000000,0.500000000,early-payload,0.344026728,0.170337785,0.558123695,0.000000000,0.446896198,8,42.139,156.440,1.093,75.498,275.606,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0
12,9,12,1,,33,1,1,0,phase-gated,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x88db,0x88db,64,1,64.000,0,1.558792576,0.000000000,-3.029422182,0.294107379,beam,0,-0.060017486,0.066933434,multi-offset,0.200000000,0.500000000,early-payload,0.157427825,0.050786493,0.131049362,0.000000000,0.479120861,8,42.137,155.613,1.218,76.651,276.083,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.08571428571428572,0.08571428571428572,0.0,0.0
13,10,13,1,,33,1,1,0,phase-gated,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4607,0x4607,64,1,64.000,0,2.437411049,0.000000000,-3.034761813,0.736086431,beam,0,-0.054620073,0.756487841,multi-offset,0.200000000,0.500000000,early-payload,0.696068009,-0.057437830,0.951767364,0.000000000,0.053324049,8,43.055,171.706,1.128,77.789,294.156,35,0.02857142857142857,0.0,0.02857142857142857,0.0,1.0,1.0571428571428572,0.02857142857142857,0.02857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0
