packet_index,frame_index,event_index,success,error,payload_len,cr,has_crc,ldro,payload_hex,observed_crc_valid,crc_computed,crc_received,candidate_payload_count,observed_crc_valid_count,avg_block_candidates,selected_beam_rank,selected_total_score,selected_block_score,selected_projection_score,phase_line_slope_pi,phase_line_r2,likelihood_ms,block_search_ms,global_beam_ms,final_projection_ms,total_ms,gt_compared_symbols,argmax_raw_ser,two_stage_raw_ser,argmax_symbol_ser,two_stage_symbol_ser,topk_recall,mean_gt_rank,ser_delta_raw_argmax_minus_two_stage,ser_delta_symbol_argmax_minus_two_stage
1,0,1,1,,33,1,1,0,40245344710002035803026165266203f2cbf59cf8fc64f73fd008428ae5533012,0,0x9648,0x4d14,64,0,64.000,12,-0.832762445,-0.036841661,-0.795920783,0.009813279,0.211792225,61.358,173.669,94.669,38.971,368.682,35,0.5714285714285714,0.5428571428571428,0.5714285714285714,0.5428571428571428,0.8285714285714286,27.942857142857143,0.02857142857142857,0.02857142857142857
2,1,2,1,,33,1,1,0,40447762154453166c02633466646563777d796e2afd31f2338cc1eacb52dc3c12,0,0x8279,0x08a0,64,0,64.000,42,-0.405758962,-0.005343671,-0.400415291,-0.034590212,0.659879301,57.696,168.575,75.241,37.150,338.670,35,0.4857142857142857,0.45714285714285713,0.4857142857142857,0.45714285714285713,0.8285714285714286,21.571428571428573,0.02857142857142857,0.02857142857142857
3,2,3,1,,33,1,1,0,40e4fed050140000583031f259f23f563b38393a3b5c5d0e6f704471437b555414,0,0x7fbb,0xa6ed,64,0,64.000,2,-0.030779434,0.000000000,-0.030779434,-0.011000071,0.251169748,47.346,157.993,77.566,38.421,321.334,35,0.4,0.42857142857142855,0.4,0.42857142857142855,0.9428571428571428,6.857142857142857,-0.02857142857142857,-0.02857142857142857
5,3,5,1,,33,1,1,0,4054aeae890507005830313233343536573b696a3d3c3d3e3f4001405379373612,0,0x9bae,0x4be5,64,0,64.000,1,-0.173560115,-0.061134283,-0.112425831,-0.062578458,0.777229089,48.297,160.709,76.757,39.218,324.987,35,0.37142857142857144,0.3142857142857143,0.37142857142857144,0.3142857142857143,0.9714285714285714,5.228571428571429,0.05714285714285714,0.05714285714285714
6,4,6,1,,33,1,1,0,40443982b1a007005830313223352536a7a13033ab351d3637e243174678063456,0,0xee87,0x0a11,64,0,64.000,30,-0.618980039,-0.006512703,-0.612467335,-0.038839014,0.383894326,51.114,183.543,79.283,37.361,351.309,35,0.34285714285714286,0.37142857142857144,0.34285714285714286,0.37142857142857144,0.9142857142857143,48.34285714285714,-0.02857142857142857,-0.02857142857142857
8,5,8,1,,33,1,1,0,404433221100094018707136767021373638393a3b0cad3e0cda0240615e56361e,0,0x9d24,0x8ee6,64,0,64.000,0,-0.518659878,-0.138706701,-0.379953178,-0.037712986,0.771144910,53.861,180.646,85.365,41.803,361.681,35,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.9714285714285714,4.0,0.0,0.0
9,6,9,1,,33,1,1,0,40443a2e41c90300583031323637303334a8393aab3ca1f26fd5f04bc9425dff1e,0,0x82f5,0x8cf6,64,0,64.000,48,-0.810362134,-0.162405406,-0.647956728,-0.018318309,0.372410835,54.648,156.549,87.686,38.577,337.466,35,0.42857142857142855,0.5142857142857142,0.42857142857142855,0.5142857142857142,0.8571428571428571,17.02857142857143,-0.08571428571428572,-0.08571428571428572
10,7,10,1,,33,1,1,0,4044332211001ba85028913166646036521a21567b3b3d3e3f40a124a138f23022,0,0xaf3e,0x3542,64,0,64.000,4,-0.580569445,-0.077759944,-0.502809501,-0.025642330,0.362715017,47.492,158.686,77.027,37.183,320.394,35,0.45714285714285713,0.4857142857142857,0.45714285714285713,0.4857142857142857,0.9428571428571428,8.457142857142857,-0.02857142857142857,-0.02857142857142857
11,8,11,1,,33,1,1,0,4044332211000c005830315233545556f7f4393a373c3d3e3f4041424378563412,0,0xc103,0xcd6f,64,0,64.000,0,0.000000000,0.000000000,0.000000000,0.112395762,0.243206611,48.028,153.674,76.757,36.908,315.373,35,0.14285714285714285,0.11428571428571428,0.14285714285714285,0.11428571428571428,0.9714285714285714,2.6285714285714286,0.02857142857142857,0.02857142857142857
12,9,12,1,,33,1,1,0,4044332211000d0058303132333435363738393a3b2c2c3e2e4141424378563412,0,0x6e2a,0x88db,64,0,64.000,0,0.000000000,0.000000000,0.000000000,-0.060017486,0.066933434,53.280,175.194,81.673,41.891,352.044,35,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.05714285714285714,1.0,1.457142857142857,0.02857142857142857,0.02857142857142857
13,10,13,1,,33,1,1,0,4044332211000e0058303132a3343c3f3e38393a3b3c3d3e3f402122762b302212,0,0x6cae,0x4617,64,0,64.000,0,-0.064591848,0.000000000,-0.064591848,-0.054620073,0.756487841,53.145,165.130,87.828,38.632,344.742,35,0.2857142857142857,0.2,0.2857142857142857,0.2,0.9714285714285714,5.771428571428571,0.08571428571428572,0.08571428571428572
