packet_index,payload_symbol_index,phase_weight,profile_weight,gt_raw_fft_bin,amp_rank,phase_metric_rank,phase_line_slope_pi,phase_line_r2,phase_line_anchor_count,profile_quality,profile_anchors,line_source
1,0,0.0,0.0,222,1,1,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,0,0.0,0.02,222,1,1,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,0,0.0,0.05,222,1,1,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,0,0.0,0.1,222,1,1,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,0,0.0,0.2,222,1,1,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,0,0.0,0.5,222,1,1,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,0,0.0,1.0,222,1,2,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,0,0.0,2.0,222,1,18,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,1,0.0,0.0,826,18,18,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,1,0.0,0.02,826,18,18,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,1,0.0,0.05,826,18,19,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,1,0.0,0.1,826,18,22,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,1,0.0,0.2,826,18,35,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,1,0.0,0.5,826,18,88,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,1,0.0,1.0,826,18,176,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,1,0.0,2.0,826,18,339,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,2,0.0,0.0,922,36,36,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
1,2,0.0,0.02,922,36,41,0.00981327940618147,0.2117922252425355,8,0.3381999596620777,8,header
