packet_index,payload_symbol_index,top_l,gt_raw_fft_bin,amp_rank,amp_hit,codec_hit,codec_candidate_count,block_candidate_count
1,0,1,222,1,1,1,1,4096
1,0,4,222,1,1,1,3,4096
1,0,8,222,1,1,1,3,4096
1,0,16,222,1,1,1,3,4096
1,0,32,222,1,1,1,3,4096
1,0,64,222,1,1,1,3,4096
1,0,128,222,1,1,1,3,4096
1,1,1,826,18,0,0,1,4096
1,1,4,826,18,0,0,4,4096
1,1,8,826,18,0,0,8,4096
1,1,16,826,18,0,1,16,4096
1,1,32,826,18,1,1,32,4096
1,1,64,826,18,1,1,64,4096
1,1,128,826,18,1,1,128,4096
1,2,1,922,36,0,0,1,4096
1,2,4,922,36,0,0,4,4096
1,2,8,922,36,0,0,8,4096
1,2,16,922,36,0,0,16,4096
1,2,32,922,36,0,0,32,4096
1,2,64,922,36,1,0,64,4096
1,2,128,922,36,1,0,128,4096
1,3,1,718,1,1,1,1,4096
1,3,4,718,1,1,1,3,4096
1,3,8,718,1,1,1,3,4096
1,3,16,718,1,1,1,3,4096
1,3,32,718,1,1,1,3,4096
1,3,64,718,1,1,1,3,4096
1,3,128,718,1,1,1,3,4096
1,4,1,107,2,0,0,1,4096
1,4,4,107,2,1,1,4,4096
1,4,8,107,2,1,1,8,4096
1,4,16,107,2,1,1,16,4096
1,4,32,107,2,1,1,32,4096
1,4,64,107,2,1,1,64,4096
1,4,128,107,2,1,1,128,4096
1,5,1,468,221,0,0,1,4096
1,5,4,468,221,0,0,4,4096
1,5,8,468,221,0,0,8,4096
1,5,16,468,221,0,0,16,4096
1,5,32,468,221,0,0,32,4096
1,5,64,468,221,0,0,64,4096
1,5,128,468,221,0,0,128,4096
1,6,1,89,340,0,0,1,4096
1,6,4,89,340,0,0,4,4096
1,6,8,89,340,0,0,8,4096
1,6,16,89,340,0,0,16,4096
1,6,32,89,340,0,0,32,4096
1,6,64,89,340,0,0,64,4096
1,6,128,89,340,0,0,128,4096
1,7,1,713,1,1,1,1,4096
1,7,4,713,1,1,1,4,4096
1,7,8,713,1,1,1,7,4096
1,7,16,713,1,1,1,7,4096
1,7,32,713,1,1,1,7,4096
1,7,64,713,1,1,1,7,4096
1,7,128,713,1,1,1,7,4096
1,8,1,865,1,1,1,1,4096
1,8,4,865,1,1,1,4,4096
1,8,8,865,1,1,1,8,4096
1,8,16,865,1,1,1,16,4096
1,8,32,865,1,1,1,19,4096
1,8,64,865,1,1,1,19,4096
1,8,128,865,1,1,1,19,4096
1,9,1,492,1,1,1,1,4096
1,9,4,492,1,1,1,4,4096
1,9,8,492,1,1,1,8,4096
1,9,16,492,1,1,1,16,4096
1,9,32,492,1,1,1,32,4096
1,9,64,492,1,1,1,64,4096
1,9,128,492,1,1,1,128,4096
1,10,1,765,2,0,0,1,4096
1,10,4,765,2,1,0,4,4096
1,10,8,765,2,1,0,8,4096
1,10,16,765,2,1,0,16,4096
1,10,32,765,2,1,0,32,4096
1,10,64,765,2,1,0,32,4096
1,10,128,765,2,1,0,32,4096
1,11,1,1023,2,0,0,1,4096
1,11,4,1023,2,1,0,4,4096
1,11,8,1023,2,1,0,8,4096
1,11,16,1023,2,1,0,16,4096
1,11,32,1023,2,1,0,32,4096
1,11,64,1023,2,1,1,64,4096
1,11,128,1023,2,1,1,128,4096
1,12,1,597,199,0,0,1,4096
1,12,4,597,199,0,0,4,4096
1,12,8,597,199,0,0,8,4096
1,12,16,597,199,0,0,14,4096
1,12,32,597,199,0,0,14,4096
1,12,64,597,199,0,0,14,4096
1,12,128,597,199,0,0,14,4096
1,13,1,562,1,1,1,1,4096
1,13,4,562,1,1,1,4,4096
1,13,8,562,1,1,1,8,4096
1,13,16,562,1,1,1,16,4096
1,13,32,562,1,1,1,32,4096
1,13,64,562,1,1,1,64,4096
1,13,128,562,1,1,1,110,4096
1,14,1,478,2,0,0,1,4096
1,14,4,478,2,1,1,4,4096
1,14,8,478,2,1,1,8,4096
1,14,16,478,2,1,1,16,4096
1,14,32,478,2,1,1,32,4096
1,14,64,478,2,1,1,64,4096
1,14,128,478,2,1,1,126,4096
1,15,1,267,2,0,0,1,4096
1,15,4,267,2,1,0,4,4096
1,15,8,267,2,1,0,8,4096
1,15,16,267,2,1,0,16,4096
1,15,32,267,2,1,0,32,4096
1,15,64,267,2,1,0,32,4096
1,15,128,267,2,1,0,32,4096
1,16,1,917,10,0,0,1,4096
1,16,4,917,10,0,0,4,4096
1,16,8,917,10,0,0,8,4096
1,16,16,917,10,1,0,16,4096
1,16,32,917,10,1,0,32,4096
1,16,64,917,10,1,0,64,4096
1,16,128,917,10,1,0,128,4096
1,17,1,656,34,0,0,1,4096
1,17,4,656,34,0,0,4,4096
1,17,8,656,34,0,0,8,4096
1,17,16,656,34,0,0,16,4096
1,17,32,656,34,0,0,32,4096
1,17,64,656,34,1,0,40,4096
1,17,128,656,34,1,0,40,4096
1,18,1,889,4,0,0,1,4096
1,18,4,889,4,1,0,4,4096
1,18,8,889,4,1,0,8,4096
1,18,16,889,4,1,0,16,4096
1,18,32,889,4,1,0,32,4096
1,18,64,889,4,1,0,64,4096
1,18,128,889,4,1,0,128,4096
1,19,1,510,1,1,1,1,4096
1,19,4,510,1,1,1,1,4096
1,19,8,510,1,1,1,1,4096
1,19,16,510,1,1,1,1,4096
1,19,32,510,1,1,1,1,4096
1,19,64,510,1,1,1,1,4096
1,19,128,510,1,1,1,1,4096
1,20,1,860,2,0,0,1,4096
1,20,4,860,2,1,0,4,4096
1,20,8,860,2,1,0,8,4096
1,20,16,860,2,1,0,16,4096
1,20,32,860,2,1,0,32,4096
1,20,64,860,2,1,0,64,4096
1,20,128,860,2,1,0,82,4096
1,21,1,553,1,1,1,1,4096
1,21,4,553,1,1,1,4,4096
1,21,8,553,1,1,1,8,4096
1,21,16,553,1,1,1,9,4096
1,21,32,553,1,1,1,9,4096
1,21,64,553,1,1,1,9,4096
1,21,128,553,1,1,1,9,4096
1,22,1,629,1,1,0,1,4096
1,22,4,629,1,1,1,4,4096
1,22,8,629,1,1,1,8,4096
1,22,16,629,1,1,1,16,4096
1,22,32,629,1,1,1,32,4096
1,22,64,629,1,1,1,64,4096
1,22,128,629,1,1,1,112,4096
1,23,1,759,19,0,0,1,4096
1,23,4,759,19,0,0,4,4096
1,23,8,759,19,0,0,8,4096
1,23,16,759,19,0,0,16,4096
1,23,32,759,19,1,0,32,4096
1,23,64,759,19,1,0,64,4096
1,23,128,759,19,1,0,68,4096
1,24,1,874,1,1,1,1,4096
1,24,4,874,1,1,1,4,4096
1,24,8,874,1,1,1,8,4096
1,24,16,874,1,1,1,16,4096
1,24,32,874,1,1,1,32,4096
1,24,64,874,1,1,1,64,4096
1,24,128,874,1,1,1,128,4096
1,25,1,720,5,0,0,1,4096
1,25,4,720,5,0,0,4,4096
1,25,8,720,5,1,0,8,4096
1,25,16,720,5,1,0,16,4096
1,25,32,720,5,1,0,32,4096
1,25,64,720,5,1,0,64,4096
1,25,128,720,5,1,0,128,4096
1,26,1,314,1,1,1,1,4096
1,26,4,314,1,1,1,1,4096
1,26,8,314,1,1,1,1,4096
1,26,16,314,1,1,1,1,4096
1,26,32,314,1,1,1,1,4096
1,26,64,314,1,1,1,1,4096
1,26,128,314,1,1,1,1,4096
1,27,1,602,6,0,0,1,4096
1,27,4,602,6,0,0,4,4096
1,27,8,602,6,1,0,8,4096
1,27,16,602,6,1,0,16,4096
1,27,32,602,6,1,0,32,4096
1,27,64,602,6,1,0,64,4096
1,27,128,602,6,1,0,110,4096
1,28,1,7,16,0,0,1,4096
1,28,4,7,16,0,0,4,4096
1,28,8,7,16,0,0,8,4096
1,28,16,7,16,1,0,16,4096
1,28,32,7,16,1,0,32,4096
1,28,64,7,16,1,0,48,4096
1,28,128,7,16,1,0,48,4096
1,29,1,610,2,0,0,1,4096
1,29,4,610,2,1,1,4,4096
1,29,8,610,2,1,1,8,4096
1,29,16,610,2,1,1,16,4096
1,29,32,610,2,1,1,32,4096
1,29,64,610,2,1,1,64,4096
1,29,128,610,2,1,1,94,4096
1,30,1,807,1,1,1,1,4096
1,30,4,807,1,1,1,4,4096
1,30,8,807,1,1,1,8,4096
1,30,16,807,1,1,1,16,4096
1,30,32,807,1,1,1,32,4096
1,30,64,807,1,1,1,64,4096
1,30,128,807,1,1,1,128,4096
1,31,1,897,1,1,1,1,4096
1,31,4,897,1,1,1,4,4096
1,31,8,897,1,1,1,8,4096
1,31,16,897,1,1,1,16,4096
1,31,32,897,1,1,1,32,4096
1,31,64,897,1,1,1,64,4096
1,31,128,897,1,1,1,128,4096
1,32,1,749,41,0,1,1,4096
1,32,4,749,41,0,1,4,4096
1,32,8,749,41,0,1,8,4096
1,32,16,749,41,0,1,16,4096
1,32,32,749,41,0,1,32,4096
1,32,64,749,41,1,1,64,4096
1,32,128,749,41,1,1,128,4096
1,33,1,584,1,1,1,1,4096
1,33,4,584,1,1,1,4,4096
1,33,8,584,1,1,1,8,4096
1,33,16,584,1,1,1,16,4096
1,33,32,584,1,1,1,32,4096
1,33,64,584,1,1,1,62,4096
1,33,128,584,1,1,1,62,4096
1,34,1,934,1,1,1,1,4096
1,34,4,934,1,1,1,4,4096
1,34,8,934,1,1,1,8,4096
1,34,16,934,1,1,1,16,4096
1,34,32,934,1,1,1,32,4096
1,34,64,934,1,1,1,37,4096
1,34,128,934,1,1,1,37,4096
2,0,1,803,1,1,1,1,4096
2,0,4,803,1,1,1,4,4096
2,0,8,803,1,1,1,8,4096
2,0,16,803,1,1,1,16,4096
2,0,32,803,1,1,1,32,4096
2,0,64,803,1,1,1,64,4096
2,0,128,803,1,1,1,128,4096
2,1,1,826,1,1,1,1,4096
2,1,4,826,1,1,1,4,4096
2,1,8,826,1,1,1,6,4096
2,1,16,826,1,1,1,6,4096
2,1,32,826,1,1,1,6,4096
2,1,64,826,1,1,1,6,4096
2,1,128,826,1,1,1,6,4096
2,2,1,922,2,0,0,1,4096
2,2,4,922,2,1,0,4,4096
2,2,8,922,2,1,0,8,4096
2,2,16,922,2,1,0,16,4096
2,2,32,922,2,1,0,32,4096
2,2,64,922,2,1,0,64,4096
2,2,128,922,2,1,0,128,4096
2,3,1,718,1,1,1,1,4096
2,3,4,718,1,1,1,4,4096
2,3,8,718,1,1,1,8,4096
2,3,16,718,1,1,1,16,4096
2,3,32,718,1,1,1,32,4096
2,3,64,718,1,1,1,47,4096
2,3,128,718,1,1,1,47,4096
2,4,1,86,119,0,0,1,4096
2,4,4,86,119,0,0,4,4096
2,4,8,86,119,0,0,8,4096
2,4,16,86,119,0,0,16,4096
2,4,32,86,119,0,0,32,4096
2,4,64,86,119,0,0,64,4096
2,4,128,86,119,1,0,128,4096
2,5,1,468,6,0,0,1,4096
2,5,4,468,6,0,0,4,4096
2,5,8,468,6,1,0,8,4096
2,5,16,468,6,1,0,16,4096
2,5,32,468,6,1,0,32,4096
2,5,64,468,6,1,0,64,4096
2,5,128,468,6,1,0,75,4096
2,6,1,89,3,0,0,1,4096
2,6,4,89,3,1,0,4,4096
2,6,8,89,3,1,0,8,4096
2,6,16,89,3,1,0,16,4096
2,6,32,89,3,1,0,32,4096
2,6,64,89,3,1,0,32,4096
2,6,128,89,3,1,0,32,4096
2,7,1,713,23,0,0,1,4096
2,7,4,713,23,0,0,4,4096
2,7,8,713,23,0,0,8,4096
2,7,16,713,23,0,0,16,4096
2,7,32,713,23,1,0,32,4096
2,7,64,713,23,1,0,64,4096
2,7,128,713,23,1,0,128,4096
2,8,1,865,1,1,1,1,4096
2,8,4,865,1,1,1,4,4096
2,8,8,865,1,1,1,8,4096
2,8,16,865,1,1,1,16,4096
2,8,32,865,1,1,1,32,4096
2,8,64,865,1,1,1,64,4096
2,8,128,865,1,1,1,128,4096
2,9,1,492,164,0,0,1,4096
2,9,4,492,164,0,0,4,4096
2,9,8,492,164,0,0,8,4096
2,9,16,492,164,0,0,16,4096
2,9,32,492,164,0,0,26,4096
2,9,64,492,164,0,0,26,4096
2,9,128,492,164,0,0,26,4096
2,10,1,765,57,0,0,1,4096
2,10,4,765,57,0,0,4,4096
2,10,8,765,57,0,0,8,4096
2,10,16,765,57,0,0,16,4096
2,10,32,765,57,0,0,32,4096
2,10,64,765,57,1,0,64,4096
2,10,128,765,57,1,0,128,4096
2,11,1,1023,1,1,1,1,4096
2,11,4,1023,1,1,1,4,4096
2,11,8,1023,1,1,1,8,4096
2,11,16,1023,1,1,1,15,4096
2,11,32,1023,1,1,1,15,4096
2,11,64,1023,1,1,1,15,4096
2,11,128,1023,1,1,1,15,4096
2,12,1,597,26,0,0,1,4096
2,12,4,597,26,0,0,4,4096
2,12,8,597,26,0,0,8,4096
2,12,16,597,26,0,0,16,4096
2,12,32,597,26,1,0,32,4096
2,12,64,597,26,1,0,64,4096
2,12,128,597,26,1,0,128,4096
2,13,1,562,1,1,1,1,4096
2,13,4,562,1,1,1,4,4096
2,13,8,562,1,1,1,8,4096
2,13,16,562,1,1,1,15,4096
2,13,32,562,1,1,1,15,4096
2,13,64,562,1,1,1,15,4096
2,13,128,562,1,1,1,15,4096
2,14,1,478,1,1,1,1,4096
2,14,4,478,1,1,1,4,4096
2,14,8,478,1,1,1,8,4096
2,14,16,478,1,1,1,16,4096
2,14,32,478,1,1,1,32,4096
2,14,64,478,1,1,1,64,4096
2,14,128,478,1,1,1,128,4096
2,15,1,267,3,0,0,1,4096
2,15,4,267,3,1,0,4,4096
2,15,8,267,3,1,0,8,4096
2,15,16,267,3,1,0,16,4096
2,15,32,267,3,1,0,32,4096
2,15,64,267,3,1,0,64,4096
2,15,128,267,3,1,0,120,4096
2,16,1,917,1,1,1,1,4096
2,16,4,917,1,1,1,4,4096
2,16,8,917,1,1,1,7,4096
2,16,16,917,1,1,1,7,4096
2,16,32,917,1,1,1,7,4096
2,16,64,917,1,1,1,7,4096
2,16,128,917,1,1,1,7,4096
2,17,1,656,22,0,0,1,4096
2,17,4,656,22,0,0,4,4096
2,17,8,656,22,0,0,8,4096
2,17,16,656,22,0,0,16,4096
2,17,32,656,22,1,0,32,4096
2,17,64,656,22,1,0,64,4096
2,17,128,656,22,1,0,128,4096
