packet_index,payload_symbol_index,phase_weight,gt_raw_fft_bin,amp_rank,phase_metric_rank,phase_line_slope_pi,phase_line_r2
1,0,0.0,222,1,1,0.00981327940618147,0.2117922252425355
1,0,0.05,222,1,1,0.00981327940618147,0.2117922252425355
1,0,0.1,222,1,1,0.00981327940618147,0.2117922252425355
1,0,0.2,222,1,1,0.00981327940618147,0.2117922252425355
1,0,0.35,222,1,1,0.00981327940618147,0.2117922252425355
1,0,0.5,222,1,1,0.00981327940618147,0.2117922252425355
1,0,0.75,222,1,1,0.00981327940618147,0.2117922252425355
1,0,1.0,222,1,1,0.00981327940618147,0.2117922252425355
1,0,1.5,222,1,1,0.00981327940618147,0.2117922252425355
1,0,2.0,222,1,1,0.00981327940618147,0.2117922252425355
1,0,3.0,222,1,1,0.00981327940618147,0.2117922252425355
1,1,0.0,826,18,18,0.00981327940618147,0.2117922252425355
1,1,0.05,826,18,5,0.00981327940618147,0.2117922252425355
1,1,0.1,826,18,5,0.00981327940618147,0.2117922252425355
1,1,0.2,826,18,4,0.00981327940618147,0.2117922252425355
1,1,0.35,826,18,4,0.00981327940618147,0.2117922252425355
1,1,0.5,826,18,4,0.00981327940618147,0.2117922252425355
1,1,0.75,826,18,4,0.00981327940618147,0.2117922252425355
1,1,1.0,826,18,4,0.00981327940618147,0.2117922252425355
1,1,1.5,826,18,5,0.00981327940618147,0.2117922252425355
1,1,2.0,826,18,7,0.00981327940618147,0.2117922252425355
1,1,3.0,826,18,9,0.00981327940618147,0.2117922252425355
1,2,0.0,922,36,36,0.00981327940618147,0.2117922252425355
1,2,0.05,922,36,19,0.00981327940618147,0.2117922252425355
1,2,0.1,922,36,13,0.00981327940618147,0.2117922252425355
1,2,0.2,922,36,7,0.00981327940618147,0.2117922252425355
1,2,0.35,922,36,4,0.00981327940618147,0.2117922252425355
1,2,0.5,922,36,4,0.00981327940618147,0.2117922252425355
1,2,0.75,922,36,4,0.00981327940618147,0.2117922252425355
1,2,1.0,922,36,4,0.00981327940618147,0.2117922252425355
1,2,1.5,922,36,3,0.00981327940618147,0.2117922252425355
1,2,2.0,922,36,3,0.00981327940618147,0.2117922252425355
1,2,3.0,922,36,2,0.00981327940618147,0.2117922252425355
1,3,0.0,718,1,1,0.00981327940618147,0.2117922252425355
1,3,0.05,718,1,1,0.00981327940618147,0.2117922252425355
1,3,0.1,718,1,1,0.00981327940618147,0.2117922252425355
1,3,0.2,718,1,1,0.00981327940618147,0.2117922252425355
1,3,0.35,718,1,1,0.00981327940618147,0.2117922252425355
1,3,0.5,718,1,1,0.00981327940618147,0.2117922252425355
1,3,0.75,718,1,1,0.00981327940618147,0.2117922252425355
1,3,1.0,718,1,1,0.00981327940618147,0.2117922252425355
1,3,1.5,718,1,2,0.00981327940618147,0.2117922252425355
1,3,2.0,718,1,2,0.00981327940618147,0.2117922252425355
1,3,3.0,718,1,8,0.00981327940618147,0.2117922252425355
1,4,0.0,107,2,2,0.00981327940618147,0.2117922252425355
1,4,0.05,107,2,1,0.00981327940618147,0.2117922252425355
1,4,0.1,107,2,1,0.00981327940618147,0.2117922252425355
1,4,0.2,107,2,1,0.00981327940618147,0.2117922252425355
1,4,0.35,107,2,1,0.00981327940618147,0.2117922252425355
1,4,0.5,107,2,1,0.00981327940618147,0.2117922252425355
1,4,0.75,107,2,1,0.00981327940618147,0.2117922252425355
1,4,1.0,107,2,1,0.00981327940618147,0.2117922252425355
1,4,1.5,107,2,1,0.00981327940618147,0.2117922252425355
1,4,2.0,107,2,2,0.00981327940618147,0.2117922252425355
1,4,3.0,107,2,3,0.00981327940618147,0.2117922252425355
1,5,0.0,468,221,221,0.00981327940618147,0.2117922252425355
1,5,0.05,468,221,154,0.00981327940618147,0.2117922252425355
1,5,0.1,468,221,117,0.00981327940618147,0.2117922252425355
1,5,0.2,468,221,91,0.00981327940618147,0.2117922252425355
1,5,0.35,468,221,76,0.00981327940618147,0.2117922252425355
1,5,0.5,468,221,72,0.00981327940618147,0.2117922252425355
1,5,0.75,468,221,75,0.00981327940618147,0.2117922252425355
1,5,1.0,468,221,76,0.00981327940618147,0.2117922252425355
1,5,1.5,468,221,85,0.00981327940618147,0.2117922252425355
1,5,2.0,468,221,91,0.00981327940618147,0.2117922252425355
1,5,3.0,468,221,117,0.00981327940618147,0.2117922252425355
1,6,0.0,89,340,340,0.00981327940618147,0.2117922252425355
1,6,0.05,89,340,249,0.00981327940618147,0.2117922252425355
1,6,0.1,89,340,188,0.00981327940618147,0.2117922252425355
1,6,0.2,89,340,143,0.00981327940618147,0.2117922252425355
1,6,0.35,89,340,130,0.00981327940618147,0.2117922252425355
1,6,0.5,89,340,126,0.00981327940618147,0.2117922252425355
1,6,0.75,89,340,134,0.00981327940618147,0.2117922252425355
1,6,1.0,89,340,138,0.00981327940618147,0.2117922252425355
1,6,1.5,89,340,163,0.00981327940618147,0.2117922252425355
1,6,2.0,89,340,172,0.00981327940618147,0.2117922252425355
1,6,3.0,89,340,180,0.00981327940618147,0.2117922252425355
1,7,0.0,713,1,1,0.00981327940618147,0.2117922252425355
1,7,0.05,713,1,1,0.00981327940618147,0.2117922252425355
1,7,0.1,713,1,1,0.00981327940618147,0.2117922252425355
1,7,0.2,713,1,1,0.00981327940618147,0.2117922252425355
1,7,0.35,713,1,1,0.00981327940618147,0.2117922252425355
1,7,0.5,713,1,1,0.00981327940618147,0.2117922252425355
1,7,0.75,713,1,1,0.00981327940618147,0.2117922252425355
1,7,1.0,713,1,1,0.00981327940618147,0.2117922252425355
1,7,1.5,713,1,1,0.00981327940618147,0.2117922252425355
1,7,2.0,713,1,1,0.00981327940618147,0.2117922252425355
1,7,3.0,713,1,5,0.00981327940618147,0.2117922252425355
1,8,0.0,865,1,1,0.00981327940618147,0.2117922252425355
1,8,0.05,865,1,1,0.00981327940618147,0.2117922252425355
1,8,0.1,865,1,1,0.00981327940618147,0.2117922252425355
1,8,0.2,865,1,1,0.00981327940618147,0.2117922252425355
