packet_index,frame_index,event_index,success,error,payload_len,cr,has_crc,ldro,fft_evidence_mode,payload_hex,observed_crc_valid,crc_computed,crc_received,candidate_payload_count,observed_crc_valid_count,avg_block_candidates,selected_beam_rank,selected_total_score,selected_block_score,selected_projection_score,selected_source,selected_source_is_argmax_fallback,phase_line_slope_pi,phase_line_r2,phase_gated_evidence,phase_gated_weight,phase_gated_width_pi,phase_gated_trend_source,phase_gated_trend_quality,phase_gated_trend_slope_pi,phase_gated_trend_r2,phase_gated_residual_offset_pi,phase_gated_residual_std_pi,phase_gated_early_anchor_count,likelihood_ms,block_search_ms,global_beam_ms,final_projection_ms,total_ms,gt_compared_symbols,argmax_raw_ser,two_stage_raw_ser,argmax_symbol_ser,two_stage_symbol_ser,topk_recall,mean_gt_rank,ser_delta_raw_argmax_minus_two_stage,ser_delta_symbol_argmax_minus_two_stage,center_argmax_raw_ser,center_argmax_symbol_ser,multi_offset_argmax_raw_ser,multi_offset_argmax_symbol_ser
1,0,1,1,,33,1,1,0,phase-gated,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4d14,0x4d14,64,1,64.000,0,1.531675110,0.000000000,-2.468324890,beam,0,0.009813279,0.211792225,multi-offset,0.200000000,0.500000000,early-payload,0.610649598,-0.024575955,0.800436369,0.000000000,0.047873203,8,42.293,147.925,1.632,35.974,228.280,35,0.05714285714285714,0.0,0.05714285714285714,0.0,1.0,1.0571428571428572,0.05714285714285714,0.05714285714285714,0.5714285714285714,0.5714285714285714,0.02857142857142857,0.02857142857142857
2,1,2,1,,33,1,1,0,phase-gated,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x08a0,0x08a0,64,1,64.000,0,2.501937114,0.000000000,-1.498062886,beam,0,-0.034590212,0.659879301,multi-offset,0.200000000,0.500000000,early-payload,0.723625027,-0.071436804,0.985781782,0.000000000,0.037024298,8,42.580,143.907,1.058,36.130,224.106,35,0.05714285714285714,0.0,0.05714285714285714,0.0,1.0,1.2571428571428571,0.05714285714285714,0.05714285714285714,0.4857142857142857,0.4857142857142857,0.05714285714285714,0.05714285714285714
3,2,3,1,,33,1,1,0,phase-gated,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xc08d,0xc08d,64,1,64.000,0,1.852603431,0.000000000,-2.147396569,beam,0,-0.011000071,0.251169748,multi-offset,0.200000000,0.500000000,early-payload,0.626860935,-0.052463722,0.942281845,0.000000000,0.190344281,8,42.275,144.815,1.126,36.685,225.323,35,0.05714285714285714,0.0,0.05714285714285714,0.0,1.0,1.1142857142857143,0.05714285714285714,0.05714285714285714,0.4,0.4,0.05714285714285714,0.05714285714285714
5,3,5,1,,33,1,1,0,phase-gated,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4be5,0x4be5,64,1,64.000,0,2.125988577,0.000000000,-1.874011423,beam,0,-0.062578458,0.777229089,multi-offset,0.200000000,0.500000000,early-payload,0.666913250,-0.060137589,0.904176639,0.000000000,0.056856456,8,50.716,150.066,1.114,36.271,238.632,35,0.02857142857142857,0.0,0.02857142857142857,0.0,1.0,1.0285714285714285,0.02857142857142857,0.02857142857142857,0.37142857142857144,0.37142857142857144,0.02857142857142857,0.02857142857142857
6,4,6,1,,33,1,1,0,phase-gated,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x0e51,0x0e51,64,3,64.000,0,2.299727156,0.000000000,-1.700272844,beam,0,-0.038839014,0.383894326,multi-offset,0.200000000,0.500000000,early-payload,0.657192847,-0.108345068,0.924185457,0.000000000,0.103330612,8,41.734,151.741,1.139,36.575,231.607,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.34285714285714286,0.34285714285714286,0.0,0.0
8,5,8,1,,33,1,1,0,phase-gated,404433221100090058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x8e2a,0x8e2a,64,1,64.000,0,1.367433545,0.000000000,-2.632566455,beam,0,-0.037712986,0.771144910,multi-offset,0.200000000,0.500000000,early-payload,0.710723206,-0.047740004,0.981324648,0.000000000,0.058456085,8,43.561,150.574,1.133,37.804,233.499,35,0.02857142857142857,0.0,0.02857142857142857,0.0,1.0,1.0285714285714285,0.02857142857142857,0.02857142857142857,0.37142857142857144,0.37142857142857144,0.0,0.0
9,6,9,1,,33,1,1,0,phase-gated,4044332211000a0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x40f6,0x40f6,64,2,64.000,0,1.900318498,0.000000000,-2.099681502,beam,0,-0.018318309,0.372410835,multi-offset,0.200000000,0.500000000,early-payload,0.678835633,-0.057230837,0.921341621,0.000000000,0.052469616,8,43.377,142.582,1.123,36.236,223.747,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0
10,7,10,1,,33,1,1,0,phase-gated,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x0542,0x0542,64,1,64.000,0,1.099023523,0.000000000,-2.900976477,beam,0,-0.025642330,0.362715017,multi-offset,0.200000000,0.500000000,early-payload,0.686918183,-0.052756472,0.946595481,0.000000000,0.066511575,8,43.967,150.785,1.226,36.588,232.995,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.45714285714285713,0.45714285714285713,0.0,0.0
11,8,11,1,,33,1,1,0,phase-gated,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xcd6f,0xcd6f,64,1,64.000,0,1.708104654,0.000000000,-2.291895346,beam,0,0.112395762,0.243206611,multi-offset,0.200000000,0.500000000,early-payload,0.344026728,0.170337785,0.558123695,0.000000000,0.446896198,8,42.956,144.335,1.104,36.842,225.667,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0
12,9,12,1,,33,1,1,0,phase-gated,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x88db,0x88db,64,1,64.000,0,0.970577818,0.000000000,-3.029422182,beam,0,-0.060017486,0.066933434,multi-offset,0.200000000,0.500000000,early-payload,0.157427825,0.050786493,0.131049362,0.000000000,0.479120861,8,42.154,146.245,1.226,35.607,225.656,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.08571428571428572,0.08571428571428572,0.0,0.0
