packet_index,frame_index,event_index,payload_len,cr,has_crc,ldro,symbol_count,gt_compared_symbols,center_raw_ser,center_symbol_ser,multi_raw_ser,multi_symbol_ser,pure_raw_ser,pure_symbol_ser,pure_gain_vs_center,pure_gain_vs_multi,pure_crc_valid,pure_payload_hex,pure_decode_error,mean_phase_score,mean_amp_score,mean_candidate_count,mean_selected_energy_drop_db,phase_line_slope_pi,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,reference_line_slope_pi,reference_line_anchor_count,refinement_count,error,dataset,target_snr_db,noise_seed
1,0,1,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.9428571428571428,0.9428571428571428,-0.08571428571428574,-0.22857142857142854,0,4034fddef02d474f8a541570ebc94da36b692d3e2a5c48864d64961fd2e7a47c5e,,0.9966147218431746,0.6705215494156799,638.8,-1.94099605490801,-0.025248809531321484,0.9913101368830227,0.02432497439584482,28,-0.025337552033791788,8,1,,0_0_0_10_14_16,-24.0,42
2,1,2,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.6,0.6,0.9142857142857143,0.9142857142857143,-0.02857142857142858,-0.3142857142857143,0,404407060353858098703d028592cc5d16695fb7a7853c015647e382fe03411e37,,0.9967177527291434,0.6567743187805384,628.2571428571429,-2.0394332918709845,-0.04333682198278909,0.9966663620331199,0.024630561270026583,28,-0.044687974011923925,8,1,,0_0_0_10_14_16,-24.0,42
3,2,3,33,1,1,0,35,35,0.9714285714285714,0.9714285714285714,0.6571428571428571,0.6571428571428571,0.9714285714285714,0.9714285714285714,0.0,-0.3142857142857143,0,40b41f5e0cddbd960e29d17280eb64eed7ef0d36838a76c41be4a8c08bbedeca91,,0.9982776182038443,0.6048589774611385,632.8285714285714,-2.3268760533237103,-0.012285177096523162,0.9736454253415031,0.020217142604650844,28,-0.011183014457091687,8,1,,0_0_0_10_14_16,-24.0,42
5,3,5,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.5428571428571428,0.5428571428571428,0.8857142857142857,0.8857142857142857,-0.02857142857142858,-0.34285714285714286,0,4034661752150200503031fa929b1a1880e28f2e7da26d0e2045b55efb24fefd00,,0.9960093055452619,0.6909994570861868,626.0,-1.7914306446817263,-0.055165460446451514,0.9973676803097953,0.029423696289139073,28,-0.05334314429506908,8,1,,0_0_0_10_14_16,-24.0,42
6,4,6,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.42857142857142855,0.42857142857142855,0.9714285714285714,0.9714285714285714,-0.08571428571428574,-0.5428571428571429,0,40b4f10d66b97051a321e6b46e4c1730f0f053091abfd305b83b207e42759de649,,0.9971234815461295,0.6656234202339271,650.5142857142857,-1.9076642292039834,-0.0916780445263494,0.9992318942615098,0.02625800758653471,28,-0.0910458171516345,8,1,,0_0_0_10_14_16,-24.0,42
8,5,8,33,1,1,0,35,35,0.9142857142857143,0.9142857142857143,0.5714285714285714,0.5714285714285714,1.0,1.0,-0.08571428571428574,-0.4285714285714286,0,40e482f76211b52db651381cc4c67126c2b7ba8ea6e2a7bcb1ea54ce04968e2cd9,,0.9968767881393432,0.6180917821759645,639.8285714285714,-2.246502292351926,0.002758603219400567,0.6262132973131561,0.022979158353274933,28,0.0030182951745696945,8,1,,0_0_0_10_14_16,-24.0,42
9,6,9,33,1,1,0,35,35,0.8,0.8,0.5714285714285714,0.5714285714285714,0.9428571428571428,0.9428571428571428,-0.1428571428571428,-0.37142857142857144,0,407423a138a86bb9e8be9cb614f160ceef3478aa2fb16396849d0ce0cf19476369,,0.9951188428061349,0.6671828220810081,631.7428571428571,-1.8870879199816082,-0.07851767079016944,0.9979929466237518,0.033910027891430175,28,-0.07760200734169853,8,1,,0_0_0_10_14_16,-24.0,42
10,7,10,33,1,1,0,35,35,0.8,0.8,0.6,0.6,0.9714285714285714,0.9714285714285714,-0.17142857142857137,-0.37142857142857144,0,40e467c5f54bce2766ca11d0d532f80324e913df7ffb0e678ca5dce1f5c070a3c3,,0.9967373779841832,0.7016250964193209,646.6,-1.6684431428469069,-0.049910373027239725,0.9975870280243038,0.024744162466138944,28,-0.04972933809741951,8,1,,0_0_0_10_14_16,-24.0,42
11,8,11,33,1,1,0,35,35,0.8285714285714286,0.8285714285714286,0.4,0.4,0.9714285714285714,0.9714285714285714,-0.1428571428571428,-0.5714285714285714,0,40842bf219cc19ce26f8233bc8a7ba4f6bebe4823aeb24efc1271c57408cccbc9c,,0.9967420271464756,0.6203417269575081,621.8,-2.2941056960479767,-0.07945057744767942,0.9992157273669606,0.021914695274864022,28,-0.07993644198485637,8,1,,0_0_0_10_14_16,-24.0,42
12,9,12,33,1,1,0,35,35,0.6285714285714286,0.6285714285714286,0.2857142857142857,0.2857142857142857,0.9142857142857143,0.9142857142857143,-0.2857142857142857,-0.6285714285714286,0,40b4f928dc5702530b57050755671e6a007ee20ea002ffc3c86e6146013c7290da,,0.9962849003928048,0.6297547739715305,608.9428571428572,-2.266457637130678,-0.046615576272736166,0.9971085938098883,0.02559256635129232,28,-0.047084119146971214,8,1,,0_0_0_10_14_16,-24.0,42
