packet_index,frame_index,event_index,payload_len,cr,has_crc,ldro,symbol_count,gt_compared_symbols,center_raw_ser,center_symbol_ser,multi_raw_ser,multi_symbol_ser,pure_raw_ser,pure_symbol_ser,pure_gain_vs_center,pure_gain_vs_multi,pure_crc_valid,pure_payload_hex,pure_decode_error,mean_phase_score,mean_amp_score,mean_candidate_count,mean_selected_energy_drop_db,phase_line_slope_pi,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,reference_line_slope_pi,reference_line_anchor_count,refinement_count,selection_mode,error,dataset,target_snr_db,noise_seed
1,0,1,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8857142857142857,0.8857142857142857,-0.02857142857142858,-0.17142857142857137,0,40a493795b79030e96d01d7442650744626329f2f24cfb9f4cd4d50dc4b1f73a28,,0.9617303065172862,0.8789675706732383,16.0,-0.6476051285083632,-0.2906780085128506,0.9982225456657997,0.11952945824032005,28,-0.2136113602192397,28,0,path,,0_0_0_10_14_16,-24.0,42
2,1,2,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.6,0.6,1.0,1.0,-0.11428571428571432,-0.4,0,40e464768207585ac9edd3716be9f1c14d35e12ca7fa847484d5e2b86e3ad02c12,,0.9664698935551883,0.8842244765906736,16.0,-0.6002623036928578,0.20060347162183556,0.9964493050514864,0.1114572513527242,28,0.2040622902341991,28,0,path,,0_0_0_10_14_16,-24.0,42
3,2,3,33,1,1,0,35,35,0.9714285714285714,0.9714285714285714,0.6571428571428571,0.6571428571428571,0.8857142857142857,0.8857142857142857,0.08571428571428574,-0.22857142857142854,0,4084fcdb1c32858684f49d400ceba7e4cdcd59962275b93f3e105543536946846d,,0.9592169045362915,0.8870760236037625,16.0,-0.5530941006287576,-0.16502808224048918,0.9965292939931472,0.09570246277071748,28,-0.16201759135003416,28,0,path,,0_0_0_10_14_16,-24.0,42
5,3,5,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.5428571428571428,0.5428571428571428,0.8857142857142857,0.8857142857142857,-0.02857142857142858,-0.34285714285714286,0,40547252663094b8af6f1a0a4b39fbdc916c52dbe02f876040255752536a543764,,0.9651366338946488,0.8617770290526385,16.0,-0.7385247315811599,-0.4359500102101397,0.998699319945671,0.16370791403299045,28,-0.09166913665909282,28,0,path,,0_0_0_10_14_16,-24.0,42
6,4,6,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.42857142857142855,0.42857142857142855,0.9142857142857143,0.9142857142857143,-0.02857142857142858,-0.4857142857142857,0,402440205376b0397934dde985103a793674d318db6abdb097214454b42d064fb9,,0.9682552111308278,0.8687301275331741,16.0,-0.668968762133196,-0.37105299222126,0.9958309150339107,0.2355145976917804,28,-0.2784688078331339,28,0,path,,0_0_0_10_14_16,-24.0,42
8,5,8,33,1,1,0,35,35,0.9142857142857143,0.9142857142857143,0.5714285714285714,0.5714285714285714,0.9428571428571428,0.9428571428571428,-0.02857142857142858,-0.37142857142857144,0,40a491763f3b9666b5c432d2b04f389762f4392fb2bd433a107c6bee037c1626e5,,0.9552576180703243,0.8921834852576982,16.0,-0.5531362967817866,-0.07007251295809482,0.952296522760283,0.16482667445545404,28,0.07645944157289743,28,0,path,,0_0_0_10_14_16,-24.0,42
9,6,9,33,1,1,0,35,35,0.8,0.8,0.5714285714285714,0.5714285714285714,0.9428571428571428,0.9428571428571428,-0.1428571428571428,-0.37142857142857144,0,409445615aea0710481902b9b28be6a1dcba3cf16d02ace129f2a04ec7fe50a4e1,,0.9759995898240981,0.8615081447651138,16.0,-0.6865156676723906,-0.012342128778675028,0.6246915219606979,0.09423051572252789,28,0.03422786398808095,28,0,path,,0_0_0_10_14_16,-24.0,42
10,7,10,33,1,1,0,35,35,0.8,0.8,0.6,0.6,0.9142857142857143,0.9142857142857143,-0.11428571428571421,-0.3142857142857143,0,40b44eb75086e34546fc153031141534e749f59bdb29cbb700e5e0a6bef9a29eb5,,0.9715291577457045,0.886469276883218,16.0,-0.5788830712498472,-0.08304551820781995,0.9826464272784616,0.12336806384117043,28,0.0521326497897008,28,0,path,,0_0_0_10_14_16,-24.0,42
11,8,11,33,1,1,0,35,35,0.8285714285714286,0.8285714285714286,0.4,0.4,0.8857142857142857,0.8857142857142857,-0.05714285714285705,-0.48571428571428565,0,40d43112c82c4c2e64bc8715bd7cbbd0a183807010e834e7fa0d34c5bd80126d47,,0.9574651379722965,0.9034694312150686,16.0,-0.5021758285791666,-0.400729257118522,0.9971891960289173,0.23350571060072967,28,-0.3286582443855043,28,0,path,,0_0_0_10_14_16,-24.0,42
12,9,12,33,1,1,0,35,35,0.6285714285714286,0.6285714285714286,0.2857142857142857,0.2857142857142857,0.8,0.8,-0.17142857142857149,-0.5142857142857143,0,40741b0ab8bb94c990b17d1fb11cb53c1f6df816b1821cbd8e89db6e33a543d073,,0.9696761334566423,0.8444698917049125,16.0,-0.8281925111022582,0.1068375326807633,0.9826439004422912,0.1449206919057154,28,-0.14622041675178393,28,0,path,,0_0_0_10_14_16,-24.0,42
13,10,13,33,1,1,0,35,35,0.7428571428571429,0.7428571428571429,0.3142857142857143,0.3142857142857143,0.6857142857142857,0.6857142857142857,0.05714285714285716,-0.37142857142857144,0,4054b2b219118ff07fc2a632333435367732f13c95389d3d9d9feae141c2c40491,,0.952292433301341,0.9281185100660055,16.0,-0.3588617184249565,-0.05925013509342749,0.873038137761516,0.2366247510020556,28,-0.1575149400361281,28,0,path,,0_0_0_10_14_16,-24.0,42
