dataset,snr_db,seed,packet_count,symbol_count,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,hybrid_mean_pattern_ser,gated_mean_pattern_ser,gated_stable_pattern_ser,gated_consensus_pattern_ser,gated_hybrid_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,hybrid_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_mean_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_stable_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_consensus_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,gated_hybrid_pattern_changes_vs_savaux
0_0_0_10_14_8,-24.0,1,3,105,1.0,1.3714285714285712,0.14285714285714285,0.3619047619047619,0.14285714285714285,0.12380952380952381,0.13333333333333333,0.11428571428571428,0.12380952380952381,0.11428571428571428,0.13333333333333333,0.13333333333333333,0.11428571428571428,4,27,40,4,4,11,4,2,9,4,3,9,3,0,4,3,1,6,4,1,6,1,0,2,1,0,1,3,0,3
0_0_0_10_14_8,-25.0,1,3,105,0.9523809523809524,2.9047619047619047,0.23809523809523808,0.5238095238095238,0.24761904761904763,0.2571428571428571,0.2571428571428571,0.24761904761904763,0.22857142857142856,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.21904761904761905,4,34,54,5,6,21,5,7,20,5,7,21,1,2,6,3,2,9,5,5,17,0,0,3,0,0,1,2,0,3
0_0_0_10_14_8,-26.0,1,3,105,0.8857142857142857,7.876190476190476,0.3619047619047619,0.6952380952380952,0.4380952380952381,0.4380952380952381,0.41904761904761906,0.3619047619047619,0.37142857142857144,0.4095238095238095,0.3619047619047619,0.3619047619047619,0.3523809523809524,3,38,66,2,10,29,1,9,25,1,7,23,1,1,7,2,3,12,2,7,20,1,1,6,0,0,1,1,0,2
0_0_0_10_14_8,-24.0,2,3,105,1.0,1.2476190476190476,0.08571428571428572,0.3619047619047619,0.11428571428571428,0.11428571428571428,0.10476190476190476,0.08571428571428572,0.0761904761904762,0.10476190476190476,0.08571428571428572,0.08571428571428572,0.06666666666666667,1,30,38,1,4,8,1,4,9,1,3,8,1,1,4,1,0,4,1,3,7,1,1,2,0,0,0,2,0,3
0_0_0_10_14_8,-25.0,2,3,105,0.9714285714285715,2.40952380952381,0.2,0.5904761904761905,0.23809523809523808,0.23809523809523808,0.22857142857142856,0.20952380952380953,0.21904761904761905,0.21904761904761905,0.21904761904761905,0.21904761904761905,0.20952380952380953,2,43,60,3,7,15,3,7,16,4,7,17,1,2,5,2,4,10,3,5,13,0,2,3,0,2,3,1,2,6
0_0_0_10_14_8,-26.0,2,3,105,0.8952380952380952,6.409523809523809,0.3238095238095238,0.6857142857142857,0.41904761904761906,0.38095238095238093,0.4095238095238095,0.3238095238095238,0.3047619047619048,0.34285714285714286,0.3238095238095238,0.3238095238095238,0.3047619047619048,3,41,67,3,13,27,3,9,22,2,11,24,1,1,7,3,1,11,3,5,18,0,0,2,0,0,2,2,0,7
0_0_0_10_14_8,-24.0,42,3,105,1.0,1.2476190476190476,0.08571428571428572,0.4380952380952381,0.12380952380952381,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.11428571428571428,0.08571428571428572,0.08571428571428572,0.08571428571428572,2,39,46,2,6,9,0,6,6,0,6,6,0,1,1,0,1,1,0,3,4,0,0,0,0,0,0,0,0,0
0_0_0_10_14_8,-25.0,42,3,105,0.980952380952381,2.1714285714285713,0.2,0.6095238095238096,0.24761904761904763,0.26666666666666666,0.2571428571428571,0.24761904761904763,0.22857142857142856,0.24761904761904763,0.22857142857142856,0.20952380952380953,0.20952380952380953,2,45,62,2,7,17,0,7,11,1,7,13,0,5,6,1,4,6,1,6,11,0,3,3,0,1,1,0,1,1
0_0_0_10_14_8,-26.0,42,3,105,0.9238095238095237,5.923809523809524,0.3333333333333333,0.7428571428571429,0.3619047619047619,0.37142857142857144,0.3619047619047619,0.34285714285714286,0.3333333333333333,0.34285714285714286,0.3238095238095238,0.3333333333333333,0.3333333333333333,2,45,73,2,5,18,2,6,15,2,5,15,1,2,6,1,1,5,2,3,12,1,0,2,0,0,0,0,0,1
0_0_0_10_14_16,-24.0,1,3,105,0.9904761904761905,1.5142857142857142,0.14285714285714285,0.45714285714285713,0.19047619047619047,0.17142857142857143,0.17142857142857143,0.1523809523809524,0.13333333333333333,0.17142857142857143,0.14285714285714285,0.14285714285714285,0.12380952380952381,2,35,48,1,6,14,2,5,12,2,5,12,0,1,4,2,1,4,1,4,10,0,0,1,0,0,1,2,0,2
