packet_index,event_index,frame_index,payload_symbol_count,cfo_int,cfo_frac,sto_frac,sfo_hat,phase_slope_rad_per_symbol,phase_slope_pi_per_symbol,phase_intercept_pi,cfo_expected_slope_pi_per_symbol,slope_over_cfo_expected,linear_fit_r2,linear_fit_rmse_pi,wrapped_phase_range_pi,unwrap_phase_range_pi,residual_mean_pi,residual_std_pi,residual_peak_to_peak_pi,residual_bin_slope_pi_per_bin,residual_bin_fit_r2,residual_bin_fit_rmse_pi,peak_margin_mean_db,peak_energy_ratio_mean,peak_amp_mean
1,1,0,35,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,-2.8673147804352412,-0.9126946414134424,-0.7417295910063624,-0.8583206752362669,1.0633492443394867,0.9998042888122004,0.12896620349681098,1.9594925787409934,31.067425928012003,3.905519208857423e-15,0.12896620349681098,0.42960850233513354,2.46853513387203e-06,2.420961424609569e-05,0.1289646423763437,21.00060327638146,0.7918576766100927,7.328746889558094
2,2,1,35,-24,-0.27825675980667963,-0.22708294569816,-0.006222641162550411,-2.063539721274034,-0.6568450938144689,0.9588162714792244,-0.5565135196133593,1.180285960116145,0.99930229468397,0.17528736797076525,1.8790005286038751,22.349682148666403,2.326348567013315e-15,0.1752873679707652,0.5687151230255267,5.8340560914700043e-05,0.007578107719019456,0.17462193160802447,19.81701691759446,0.7786928211557833,7.206675957949025
3,3,2,35,-24,-0.22814255140766385,-0.47433050608014027,-0.006209796635074755,-1.7716861518695404,-0.5639452173549915,1.2396503930839753,-0.4562851028153277,1.2359492209484584,0.9989224835951566,0.18706091531367514,1.8223255239101233,19.187946860864795,-4.927335506521257e-16,0.18706091531367508,0.6152080534016736,3.6915428264929245e-05,0.002489553437201919,0.18682792113810293,19.82912991856178,0.782596406682803,7.265677535911243
5,5,3,35,-24,-0.2470649666885119,-0.3829332194884841,-0.006214646546721477,-1.9134817402807724,-0.6090801549635344,-0.3507225477579571,-0.4941299333770238,1.2326315687878049,0.9989667541678994,0.19783396214286758,1.8617198763386387,20.752306740881938,1.292415870562953e-16,0.19783396214286758,0.6485573020636001,0.00016034287578212182,0.0467915704051437,0.1931500327547217,21.14815665045217,0.8215266971212227,7.7141934419855325
6,6,4,35,-24,-0.2696020429472565,-0.20641451367369845,-0.006220422914431837,-2.0805461999734356,-0.6622584241136625,1.378114632469413,-0.539204085894513,1.228214773289428,0.9990634279174725,0.20478665423446396,1.9700737253251492,22.53875198329891,-1.2681830729898975e-15,0.20478665423446396,0.6608668707510894,-8.245206105827e-05,0.009985545058803447,0.20376163579089895,20.054054366078343,0.7987397101485788,7.608845516877505
8,8,5,35,-24,-0.3483401354552673,-0.31076598572039227,-0.006240603889546665,-2.5665795119796995,-0.8169676323399072,0.11419973313031391,-0.6966802709105346,1.172657912749792,0.9994001293590264,0.20214548201095286,1.8127920774136357,27.811561058248184,1.1389414859336021e-15,0.20214548201095292,0.659621592540187,9.483381802909977e-05,0.014823453480680482,0.20064164110015703,19.651765666895198,0.8209265702289827,7.775595738693857
9,9,6,35,-24,-0.3905926756700688,-0.13882633954043927,-0.006251433431328191,-2.8259978406840163,-0.8995430510237674,-0.16994332687525798,-0.7811853513401376,1.1515103931232007,0.9995001467419216,0.2031663935250565,1.8226330279733929,30.617499204161945,3.0290996966319207e-16,0.2031663935250565,0.6569010205870172,0.00016374955659537852,0.04645324556001296,0.1983914115850943,21.333764347151092,0.8196537326210507,7.725256295615946
10,10,7,35,-24,-0.439221980632291,0.02365388137379698,-0.006263897370471676,-0.0057346393630698265,-0.0018253924029638423,-7.34350866828072,-0.878443961264582,0.0020779838936294368,1.548803210371652e-05,4.684409373275972,1.9843432057363912,15.389962251812811,-0.11428571428571528,0.5656002424122523,1.8971035815549042,0.00030224088716938625,0.017758376245595398,0.5605556753062476,19.682207721345563,0.810731600913446,7.664689833543015
11,11,8,35,-24,0.12328787264913654,0.33956135088487627,-0.0061197232231266305,-0.1122609137187165,-0.035733758668692994,0.6463423484582154,0.24657574529827309,-0.144920006732484,0.28650670653220744,0.5695165346493782,1.8124721833515953,2.814004196151193,-0.057142857142857065,0.5209767065850993,1.877586685591882,-0.00048791027144644565,0.061239635748358556,0.5047724905304102,19.40385804151259,0.8503625084940268,8.501923794075415
12,12,9,35,-24,-0.11851083147497382,0.34677628905892344,-0.006181697465520549,0.4177838392778218,0.13298472632995056,0.748102777468822,-0.23702166294994764,-0.5610657046062208,0.6949257291546751,0.8898881938493736,1.6474754822911017,5.944958882268618,-0.05714285714285719,0.5654102132796078,1.8527520140049345,-0.00029936840872609615,0.016910864215197385,0.560609041067936,20.54342959979585,0.870445541342662,9.088258248768419
13,13,10,35,-25,-0.25404660440359844,-0.3960338435637206,-0.006472741081710989,-1.9955071388547463,-0.6351896502477961,0.602285846093505,-0.5080932088071969,1.2501439484675885,0.9989476716639523,0.20821296176034426,1.9082355072921342,21.612825099335875,6.54285534472495e-16,0.2082129617603442,0.6681422831059125,2.680510594807199e-05,0.001082915368619597,0.20810019271412306,21.5674074759454,0.8781837810744286,9.16413400866566
