file_name,target_snr_db,mode,cfo_correction_mode,tau_source,phase_sign,frame_index,packet_index,event_index,payload_symbol_index,frame_symbol_index,start_sample,header_start_sample,sf,os_factor,cfo_int,cfo_frac,cfo_common_phase_rad,sto_frac,sfo_hat,sfo_cum_before,tau_chips,wrap_cut_chip,phase_jump_correction_rad,phase_jump_correction_pi,gt_raw_fft_bin,gt_signed_fft_bin,argmax_bin,is_argmax_correct,gt_bin_rank,gt_bin_real,gt_bin_imag,gt_bin_amp,gt_bin_power,gt_bin_phase,gt_peak_energy_ratio,selected_peak_amp,selected_peak_power,selected_peak_margin_db,total_fft_energy,gt_bin_phase_unwrap,phase_linear_fit,phase_linear_residual,packet_phase_slope_pi_per_symbol,packet_phase_linear_r2,packet_phase_linear_rmse_pi,packet_residual_quad_r2
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,-25.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,-0.0922587219498042,-0.09225872194980422,802,-0.5796786462141766,-0.18451744389960845,222,222,152,0,2,12.242684364318848,-5.986108779907227,13.627795814775755,185.71685791015625,-0.45477177743346053,0.007676510372846274,14.085427284240723,198.39923095703125,0.28688657038453463,24192.875263620168,-0.45477177743346053,0.2444019583695692,-0.6991737358030298,-0.04991068324855936,0.7429469295765506,0.2965009592888275,0.544341546520712
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,-25.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,1,9,2555056,2518192,10,4,-24,-0.42916033761813344,-1381.436471700509,-0.04216817378983262,-0.006261318519996445,-0.09852004046980065,-0.09852004046980067,198,-0.6190196707425898,-0.19704008093960135,826,-198,281,0,422,3.797018051147461,-2.3361215591430664,4.458117317863303,19.874807357788086,-0.5515585222740447,0.0008317982229646986,12.629097938537598,159.494140625,0.08686249692341712,23893.78434465779,-0.5515585222740447,0.08760292254024798,-0.6391614448142926,-0.04991068324855936,0.7429469295765506,0.2965009592888275,0.544341546520712
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,-25.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,2,10,2559152,2518192,10,4,-24,-0.42916033761813344,-1534.9294130005655,-0.04216817378983262,-0.006261318519996445,-0.1047813589897971,-0.10478135898979712,102,-0.6583606952710029,-0.20956271797959425,922,-102,637,0,539,2.8843612670898438,-2.596243381500244,3.880724109631082,15.060020446777344,-0.7328760560709643,0.0006026828462135198,14.09536361694336,198.6792449951172,0.4976654690641463,24988.301129516214,-0.7328760560709643,-0.06919611328907324,-0.6636799427818909,-0.04991068324855936,0.7429469295765506,0.2965009592888275,0.544341546520712
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,-25.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,3,11,2563248,2518192,10,4,-24,-0.42916033761813344,-1688.422354300622,-0.04216817378983262,-0.006261318519996445,-0.11104267750979355,-0.11104267750979357,306,-0.6977017197994161,-0.22208535501958715,718,-306,718,1,1,2.618117332458496,-13.149351119995117,13.40745961185177,179.75999450683594,-1.3742603376676554,0.0077928367543661165,13.407459259033203,179.75999450683594,0.015425030733112521,23067.33737314865,-1.3742603376676554,-0.2259951491183945,-1.148265188549261,-0.04991068324855936,0.7429469295765506,0.2965009592888275,0.544341546520712
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,-25.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,4,12,2567344,2518192,10,4,-24,-0.42916033761813344,-1841.9152956006785,-0.04216817378983262,-0.006261318519996445,-0.11730399602979,-0.11730399602979003,917,-0.7370427443278292,-0.23460799205958005,107,107,989,0,55,6.26215934753418,-5.535593509674072,8.358076046450847,69.85743713378906,-0.7238907410539698,0.0028406382271218525,13.520618438720703,182.80712890625,1.1969752619361953,24592.162587549537,-0.7238907410539698,-0.38279418494771567,-0.34109655610625406,-0.04991068324855936,0.7429469295765506,0.2965009592888275,0.544341546520712
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,-25.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,5,13,2571440,2518192,10,4,-24,-0.42916033761813344,-1995.4082369007351,-0.04216817378983262,-0.006261318519996445,-0.12356531454978645,-0.12356531454978648,556,-0.7763837688562424,-0.24713062909957298,468,468,880,0,972,-1.0621672868728638,-0.3983613848686218,1.1344122435240669,1.286890983581543,-2.782781826347917,5.383653785086637e-05,13.356128692626953,178.38616943359375,1.2530403680101871,23903.672764886636,-2.782781826347917,-0.5395932207770369,-2.2431886055708805,-0.04991068324855936,0.7429469295765506,0.2965009592888275,0.544341546520712
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,-25.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,6,14,2575536,2518192,10,4,-24,-0.42916033761813344,-2148.9011782007915,-0.04216817378983262,-0.006261318519996445,-0.1298266330697829,-0.12982663306978293,935,-0.8157247933846554,-0.25965326613956585,89,89,921,0,965,-0.849465012550354,-0.696241021156311,1.0983361812705414,1.2063424587249756,-2.4550004987916596,5.137992582707178e-05,13.300708770751953,176.9088592529297,0.9354653707502338,23478.867267834023,-2.4550004987916596,-0.6963922566063582,-1.7586082421853013,-0.04991068324855936,0.7429469295765506,0.2965009592888275,0.544341546520712
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,-25.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,7,15,2579633,2518192,10,4,-24,-0.42916033761813344,-2302.4315933634703,-0.04216817378983262,-0.006261318519996445,0.11391204841022065,0.11391204841022062,312,0.715730508881828,0.22782409682044125,713,-311,713,1,1,16.024242401123047,-1.3854666948318481,16.08402507124501,258.6958312988281,-0.08624618468802457,0.010951558572621548,16.08402442932129,258.6958312988281,1.8066730987015807,23621.82785065472,-0.08624618468802457,-0.8531912924356794,0.7669451077476548,-0.04991068324855936,0.7429469295765506,0.2965009592888275,0.544341546520712
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,-25.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,8,16,2583729,2518192,10,4,-24,-0.42916033761813344,-2455.9245346635266,-0.04216817378983262,-0.006261318519996445,0.1076507298902242,0.10765072989022417,160,0.6763894843534148,0.21530145978044835,865,-159,575,0,3,11.753291130065918,-6.755838871002197,13.55659290673842,183.78121948242188,-0.5216869755732517,0.007471406743777064,15.1052827835083,228.16957092285156,0.7904798657775611,24597.9406268429,-0.5216869755732517,-1.0099903282650007,0.48830335269174896,-0.04991068324855936,0.7429469295765506,0.2965009592888275,0.544341546520712
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,-25.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,9,17,2587825,2518192,10,4,-24,-0.42916033761813344,-2609.4174759635835,-0.04216817378983262,-0.006261318519996445,0.10138941137022775,0.10138941137022772,533,0.6370484598250017,0.20277882274045544,492,492,83,0,43,7.883520126342773,-4.304782390594482,8.982262577592794,80.68102264404297,-0.49980417807356037,0.0032226886941855324,13.26768684387207,176.03150939941406,0.1436707973300468,25035.313770644367,-0.49980417807356037,-1.1667893640943219,0.6669851860207615,-0.04991068324855936,0.7429469295765506,0.2965009592888275,0.544341546520712
