dataset,snr_db,seed,symbol_count,gt_in_topk,savaux_ser,mean_pattern_ser,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_ser,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_ser,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_ser,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,hybrid_mean_ser,hybrid_mean_fix_vs_savaux,hybrid_mean_break_vs_savaux,hybrid_mean_changes_vs_savaux
0_0_0_10_14_16,-22.0,1,105,105,0.0,0.009523809523809525,0,1,1,0.009523809523809525,0,1,1,0.009523809523809525,0,1,1,0.0,0,0,0,0.009523809523809525,0,1,1
0_0_0_10_14_16,-22.0,2,105,105,0.0,0.0,0,0,0,0.0,0,0,0,0.009523809523809525,0,1,1,0.0,0,0,0,0.0,0,0,0
0_0_0_10_14_16,-22.0,42,105,105,0.0,0.01904761904761905,0,2,2,0.01904761904761905,0,2,2,0.01904761904761905,0,2,2,0.0,0,0,0,0.009523809523809525,0,1,1
0_0_0_10_14_16,-23.0,1,105,105,0.0380952380952381,0.05714285714285714,0,2,3,0.05714285714285714,0,2,3,0.05714285714285714,0,2,3,0.0380952380952381,0,0,0,0.047619047619047616,1,2,3
0_0_0_10_14_16,-23.0,2,105,105,0.009523809523809525,0.0380952380952381,0,3,3,0.0380952380952381,0,3,3,0.047619047619047616,0,4,4,0.009523809523809525,0,0,0,0.02857142857142857,0,2,2
0_0_0_10_14_16,-23.0,42,105,105,0.0380952380952381,0.0761904761904762,0,4,6,0.047619047619047616,1,2,3,0.047619047619047616,1,2,3,0.047619047619047616,0,1,1,0.047619047619047616,0,1,2
0_0_0_10_14_16,-24.0,1,105,104,0.14285714285714285,0.19047619047619047,1,6,14,0.17142857142857143,2,5,12,0.17142857142857143,2,5,12,0.1523809523809524,0,1,4,0.1619047619047619,2,4,8
0_0_0_10_14_16,-24.0,2,105,105,0.12380952380952381,0.14285714285714285,5,7,17,0.1619047619047619,4,8,17,0.17142857142857143,3,8,17,0.09523809523809523,3,0,6,0.12380952380952381,5,5,14
0_0_0_10_14_16,-24.0,42,105,104,0.13333333333333333,0.14285714285714285,1,2,10,0.1523809523809524,1,3,9,0.17142857142857143,0,4,9,0.1523809523809524,0,2,5,0.14285714285714285,1,2,8
0_0_0_10_14_32,-22.0,1,105,83,0.2761904761904762,0.29523809523809524,1,3,11,0.2857142857142857,1,2,11,0.29523809523809524,1,3,12,0.2761904761904762,0,0,3,0.2857142857142857,1,2,9
