scenario,target_tx_dbm,interferer_tx_dbm,trial,symbol_count,target_power_w,interference_power_w,noise_power_w,theoretical_noise_power_w,target_snr_db,target_sinr_db,mean_savaux_margin_db,mean_branch_color_mismatch,conditional_screen_rate,conditional_backend_rate,branch0_errors,branch0_ser,branch0_fixes_vs_savaux,branch0_breaks_vs_savaux,savaux_errors,savaux_ser,savaux_fixes_vs_savaux,savaux_breaks_vs_savaux,equal8_errors,equal8_ser,equal8_fixes_vs_savaux,equal8_breaks_vs_savaux,gls8_direct_errors,gls8_direct_ser,gls8_direct_fixes_vs_savaux,gls8_direct_breaks_vs_savaux,gls8_cg_wrap_errors,gls8_cg_wrap_ser,gls8_cg_wrap_fixes_vs_savaux,gls8_cg_wrap_breaks_vs_savaux,conditional_gls_errors,conditional_gls_ser,conditional_gls_fixes_vs_savaux,conditional_gls_breaks_vs_savaux
thermal_only,-60.0,-74.0,0,5,3.702766569819225e-17,0.0,2.0000055915323666e-15,1.9924677175759936e-15,-17.32504875771899,-17.32504875771899,3.375493228833638,1.2751742111403863,0.2,0.2,0,0.0,0,0,0,0.0,0,0,1,0.2,0,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
one_interferer,-60.0,-74.0,0,5,3.702766569819225e-17,1.1094099863746734e-16,2.0008923733054164e-15,1.9924677175759936e-15,-17.326973947715732,-17.561333143970405,1.0579524299424943,1.2761689031170493,0.2,0.2,2,0.4,0,0,2,0.4,0,0,2,0.4,0,0,2,0.4,0,0,2,0.4,0,0,2,0.4,0,0
