event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,2293760,2621440,70,78,9,166,166,166,166,28.31711133685288,3.02574259753406,0.019263736970356028,12,125000.0,500000.0,4,16384,4,32768,6,2
1,4784128,5111808,146,154,9,1717,1717,1717,1717,13.252338599043368,2.9801203123597357,0.013817652892324877,12,125000.0,500000.0,4,16384,4,32768,6,2
2,7274496,7634944,222,231,10,15491,-893,15491,15492,6.1802914725078155,0.8135595412371283,0.007630901950515551,12,125000.0,500000.0,4,16384,4,32768,6,2
3,9797632,10125312,299,307,9,621,621,621,621,4.505799158633534,1.2248941690860218,0.007043684729581864,12,125000.0,500000.0,4,16384,4,32768,6,2
4,12288000,12517376,375,380,6,14426,-1958,14426,14426,3.3382441327036454,1.8965308389651507,0.004367233426278723,12,125000.0,500000.0,4,16384,4,32768,6,2
5,14778368,15106048,451,459,9,16081,-303,16081,16082,19.95794139429927,0.7494012393993809,0.02007838415025023,12,125000.0,500000.0,4,16384,4,32768,6,2
6,17301504,17629184,528,536,9,1273,1273,1273,1273,0.4832627488423087,3.308736025839164,0.0029306551407303418,12,125000.0,500000.0,4,16384,4,32768,6,2
