packet_id,reference_id,payload_index,gt_symbol,start_sample,clean_decision,accepted,clean_true_margin_db,signal_power,offpacket_power
exp0_000000_rxg20_0_fulltrim,0,0,3293,935698,3293,1,0.03889796451801769,5.461110784836597e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,1,313,968466,313,1,2.584074927919317,5.516800773616521e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,2,1433,1001234,1433,1,1.6072420141079986,5.490116890765393e-08,9.926245921143361e-08
exp0_000000_rxg20_0_fulltrim,0,3,2865,1034002,2865,1,2.989909467090337,5.706549947195974e-08,9.926245921143361e-08
