cfo_error_hz,cfo_error_bins,trial_count,error_count,ser,mean_true_margin_db
-500.0,-16.384,4,4,1.0,-16.06870901103771
0.0,0.0,4,0,0.0,1.3668688228788546
500.0,16.384,4,4,1.0,-11.770674669393799
