timing_error_samples_1m,timing_error_chips,cfo_error_bins,cfo_error_hz,trial_count,error_count,ser,mean_true_margin_db
-0.5,-0.0625,-0.5,-15.2587890625,4,1,0.25,0.8651909761505292
-0.5,-0.0625,0.0,0.0,4,0,0.0,2.0012474232963346
-0.5,-0.0625,0.5,15.2587890625,4,3,0.75,-4.309502378609001
0.0,0.0,-0.5,-15.2587890625,4,2,0.5,-0.06894137286229574
0.0,0.0,0.0,0.0,4,0,0.0,1.3668688228788546
0.0,0.0,0.5,15.2587890625,4,2,0.5,-3.862490169558697
0.5,0.0625,-0.5,-15.2587890625,4,2,0.5,-1.033053081835975
0.5,0.0625,0.0,0.0,4,2,0.5,0.4853386122734299
0.5,0.0625,0.5,15.2587890625,4,2,0.5,-2.871928046689828
