method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,screened_symbols,screen_rate,accepted_proposals,rejected_proposals,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,branch_color_threshold,lora_guard_margin_db,lora_guard_segments
savaux,0,70,1,0.014285714285714285,0,0,0.280079799991654,4.001139999880771,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,1,0.014285714285714285,0,0,0.430780999999115,6.154014285701643,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,2,0.02857142857142857,0,1,0.42066179998073494,6.0094542854390705,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,2,0.02857142857142857,0,1,0.46183649997692555,6.597664285384651,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,2,0.02857142857142857,0,1,0.005913400003919378,0.08447714291313398,1,0.014285714285714285,0,0.0,0,0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,1,0.014285714285714285,0,0,0.00016629999663564377,0.002375714237652054,0,0.0,1,0.014285714285714285,0,1,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,8,0.11428571428571428,0,0,0.10331340000630007,1.4759057143757153,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,8,0.11428571428571428,0,0,0.3972148000066227,5.674497142951752,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,8,0.11428571428571428,0,0,0.4056469999923138,5.79495714274734,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,10,0.14285714285714285,0,2,0.4466618999977072,6.380884285681532,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,9,0.12857142857142856,0,1,0.045724300005531404,0.6532042857933058,7,0.1,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,8,0.11428571428571428,0,0,0.0012167000022600405,0.017381428603714864,0,0.0,7,0.1,0,4,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,16,0.22857142857142856,0,0,0.11016209999434068,1.5737442856334383,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,17,0.24285714285714285,2,3,0.4036179999966407,5.7659714285234385,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,18,0.2571428571428571,1,3,0.3869957000024442,5.528510000034918,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,20,0.2857142857142857,1,5,0.42821960000583204,6.117422857226172,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,19,0.2714285714285714,1,4,0.09116549999453127,1.302364285636161,15,0.21428571428571427,0,0.0,0,0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,16,0.22857142857142856,0,0,0.0026625000027706847,0.0380357143252955,0,0.0,15,0.21428571428571427,0,9,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,1,0.014285714285714285,0,0,0.10662139998748899,1.5231628569641285,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,2,0.02857142857142857,0,1,0.38884829999369686,5.5549757141956695,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,2,0.02857142857142857,0,1,0.38866070001313346,5.552295714473336,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,3,0.04285714285714286,0,2,0.42919810001330916,6.131401428761559,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,3,0.04285714285714286,0,2,0.018761000006634276,0.2680142858090611,3,0.04285714285714286,0,0.0,0,0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,1,0.014285714285714285,0,0,0.000443900004029274,0.006341428628989628,0,0.0,3,0.04285714285714286,0,2,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,8,0.11428571428571428,0,0,0.10724810000465368,1.5321157143521955,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,10,0.14285714285714285,0,2,0.3945738000002166,5.6367685714316655,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,7,0.1,1,0,0.39013899998462875,5.573414285494697,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,6,0.08571428571428572,2,0,0.43053179999333224,6.150454285619032,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,7,0.1,1,0,0.04705090000061318,0.6721557142944741,8,0.11428571428571428,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,8,0.11428571428571428,0,0,0.0013509999989764765,0.019299999985378236,0,0.0,8,0.11428571428571428,0,2,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,15,0.21428571428571427,0,0,0.10645440000007511,1.520777142858216,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,15,0.21428571428571427,1,1,0.3959742999941227,5.6567757142017525,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,17,0.24285714285714285,2,4,0.3922416000023077,5.603451428604395,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,16,0.22857142857142856,2,3,0.43331339998621843,6.190191428374549,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,15,0.21428571428571427,1,1,0.07179549999273149,1.0256499998961641,12,0.17142857142857143,0,0.0,0,0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,15,0.21428571428571427,0,0,0.00193589999616961,0.027655714230994426,0,0.0,12,0.17142857142857143,0,4,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,1,0.014285714285714285,0,0,0.10721139997986029,1.5315914282837184,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,1,0.014285714285714285,0,0,0.43004990000554244,6.143570000079178,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,1,0.014285714285714285,0,0,0.42638910000459873,6.091272857208553,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,1,0.014285714285714285,0,0,0.46825499998158193,6.6893571425940275,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,1,0.014285714285714285,0,0,0.006390100003045518,0.09128714290065025,1,0.014285714285714285,0,0.0,0,0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,1,0.014285714285714285,0,0,0.00018289999934495427,0.0026128571334993467,0,0.0,1,0.014285714285714285,0,0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,5,0.07142857142857142,0,0,0.11082289999103523,1.5831842855862175,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,6,0.08571428571428572,0,1,0.40994360001423047,5.856337143060435,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
