packet_index,event_index,detected_start_sample,detected_end_sample,detected_window_count,detected_reference_bin,detected_mean_confidence_db,aligned_start_sample,align_offset_samples,align_peak_bin,align_confidence_db,align_peak_share,frame_valid,located_preamble_start_sample,located_sfd_start_sample,located_payload_start_sample,locator_score,preamble_ref_bin,preamble_stable_count,sync1_bin,sync2_bin,sync1_expected_bin,sync2_expected_bin,sync1_distance,sync2_distance,sfd1_bin,sfd2_bin,sfd_bin_distance,mean_preamble_confidence_db,mean_sfd_confidence_db,bin_offset_up_mean_bin,bin_offset_down_mean_bin,bin_offset_up_std_bin,bin_offset_down_std_bin,bin_offset_up_peak_count,bin_offset_down_peak_count,bin_offset_tau0_chip,bin_offset_tau0_sample,bin_offset_beta_bin,bin_offset_cfo_hz,bin_offset_zeta,bin_offset_payload_sto_chip,bin_offset_payload_sto_sample,bin_offset_payload_start_sample,bin_offset_residual_rms_bin,bin_offset_delta_tau0_chip,bin_offset_delta_beta_bin,bin_offset_delta_cfo_hz,bin_offset_delta_payload_sto_chip,tau0_chip,tau0_sample,beta_bin,cfo_hz,zeta,payload_sto_chip,payload_sto_sample,payload_start_sample,objective,noncoherent_power,coherent_gain_db,mean_abs_z0,coarse_tau0_chip,coarse_beta_bin,hit_tau_boundary,hit_beta_boundary
0,0,647168,684032,8,436,2.150341310386295,649440,2272,4076,23.026376850407708,0.8871631677149971,1,645344,686304,695520,504.6621636143602,4076,8,4,12,24,32,0,0,4075,4075,0,23.958209449848283,7.933999683374273,-19.999382523348498,-20.966107671662666,0.0003074150776350165,0.0005163687846092557,8,2,-0.48336257415708417,-1.9334502966283367,-20.482745097505582,-2500.335094910349,0.0,-0.48336257415708417,-1.9334502966283367,695518.0665497034,0.0003590690300062685,-58.483362574157084,-58.232745097505585,-7108.48939178535,-57.48082257415708,58.0,232.0,37.75,4608.154296875,-8e-05,56.99746,227.98984,695747.98984,7525.708963549103,12718.675996974243,-2.278944848469119,39.814256646605585,56.0,36.0,0,0
1,1,3141632,3182592,9,32,7.520651272802335,3145519,3887,4076,32.70386064613196,0.8949657227061919,1,3145519,3186479,3195695,568.6234431591683,4076,8,4,12,24,32,0,0,4075,4075,0,31.472123974049254,8.750040063550694,-20.000005142200365,-20.974608076556347,4.9537762646342187e-05,0.002531179962922181,8,2,-0.48730146717799094,-1.9492058687119638,-20.487306609378358,-2500.8919200901314,0.0,-0.48730146717799094,-1.9492058687119638,3195693.050794131,0.0011328449112222516,41.51269853282201,41.01269339062164,5006.432298659869,42.51523853282201,-42.0,-168.0,-61.5,-7507.32421875,-8e-05,-43.00254,-172.01016,3195522.98984,4274.0922388238805,2021.2750412464052,3.252184770505448,12.673646610706802,-40.0,-60.0,0,0
2,2,5640192,5677056,8,3642,0.7458747201608018,5641930,1738,4076,19.77770458083,0.8747075613653651,1,5646026,5686986,5696202,509.96346521677674,4076,8,4,12,24,32,0,0,4075,4075,0,20.70959835175654,14.816682730314351,-19.999003129113323,-20.995356074281165,0.0006443178138461703,3.107431247428849e-06,8,2,-0.4981764725839213,-1.9927058903356851,-20.497179601697244,-2502.097119347808,0.0,-0.4981764725839213,-1.9927058903356851,5696200.00729411,0.0005762970478992566,40.50182352741608,41.00282039830276,5005.227099402192,41.50436352741608,-41.0,-164.0,-61.5,-7507.32421875,-8e-05,-42.00254,-168.01016,5696033.98984,14777.68273314264,10639.256748064876,1.4269504884068658,35.80328997210755,-40.0,-60.0,0,0
3,3,8142848,8183808,9,131,7.669128142879278,8146341,3493,4076,19.870214331551985,0.8735067320427027,1,8146341,8187301,8196517,523.6133760428378,4076,8,4,12,24,32,0,0,4075,4075,0,20.47957417607744,18.415942661579702,-19.99906075096698,-20.997586727645732,0.0005512812350812432,7.453043401817183e-05,8,2,-0.49926298833937643,-1.9970519533575057,-20.498323739306358,-2502.2367845832955,0.0,-0.49926298833937643,-1.9970519533575057,8196515.002948047,0.0004942061889951888,40.500737011660625,41.00167626069364,5005.087434166704,41.50327701166063,-41.0,-164.0,-61.5,-7507.32421875,-8e-05,-42.00254,-168.01016,8196348.98984,35600.53023789721,10911.640879429833,5.1356640226584425,36.21778737944082,-40.0,-60.0,0,0
4,4,10641408,10678272,8,3845,9.048769939557562,10642332,924,4076,19.55793101473123,0.883171164180721,1,10646428,10687388,10696604,536.1954386020647,4076,8,4,12,24,32,0,0,4075,4075,0,20.175449142849814,21.922844115158856,-19.998427207318215,-20.998771052390016,0.0003309080185129694,8.991077434217232e-05,8,2,-0.5001719225359,-2.0006876901436,-20.498599129854114,-2502.2704015935196,0.0,-0.5001719225359,-2.0006876901436,10696601.99931231,0.0002986919530913171,30.4998280774641,30.001400870145886,3662.2803796564804,29.4972880774641,-31.0,-124.0,-50.5,-6164.55078125,8e-05,-29.99746,-119.98984,10696484.01016,49059.33954504256,10733.613624358732,6.599757392520358,36.451837667432414,-32.0,-52.0,0,0
5,5,13144064,13185024,9,327,2.136492225797752,13146771,2707,4076,20.605605575019652,0.774825440900791,1,13146807,13187767,13196983,553.478813429649,4085,8,13,21,24,32,0,0,4066,4066,0,21.564276141676274,25.507392641721083,-10.999840583136518,-29.999450686639403,0.00037922636745086984,0.00011374019266341406,8,2,-9.499805051751443,-37.99922020700577,-20.499645634887962,-2502.3981487900346,0.0,-9.499805051751443,-37.99922020700577,13196945.000779793,0.0003429832014857402,38.500194948248556,38.00035436511204,4638.715132459965,37.49765494824855,-48.0,-192.0,-58.5,-7141.11328125,8e-05,-46.99746,-187.98984,13196795.01016,42488.3623285759,5406.429671482349,8.95359434040225,25.85394407517154,-48.0,-60.0,0,0
6,6,15642624,15683584,9,3946,9.67344569407313,15646719,4095,3946,11.372588460638154,0.6685599385559746,1,15647231,15688191,15697407,555.4507253493629,4074,8,2,10,24,32,0,0,4077,4077,0,17.446805301145368,32.88263974706786,-22.00122769832067,-18.9999651937703,0.00038126264268541004,1.461081025944111e-05,8,2,1.5006312522751841,6.0025250091007365,-20.500596446045485,-2502.5142146051617,0.0,1.5006312522751841,6.0025250091007365,15697413.00252501,0.000341074269509234,-80.49936874772482,-80.00059644604548,-9765.697808355162,-79.49682874772482,82.0,328.0,59.5,7263.18359375,-8e-05,80.99746,323.98984,15697730.98984,15398.731241540247,7469.702265296567,3.1418164755490925,30.474437179931375,80.0,58.0,0,0
7,7,18145280,18186240,9,292,3.5309596367373803,18148123,2843,4075,32.29660864867979,0.8757178657874332,1,18148127,18189087,18198303,565.1069536511607,4076,8,4,12,24,32,0,0,4075,4075,0,31.38176369511711,8.453249029033742,-19.999961223594802,-21.023241842038914,6.085505850108904e-05,0.0004721736926711628,8,2,-0.5116403092220558,-2.0465612368882233,-20.511601532816858,-2503.8576089864328,0.0,-0.5116403092220558,-2.0465612368882233,18198300.953438763,0.0002180648291822437,-73.51164030922206,-73.76160153281685,-9004.101749611433,-74.51418030922206,73.0,292.0,53.25,6500.244140625,8e-05,74.00254,296.01016,18198599.01016,13769.644983295815,7789.613383881113,2.4740683998683575,31.16045890139608,72.0,52.0,0,0
8,8,20643840,20680704,8,3874,5.62204496529872,20644643,803,4075,31.969999519954424,0.8778193241600649,1,20648739,20689699,20698915,530.3654704812349,4075,8,3,11,24,32,0,0,4076,4076,0,30.994422086268372,2.219477408184543,-20.99997231595931,-20.19113838392008,8.314242940713172e-05,0.007362207660641218,8,2,0.40441696601961574,1.617667864078463,-20.595555349939694,-2514.105877678185,0.0,0.40441696601961574,1.617667864078463,20698916.617667865,0.0032933190641866185,-73.59558303398039,-73.8455553499397,-9014.350018303185,-74.22217053398039,74.0,296.0,53.25,6500.244140625,5.000000000000001e-05,74.6265875,298.50635,20699213.50635,65372.65757193219,8221.870117998646,9.004255286579795,32.03861777352259,72.0,52.0,0,0
9,9,23146496,23187456,9,243,6.4741739092662725,23149536,3040,4075,18.447685409267237,0.8421578452325507,1,23149537,23190497,23199713,436.8477112343788,4075,8,3,11,24,32,0,0,4075,4075,0,16.524326293790633,6.914981246772623,-20.998570271702988,-20.958721865526286,0.0005536888673889809,0.002178492535573895,8,2,0.019924203088351078,0.07969681235340431,-20.978646068614637,-2560.869881422685,0.0,0.019924203088351078,0.07969681235340431,23199713.07969681,0.0010928966259471339,-78.98007579691165,-79.22864606861464,-9671.465584547685,-79.10539329691164,79.0,316.0,58.25,7110.595703125,9.999999999999999e-06,79.1253175,316.50127,23200029.50127,41365.448941590104,8597.805619780414,6.822501198015999,32.78226690888257,80.0,60.0,0,0
