dataset,snr_db,seed,bank_kind,pattern_count,symbol_count,noise_mode,covariance_source,white_effective_replicas,empirical_effective_replicas,cross_validated_effective_replicas,savaux_ser,savaux_mean_gt_rank,savaux_mean_gt_margin_db,savaux_mean_gt_floor_db,plain_coherent_ser,plain_coherent_mean_gt_rank,plain_coherent_mean_gt_margin_db,plain_coherent_mean_gt_floor_db,plain_coherent_fix_vs_savaux,plain_coherent_break_vs_savaux,plain_coherent_changes_vs_savaux,lora_coherent_ser,lora_coherent_mean_gt_rank,lora_coherent_mean_gt_margin_db,lora_coherent_mean_gt_floor_db,lora_coherent_fix_vs_savaux,lora_coherent_break_vs_savaux,lora_coherent_changes_vs_savaux,lora_mean_power_ser,lora_mean_power_mean_gt_rank,lora_mean_power_mean_gt_margin_db,lora_mean_power_mean_gt_floor_db,lora_mean_power_fix_vs_savaux,lora_mean_power_break_vs_savaux,lora_mean_power_changes_vs_savaux,lora_best_power_ser,lora_best_power_mean_gt_rank,lora_best_power_mean_gt_margin_db,lora_best_power_mean_gt_floor_db,lora_best_power_fix_vs_savaux,lora_best_power_break_vs_savaux,lora_best_power_changes_vs_savaux,lora_stable_power_ser,lora_stable_power_mean_gt_rank,lora_stable_power_mean_gt_margin_db,lora_stable_power_mean_gt_floor_db,lora_stable_power_fix_vs_savaux,lora_stable_power_break_vs_savaux,lora_stable_power_changes_vs_savaux,lora_adaptive_gls_ser,lora_adaptive_gls_mean_gt_rank,lora_adaptive_gls_mean_gt_margin_db,lora_adaptive_gls_mean_gt_floor_db,lora_adaptive_gls_fix_vs_savaux,lora_adaptive_gls_break_vs_savaux,lora_adaptive_gls_changes_vs_savaux,lora_offpacket_gls_ser,lora_offpacket_gls_mean_gt_rank,lora_offpacket_gls_mean_gt_margin_db,lora_offpacket_gls_mean_gt_floor_db,lora_offpacket_gls_fix_vs_savaux,lora_offpacket_gls_break_vs_savaux,lora_offpacket_gls_changes_vs_savaux
0_0_0_10_14_8,-23.0,42,multiscale_only_diverse16,16,70,offpacket_bootstrap,offpacket,4.0,5.574198931901578,29.984302055676547,0.0,1.0,22.2107134760084,45.723269395137805,0.2857142857142857,1.5,6.141224057847254,40.56133998943747,0,20,20,0.0,1.0,22.199476962815535,45.37693043535553,0,0,0,0.0,1.0,13.014510507861278,38.016425322607894,0,0,0,0.0,1.0,7.7343939704634455,32.860016267243864,0,0,0,0.0,1.0,22.299342749745318,53.49117761716641,0,0,0,0.0,1.0,22.22473877071954,45.73792971836566,0,0,0,0.0,1.0,19.05683442569055,43.09971746299139,0,0,0
0_0_0_10_14_8,-24.0,42,multiscale_only_diverse16,16,70,offpacket_bootstrap,offpacket,4.0,5.574198931901578,29.984302055676547,0.0,1.0,22.2107134760084,45.723269395137805,0.2857142857142857,1.5,6.141224057847254,40.56133998943747,0,20,20,0.0,1.0,22.199476962815535,45.37693043535553,0,0,0,0.0,1.0,13.014510507861278,38.016425322607894,0,0,0,0.0,1.0,7.7343939704634455,32.860016267243864,0,0,0,0.0,1.0,22.299342749745318,53.49117761716641,0,0,0,0.0,1.0,22.22473877071954,45.73792971836566,0,0,0,0.0,1.0,19.05683442569055,43.09971746299139,0,0,0
0_0_0_10_14_8,-25.0,42,multiscale_only_diverse16,16,70,offpacket_bootstrap,offpacket,4.0,5.574198931901578,29.984302055676547,0.0,1.0,22.2107134760084,45.723269395137805,0.2857142857142857,1.5,6.141224057847254,40.56133998943747,0,20,20,0.0,1.0,22.199476962815535,45.37693043535553,0,0,0,0.0,1.0,13.014510507861278,38.016425322607894,0,0,0,0.0,1.0,7.7343939704634455,32.860016267243864,0,0,0,0.0,1.0,22.299342749745318,53.49117761716641,0,0,0,0.0,1.0,22.22473877071954,45.73792971836566,0,0,0,0.0,1.0,19.05683442569055,43.09971746299139,0,0,0
0_0_0_10_14_8,-23.0,43,multiscale_only_diverse16,16,70,offpacket_bootstrap,offpacket,4.0,9.648851248835326,5.029411869598966,0.1,7.857142857142857,17.293963092688237,42.27027794968651,0.38571428571428573,14.785714285714286,2.413452647422346,37.03864281490259,0,20,22,0.1,9.114285714285714,17.240704161455014,41.853063798503264,0,0,0,0.1,16.67142857142857,9.21418265979154,34.756615663937026,0,0,0,0.1,23.67142857142857,4.911294459152014,30.0418155575039,0,0,1,0.1,12.8,16.994953089120077,49.8020167255406,0,0,0,0.1,7.8428571428571425,17.318683774245557,42.28398625773975,0,0,1,0.1,8.014285714285714,17.019147115687467,41.5438870814637,0,0,0
0_0_0_10_14_8,-24.0,43,multiscale_only_diverse16,16,70,offpacket_bootstrap,offpacket,4.0,9.648972474931554,5.029365599971069,0.1,9.657142857142857,17.191164181621147,42.16863064260704,0.38571428571428573,19.12857142857143,2.3134103945727946,36.93811943132215,0,20,22,0.1,11.014285714285714,17.132837022133078,41.74432438894335,0,0,0,0.1,18.885714285714286,9.161328622958193,34.70377904071897,0,0,0,0.1,26.457142857142856,4.870029519995299,30.00081641519987,0,0,1,0.1,14.985714285714286,16.8371410755644,49.64473523420425,0,0,0,0.1,9.414285714285715,17.217757664943218,42.18325827008611,0,0,1,0.1,9.585714285714285,16.918461497827945,41.44385398578323,0,0,0
0_0_0_10_14_8,-25.0,43,multiscale_only_diverse16,16,70,offpacket_bootstrap,offpacket,4.0,9.649069917105402,5.029328307722753,0.1,11.67142857142857,17.08805411537698,42.06563561052511,0.38571428571428573,23.742857142857144,2.2140649167026174,36.839290256200435,0,20,22,0.1,13.67142857142857,17.024018155141057,41.63503553479443,0,0,0,0.1,21.385714285714286,9.113261505254924,34.65570151437133,0,0,0,0.1,28.82857142857143,4.840116146726843,29.97116786525651,0,0,1,0.1,17.485714285714284,16.67327926003148,49.478696587907855,0,0,0,0.1,11.428571428571429,17.11644416488644,42.08153501519151,0,0,1,0.1,11.7,16.816653371783257,41.34259757935864,0,0,0
0_0_0_10_14_32,-23.0,42,multiscale_only_diverse16,16,70,offpacket_bootstrap,offpacket,4.0,3.458729864544114,5.772824571088554,0.38571428571428573,69.11428571428571,1.8606780938619185,23.210892398762144,0.6285714285714286,126.87142857142857,-5.133651164352547,18.324924016474462,0,17,31,0.38571428571428573,75.3,1.7395708271709858,22.890549654214915,0,0,5,0.38571428571428573,99.71428571428571,0.7222271987092873,17.24946786281013,0,0,7,0.5142857142857142,115.75714285714285,-1.601047009439085,14.254867846398728,0,9,19,0.37142857142857144,69.34285714285714,1.0556247805820278,28.973326102910466,1,0,4,0.37142857142857144,66.24285714285715,2.082072999671608,23.53064721214545,1,0,6,0.38571428571428573,67.71428571428571,1.8621477160732756,23.155598407562547,0,0,2
0_0_0_10_14_32,-24.0,42,multiscale_only_diverse16,16,70,offpacket_bootstrap,offpacket,4.0,3.458278319774957,5.791223683781712,0.4,79.7,1.3733920271972626,22.71227977427834,0.6571428571428571,139.17142857142858,-5.491111758815667,17.932047773931544,0,18,33,0.42857142857142855,87.47142857142858,1.2276434696237921,22.3664296832337,0,2,7,0.44285714285714284,110.65714285714286,0.3752116800096607,16.896492537613845,0,3,10,0.5142857142857142,127.67142857142858,-1.8581510123280023,13.989957659695369,0,8,19,0.4,80.61428571428571,0.405171737683073,28.306803032171864,0,0,3,0.38571428571428573,76.77142857142857,1.5978361581462703,23.030632810517414,1,0,7,0.4142857142857143,78.34285714285714,1.387966399593364,22.670218722552775,0,1,3
0_0_0_10_14_32,-25.0,42,multiscale_only_diverse16,16,70,offpacket_bootstrap,offpacket,4.0,3.457916852452779,5.80591371683634,0.44285714285714284,91.84285714285714,0.888998579360787,22.217970337620947,0.6857142857142857,151.61428571428573,-5.840602929307259,17.54572663454862,0,17,34,0.44285714285714284,99.01428571428572,0.7231265319886421,21.85588251836221,0,0,5,0.44285714285714284,120.97142857142858,0.058543649770908854,16.574341452610604,0,0,8,0.5285714285714286,138.24285714285713,-2.086140177579291,13.756513386740549,0,6,19,0.44285714285714284,92.22857142857143,-0.26554717657417093,27.618800611786934,0,0,3,0.42857142857142855,87.45714285714286,1.1142607641791022,22.526902429018,1,0,8,0.42857142857142855,90.22857142857143,0.9128812058766008,22.18524904546995,1,0,3
0_0_0_10_14_32,-23.0,43,multiscale_only_diverse16,16,70,offpacket_bootstrap,offpacket,4.0,2.2840750250205777,0.49818429767069994,0.42857142857142855,54.08571428571429,-0.45347827944806696,22.844075418845215,0.6428571428571429,101.57142857142857,-6.303729402065749,18.643605821572002,0,15,31,0.45714285714285713,58.885714285714286,-0.5384051315496275,22.58657128955336,0,2,4,0.45714285714285713,77.84285714285714,-1.53269881967387,16.673630394389022,0,2,9,0.4857142857142857,88.52857142857142,-3.056903566824152,13.933370082795271,0,4,12,0.42857142857142855,55.15714285714286,-1.172229072170058,28.90015357219541,0,0,3,0.42857142857142855,44.871428571428574,-0.2776170464174453,23.249734921475984,0,0,5,0.42857142857142855,52.542857142857144,-0.4090763951976256,22.825407544645167,0,0,2
