method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations
savaux,0,70,8,0.11428571428571428,0,0,0.48280739998153877,6.897248571164839,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_12,12,70,8,0.11428571428571428,0,0,1.217533100018045,17.393330000257784,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_12,12,70,8,0.11428571428571428,2,2,1.2026970000260917,17.181385714658454,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
lora_information_12,12,70,19,0.2714285714285714,1,12,1.1665864999995392,16.665521428564848,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
savaux,0,70,8,0.11428571428571428,0,0,0.1854638000113482,2.6494828573049745,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_12,12,70,10,0.14285714285714285,0,2,1.0696991000004346,15.281415714291922,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_12,12,70,8,0.11428571428571428,1,1,1.0916512999974657,15.595018571392368,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
lora_information_12,12,70,11,0.15714285714285714,1,4,1.0683620999843697,15.262315714062424,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
savaux,0,70,5,0.07142857142857142,0,0,0.18420699999842327,2.631528571406047,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_12,12,70,6,0.08571428571428572,0,1,1.047540300005494,14.964861428649913,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_12,12,70,7,0.1,0,2,1.0356832999787002,14.795475713981432,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
lora_information_12,12,70,23,0.32857142857142857,0,18,1.022522299997945,14.607461428542072,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
