packet_index,payload_symbol_index,gt_bin,rank1_ratio,rank2_ratio,sigma1,sigma2,savaux_selected_bin,savaux_ok,savaux_gt_rank,savaux_gt_power,savaux_gt_margin_db,savaux_gt_floor_db,svd_left_selected_bin,svd_left_ok,svd_left_gt_rank,svd_left_gt_power,svd_left_gt_margin_db,svd_left_gt_floor_db,svd_rank1_savaux_selected_bin,svd_rank1_savaux_ok,svd_rank1_savaux_gt_rank,svd_rank1_savaux_gt_power,svd_rank1_savaux_gt_margin_db,svd_rank1_savaux_gt_floor_db,svd_rank2_savaux_selected_bin,svd_rank2_savaux_ok,svd_rank2_savaux_gt_rank,svd_rank2_savaux_gt_power,svd_rank2_savaux_gt_margin_db,svd_rank2_savaux_gt_floor_db,dataset,snr_db,seed
1,0,222,0.2693790659978838,0.5236913093190709,3.381960063510027,3.286019890250254,222,True,1,0.5744717700646653,2.264799786395424,12.866534626081336,682,False,3,0.06800459533170855,-1.214175057421001,9.527746809279094,500,False,3,0.10965589812019871,-0.9794614045701949,9.577673888631242,222,True,1,0.3898464301351545,1.8443107640430538,12.484047490023709,0_0_0_10_14_16,-22.0,42
1,1,826,0.2744988369551672,0.5285046185963695,3.4176602990740594,3.287611115911272,826,True,1,0.9410365074074889,5.035636026999056,15.05546800971165,6,False,8,0.057897483463570376,-1.7497454767377099,8.553003240940884,375,False,11,0.0650204834887882,-2.4613886205809203,9.34644067909886,826,True,1,0.6147299904620276,2.528058236263914,14.598690486551657,0_0_0_10_14_16,-22.0,42
1,2,922,0.2705643035358436,0.5249836475587628,3.3857937728420997,3.2832225134382553,922,True,1,1.0316694602354346,5.7876187798725285,15.723725524253611,922,True,1,0.23973261821174674,5.779386410778588,14.799198312805373,922,True,1,0.3962416240006519,4.183627956353675,15.161843980491884,922,True,1,0.4782490920623026,4.218581168449323,15.054472608507057,0_0_0_10_14_16,-22.0,42
1,3,718,0.2798445632911956,0.5318056577099476,3.4207074529088928,3.245818564662995,718,True,1,0.5087505339298879,3.0103404143412265,12.35202975567963,176,False,12,0.05283596568742244,-1.9869701306832699,8.247111499185461,389,False,8,0.062081614830031606,-2.2083637050689537,10.85372347761031,718,True,1,0.15009344713068717,0.41714065251567845,10.427359436490233,0_0_0_10_14_16,-22.0,42
1,4,107,0.27015216538631504,0.5272969749280466,3.351856959519685,3.270168505740836,107,True,1,0.6261277665772447,2.970248431652816,13.53674977888172,588,False,387,0.010436994279172718,-9.312920696986236,1.6297906723628188,588,False,531,0.007150034392086946,-13.779728818064791,-0.31515729027257045,886,False,53,0.06285264026359982,-4.949317390779996,6.497672835724247,0_0_0_10_14_16,-22.0,42
1,5,468,0.2699745517805006,0.5208268982759737,3.3729616948799506,3.251315231867319,468,True,1,1.1797519708296846,6.095233093723371,16.357575677184254,468,True,1,0.1823166445760629,3.518042706012145,13.682379656995554,468,True,1,0.3085149936856766,1.6487728037029048,15.197639868121902,468,True,1,0.5557528734597419,4.602291310788439,14.367538597398005,0_0_0_10_14_16,-22.0,42
1,6,89,0.26949487182491527,0.5255164773044124,3.448294404427533,3.3609913365127007,89,True,1,0.8961185151890874,3.818205147770678,14.381749096015108,437,False,21,0.04846826369412671,-2.179194350753591,7.970530435940596,437,False,4,0.14960180671084178,-0.8715071518330084,10.584013554009548,462,False,5,0.18607315199691143,-1.8630410929076633,9.744307825976763,0_0_0_10_14_16,-22.0,42
1,7,713,0.2670607140311957,0.5233773444636954,3.357592825618221,3.2893600830926215,713,True,1,0.6906198945576172,3.3864269743498037,13.929134803074184,338,False,7,0.059797897804641176,-1.68823033380601,9.152242166839146,338,False,2,0.077726155671062,-1.7380136009563698,10.206891504952472,713,True,1,0.28388030606706494,3.2143160677299814,13.624697651668988,0_0_0_10_14_16,-22.0,42
1,8,865,0.2609184999361692,0.5197127039169138,3.313836648468582,3.300319100325079,865,True,1,0.5915792815031296,3.1625324399854993,13.354220093966793,854,False,76,0.027607680622303343,-4.413395288538807,5.699309464630789,557,False,196,0.020275047278765834,-6.974096461259526,4.199126653031321,517,False,79,0.03601712026613435,-4.857307356580974,5.969799787443822,0_0_0_10_14_16,-22.0,42
1,9,492,0.2699671182389375,0.5256468761803483,3.3504046261210516,3.26054349175469,492,True,1,0.5999342902587159,1.8772146234231664,13.365137102925484,617,False,298,0.013383952074139727,-7.905501159297713,2.589215922569672,208,False,88,0.008268541305138877,-5.300591335965574,8.542114367242776,243,False,3,0.15311197598331105,-0.08687030696930803,9.828544166720901,0_0_0_10_14_16,-22.0,42
1,10,765,0.27146940795624463,0.5337061804661187,3.413195604950416,3.3546523923141622,765,True,1,0.7943538932707419,4.99481942858274,14.507364182937096,788,False,280,0.014256324908530849,-8.466062141533632,2.5120362498284443,685,False,58,0.016316314952897537,-3.755256069604504,6.555855562105888,429,False,9,0.038041869728813404,-1.418757448629132,9.179276059445181,0_0_0_10_14_16,-22.0,42
1,11,1023,0.26253882101334924,0.5228416193812704,3.316495666572281,3.302342298992519,1023,True,1,0.9085302111067364,5.509161737940146,15.10863401485845,1023,True,1,0.08725539878993516,0.40082331516748954,11.007276825882883,418,False,6,0.08943468335884663,-0.4163995786501917,9.591497112878734,597,False,5,0.1118947060525608,-0.8764422087209296,9.147760174078195,0_0_0_10_14_16,-22.0,42
1,12,597,0.2625754665696678,0.5183466871684093,3.352493541416756,3.3087710324753457,597,True,1,0.6401874297972796,3.5482415150950635,13.410688743940488,686,False,76,0.029884184659111135,-6.051554019571759,5.98029690663534,688,False,56,0.010654193235737353,-5.502251381589681,6.586988558406358,597,True,1,0.12069888038903631,0.43480453179821,10.727481583031981,0_0_0_10_14_16,-22.0,42
1,13,562,0.2780244443482817,0.5303265541298611,3.4178930340808247,3.255947678171111,562,True,1,0.9002740868927503,4.343565872968217,14.716710471035732,562,True,1,0.09129138749598553,0.6861348191738532,10.813866412866393,562,True,1,0.2542583745768212,1.7018929273129042,13.20253469567005,562,True,1,0.6129377851621598,4.985048492646046,15.208720216065695,0_0_0_10_14_16,-22.0,42
1,14,478,0.2748942870010659,0.5269820202763659,3.376631093487773,3.2335279169484026,478,True,1,0.8389333934219998,4.212465517091629,14.64508662290891,574,False,8,0.05232698762652199,-2.9197760719057624,8.353209144545088,574,False,5,0.12369067350461194,-1.465972959839943,9.302018251490836,478,True,1,0.21587943784084374,0.12518183271692596,10.777977762928316,0_0_0_10_14_16,-22.0,42
1,15,267,0.2698868625226628,0.5277094030589837,3.350637854249465,3.274892586920975,267,True,1,0.46380604904755174,2.049375054274642,12.394186372452918,189,False,23,0.04562864362812036,-2.9932975477482704,7.9323644443506325,189,False,2,0.07461447016094613,-0.5596400282594229,10.235413027227068,328,False,3,0.11598439470777411,-0.4016072751032256,10.572524716110651,0_0_0_10_14_16,-22.0,42
1,16,917,0.26456342523655113,0.5280743528587946,3.3960718714556455,3.3893099398997224,917,True,1,1.3575412955004964,6.3840233960192485,16.551925304107534,917,True,1,0.27148413351119416,4.575808044994856,15.245563049615729,917,True,1,0.5836318821434396,3.877665396942457,16.497249182818617,917,True,1,0.6581253555780222,4.202688039432501,15.282423932321796,0_0_0_10_14_16,-22.0,42
1,17,656,0.2756562443750468,0.5298148998097308,3.4253755758452717,3.289097377244696,656,True,1,1.133802645336118,5.28155524879216,15.90626087046775,656,True,1,0.1715145939900964,3.8531102288000407,13.500767422001715,656,True,1,0.19558048766927882,2.686798227405361,15.614237638161526,656,True,1,0.263549284558394,3.8996175662898915,15.283987264164633,0_0_0_10_14_16,-22.0,42
1,18,889,0.2692831856685794,0.5244234021807456,3.3570004092539003,3.2676552896721565,889,True,1,0.8218362348382016,5.073603447370036,14.85268840004938,889,True,1,0.10585922665173886,1.0714912128334677,11.627221101565805,889,True,1,0.15999714375816954,1.6827078121669525,13.64549473128105,889,True,1,0.19850868975518043,1.7398567536164742,13.04011468492503,0_0_0_10_14_16,-22.0,42
1,19,510,0.26890456927814554,0.5256952334328844,3.37320958854218,3.2963540415019237,510,True,1,0.4334925995444827,2.0674474609556133,11.812115729200931,965,False,714,0.003617708944223655,-13.011109472927561,-2.948508072001394,396,False,17,0.07536164482372953,-2.2200827239876464,8.185412823157211,693,False,60,0.07972303925095048,-5.216593583444665,6.610792582115588,0_0_0_10_14_16,-22.0,42
1,20,860,0.26524925677192,0.5205017768653779,3.3044460454419156,3.2415788985170346,860,True,1,0.7111785896734233,3.9804970817177336,14.155029865544472,860,True,1,0.0822925347188539,1.1273820142189854,10.573679385031653,860,True,1,0.19040677383461357,3.2143375833217283,11.81232628426719,860,True,1,0.21258920104794132,2.8209677875349564,11.659263197791708,0_0_0_10_14_16,-22.0,42
1,21,553,0.27500357200763675,0.5250791806155197,3.425201202880125,3.266273802677596,553,True,1,0.6653654115030463,4.115500746213603,13.232378390464747,406,False,317,0.013373317718767874,-8.133850870356286,2.1567063243419105,553,True,1,0.11949260088785252,0.22170364856443986,9.667299665046514,553,True,1,0.274494789144061,1.2306468247326203,11.887704593045424,0_0_0_10_14_16,-22.0,42
1,22,629,0.26686971163502893,0.5294060533734352,3.3793788223648042,3.3518297369832504,629,True,1,1.2716905554901956,5.581879961004482,16.403489086724974,629,True,1,0.09415212226502323,0.8227333975386315,11.046130285063782,629,True,1,0.2657316560758183,3.8448314042162375,14.096645201640698,629,True,1,0.9362061361227916,5.510305723703754,16.505541649328205,0_0_0_10_14_16,-22.0,42
1,23,759,0.26851778218253614,0.522421341029854,3.3588159775849733,3.2661346029901357,759,True,1,0.42017379448247993,2.2648644699835794,11.726113583568598,491,False,6,0.05571420446734976,-0.9054138099092226,8.892675163481073,567,False,4,0.045743559126606215,-1.3873337588281809,10.052421239021061,759,True,1,0.21494630195957232,1.2123692819489504,12.66487124931146,0_0_0_10_14_16,-22.0,42
1,24,874,0.2725886666000955,0.5269124363122294,3.419478073263803,3.3029302442401964,874,True,1,0.8358019779784378,2.8522322770071167,14.501753638400581,874,True,1,0.14947273149987783,2.830000032837994,12.949106261033608,874,True,1,0.38550071779587824,5.004287637382182,14.765190584200948,874,True,1,0.5216681152210754,3.2492648789735568,14.088173022783677,0_0_0_10_14_16,-22.0,42
1,25,720,0.2713397477252816,0.5253331393211707,3.3929301867847124,3.282686611312266,720,True,1,0.9262797661087916,5.15837173464721,14.90297624675885,474,False,77,0.029203561343235984,-4.348885407263806,5.716986753647566,720,True,1,0.12150741580951863,0.9452699957271221,10.909747500203295,720,True,1,0.2598652462649085,3.0213223630393067,12.24954894024463,0_0_0_10_14_16,-22.0,42
1,26,314,0.26954896785326893,0.5275644232103788,3.348930595537366,3.2764999921311793,314,True,1,0.6069839945229241,3.9564099283895953,13.056450278059241,455,False,9,0.05629945599219255,-1.6657256459848135,8.859183099609144,899,False,7,0.11482535577258446,-0.6910707308289279,10.402516498259564,314,True,1,0.23462494373184573,1.051468693335663,11.54513971949265,0_0_0_10_14_16,-22.0,42
1,27,602,0.2805884326957836,0.5364203476585881,3.4401417898924627,3.284874805266019,602,True,1,0.7877600203357815,4.5854914922229275,14.407423845249589,602,True,1,0.10383363982583749,0.5607697911269214,11.212285862144093,602,True,1,0.22041780205157213,1.4187681031255963,12.218275613382614,602,True,1,0.5789032625135384,4.980880792408759,14.261882605987168,0_0_0_10_14_16,-22.0,42
1,28,7,0.2671437368544965,0.5211305489493047,3.407925702002173,3.322945382890505,7,True,1,1.2235256953687355,5.900089689587259,16.34159652703064,7,True,1,0.11144157281229727,0.3901754720069648,11.635738069799022,7,True,1,0.13540838360604912,0.8891146776776551,11.850536992600116,7,True,1,0.2852049330187043,1.680860303095626,12.728841684671252,0_0_0_10_14_16,-22.0,42
1,29,610,0.2671541520633143,0.5191873699196531,3.32848954530331,3.2329212451731806,610,True,1,0.9359535493173468,5.504154474069586,15.063011429855418,610,True,1,0.07754101501058486,0.7855959370542315,10.176141246862047,611,False,6,0.04561572786121659,-0.6595587413336673,9.092087402923259,780,False,2,0.12591018513036545,-0.3758968465269024,11.637052886501856,0_0_0_10_14_16,-22.0,42
1,30,807,0.2728552976698942,0.5257579847964462,3.373365692079714,3.2476853816340996,807,True,1,0.755835259924936,4.628319472119712,14.23549565288444,919,False,121,0.02296040989335779,-5.3976502839437535,4.6429249250381845,265,False,230,0.017486573532431215,-9.550385396722806,3.2949869374596585,442,False,54,0.0603308081752465,-4.456431055491894,6.4232020752065395,0_0_0_10_14_16,-22.0,42
1,31,897,0.28080466363583717,0.532851595725685,3.471536082335979,3.288972431502747,897,True,1,0.573679644094657,3.092244087254368,13.217604359331103,370,False,705,0.004265139359805659,-13.658651335101615,-2.6959891494357553,370,False,692,0.0007101468708050618,-18.411601753464737,-2.9896398717041657,897,True,1,0.2868383805638395,1.5898830410029632,12.002839444093887,0_0_0_10_14_16,-22.0,42
1,32,749,0.2621234344500555,0.519890142301191,3.326555275305265,3.2987942725123602,749,True,1,0.9564191499887933,4.664990265948595,15.106069794529471,380,False,5,0.07167295263788365,-1.0971275238187141,9.918087731960828,749,True,1,0.08865436808567129,1.1751953665594927,12.645727992307778,749,True,1,0.535697207204894,4.474616635989807,14.809351868271436,0_0_0_10_14_16,-22.0,42
1,33,584,0.26667609563155276,0.5224294837804045,3.3183817528525497,3.2497129458324867,584,True,1,0.7359574744477868,4.1789476221823545,14.421093761579183,259,False,81,0.027954549128328177,-5.104332115120249,5.847492941713995,584,True,1,0.10236738235859377,0.25958370150258875,11.185910549209934,259,False,2,0.10696827225817529,-0.323934922098027,9.838105802349217,0_0_0_10_14_16,-22.0,42
