packet_index,frame_index,event_index,payload_symbol_index,start_sample,paper_start_sample,paper_origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,center_raw_fft_bin,center_signed_fft_bin,center_symbol_value,paper_raw_fft_bin,paper_signed_fft_bin,paper_symbol_value,center_raw_hit,paper_raw_hit,center_symbol_hit,paper_symbol_hit,center_gt_rank,paper_gt_rank,center_peak_power,paper_peak_power,paper_peak_margin_db,paper_total_power
0,0,0,28,541401,541403,2,11,4,continuous,385,385,96,385,385,96,385,385,96,1,1,1,1,1,1,12294.72401557141,95.64932747264629,12.328525719752456,111.40535342439932
0,0,0,29,549593,549595,2,11,4,continuous,677,677,169,677,677,169,677,677,169,1,1,1,1,1,1,12348.187420937757,95.9704820212437,11.926045050868272,112.22927853269441
0,0,0,30,557785,557787,2,11,4,continuous,857,857,214,857,857,214,857,857,214,1,1,1,1,1,1,12314.605322122574,95.64723824052726,11.387755219552547,112.90659406596419
0,0,0,31,565977,565979,2,11,4,continuous,933,933,233,933,933,233,933,933,233,1,1,1,1,1,1,12159.741375010984,94.78529616226388,11.083870913371552,112.7028422351096
0,0,0,32,574169,574171,2,11,4,continuous,1973,-75,493,1973,-75,493,1973,-75,493,1,1,1,1,1,1,12134.256542149524,94.29252769076265,11.327507805111082,111.93444888904428
0,0,0,33,582361,582363,2,11,4,continuous,445,445,111,445,445,111,445,445,111,1,1,1,1,1,1,11979.84795252845,93.29927322702497,11.327992287542097,112.0941578010572
0,0,0,34,590553,590555,2,11,4,continuous,1933,-115,483,1933,-115,483,1933,-115,483,1,1,1,1,1,1,12133.503537024895,94.25967397448039,10.853727471950833,113.27897082337893
0,0,0,35,598745,598747,2,11,4,continuous,1737,-311,434,1737,-311,434,1737,-311,434,1,1,1,1,1,1,12021.672277925769,93.48903827631966,10.445951129429481,112.9593118562181
0,0,0,36,606937,606939,2,11,4,continuous,1373,-675,343,1373,-675,343,1373,-675,343,1,1,1,1,1,1,12061.677425220842,93.53723369964064,9.864051672395833,114.71637962679236
0,0,0,37,615129,615131,2,11,4,continuous,2001,-47,500,2001,-47,500,2001,-47,500,1,1,1,1,1,1,12241.607891032705,95.1024683992955,10.562436718831963,115.51652783614324
0,0,0,38,623321,623323,2,11,4,continuous,1613,-435,403,1613,-435,403,1613,-435,403,1,1,1,1,1,1,12004.294156758639,93.31799231574769,9.813817497935672,115.1133750869393
0,0,0,39,631513,631515,2,11,4,continuous,1257,-791,314,1257,-791,314,1257,-791,314,1,1,1,1,1,1,11823.024938040413,91.90478874545443,9.057438752660119,116.09465896766223
1,1,1,0,2812547,2812549,2,11,4,continuous,441,441,110,441,441,110,441,441,110,1,1,1,1,1,1,13919.952686730772,108.18867743773444,15.771578021714365,117.53591508858894
1,1,1,1,2820739,2820741,2,11,4,continuous,1649,-399,412,1649,-399,412,1649,-399,412,1,1,1,1,1,1,13837.740638304735,107.38473073194564,17.513684351669156,116.28502640340226
1,1,1,2,2828931,2828933,2,11,4,continuous,1329,-719,332,1329,-719,332,1329,-719,332,1,1,1,1,1,1,13746.95242604945,106.88113190443255,14.445671465209946,119.52096353437184
1,1,1,3,2837123,2837125,2,11,4,continuous,1433,-615,358,1433,-615,358,1433,-615,358,1,1,1,1,1,1,13722.582017870678,106.66748692287365,14.831996071611362,119.18723076741043
1,1,1,4,2845315,2845317,2,11,4,continuous,1961,-87,490,1961,-87,490,1961,-87,490,1,1,1,1,1,1,14327.629000900546,111.55151857931287,25.134797855651808,116.25652530772354
1,1,1,5,2853507,2853509,2,11,4,continuous,1857,-191,464,1857,-191,464,1857,-191,464,1,1,1,1,1,1,13584.966722503304,105.64792658374154,21.807103562519174,112.34564960547641
1,1,1,6,2861699,2861701,2,11,4,continuous,1693,-355,423,1693,-355,423,1693,-355,423,1,1,1,1,1,1,12883.917847253906,99.83018461171832,17.690941011552262,109.39396541008728
1,1,1,7,2869891,2869893,2,11,4,continuous,1245,-803,311,1245,-803,311,1245,-803,311,1,1,1,1,1,1,11831.444938928122,91.68838322839292,12.365007934620063,106.94207150384808
1,1,1,8,2878083,2878085,2,11,4,continuous,1661,-387,415,1661,-387,415,1661,-387,415,1,1,1,1,1,1,12111.53213484917,94.10688872776518,16.85103262479965,104.7171027667458
1,1,1,9,2886275,2886277,2,11,4,continuous,685,685,171,685,685,171,685,685,171,1,1,1,1,1,1,11404.265615232522,88.58160949520334,12.595054706763154,103.71310137564093
1,1,1,10,2894467,2894469,2,11,4,continuous,2017,-31,504,2017,-31,504,2017,-31,504,1,1,1,1,1,1,12912.129984890635,100.27681407261207,30.09451160934059,103.21882719150751
1,1,1,11,2902658,2902660,2,11,4,continuous,9,9,2,9,9,2,9,9,2,1,1,1,1,1,1,10974.801914024225,85.19257466309136,10.524544564355754,103.11622637238167
1,1,1,12,2910850,2910852,2,11,4,continuous,1369,-679,342,1369,-679,342,1369,-679,342,1,1,1,1,1,1,12396.407904738793,96.24892575689591,18.025362025159065,104.3794145977649
1,1,1,13,2919042,2919044,2,11,4,continuous,1653,-395,413,1653,-395,413,1653,-395,413,1,1,1,1,1,1,12139.228979389241,94.18193311287268,13.376008532035751,105.86542958563419
1,1,1,14,2927234,2927236,2,11,4,continuous,2029,-19,507,2029,-19,507,2029,-19,507,1,1,1,1,1,1,11281.690275640227,87.50984278114993,10.218544996603278,107.13258438034693
1,1,1,15,2935426,2935428,2,11,4,continuous,169,169,42,169,169,42,169,169,42,1,1,1,1,1,1,11986.001436905994,93.13859850834797,11.176371466300594,110.37258141038694
1,1,1,16,2943618,2943620,2,11,4,continuous,333,333,83,333,333,83,333,333,83,1,1,1,1,1,1,12519.745866199082,97.2522627893486,12.774181843398294,111.34874662967681
1,1,1,17,2951810,2951812,2,11,4,continuous,777,777,194,777,777,194,777,777,194,1,1,1,1,1,1,13527.502634272969,104.80519951690894,17.934671439226545,113.80434603043749
1,1,1,18,2960002,2960004,2,11,4,continuous,1649,-399,412,1649,-399,412,1649,-399,412,1,1,1,1,1,1,13105.929700159526,101.7019745153957,12.612576494070334,115.92676177051041
1,1,1,19,2968194,2968196,2,11,4,continuous,293,293,73,293,293,73,293,293,73,1,1,1,1,1,1,12734.825981187692,99.16917520249626,11.781130571704292,115.93262838864852
