dataset,snr_db,seed,packet_count,symbol_count,bank_kind,pattern_count,covariance_source,white_effective_replicas,empirical_effective_replicas,cross_validated_effective_replicas,offpacket_windows,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,hybrid_mean_pattern_ser,gated_mean_pattern_ser,gated_stable_pattern_ser,gated_consensus_pattern_ser,gated_hybrid_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,hybrid_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_mean_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_stable_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_consensus_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,gated_hybrid_pattern_changes_vs_savaux
0_0_0_10_14_16,-23.0,42,2,70,quadratic_only_diverse16,16,offpacket,4.0,3.9872135320745867,4.046466141821627,128,1.0,1.0142857142857142,0.014285714285714285,0.45714285714285713,0.04285714285714286,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.02857142857142857,0.04285714285714286,0.014285714285714285,0.014285714285714285,0.02857142857142857,0,31,31,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,1
0_0_0_10_14_16,-24.0,42,2,70,quadratic_only_diverse16,16,offpacket,4.0,3.9873248566629065,4.046671327098495,128,1.0,1.2142857142857144,0.11428571428571428,0.6142857142857143,0.14285714285714285,0.11428571428571428,0.11428571428571428,0.1,0.14285714285714285,0.14285714285714285,0.1,0.11428571428571428,0.12857142857142856,0,35,41,0,2,4,0,0,0,0,0,2,2,1,5,0,2,4,0,2,4,2,1,5,0,0,0,0,1,3
0_0_0_10_14_16,-25.0,42,2,70,quadratic_only_diverse16,16,offpacket,4.0,3.987432457823916,4.046871840338914,128,0.9857142857142858,2.6857142857142855,0.22857142857142856,0.7428571428571429,0.3,0.22857142857142856,0.24285714285714285,0.22857142857142856,0.2714285714285714,0.3,0.22857142857142856,0.22857142857142856,0.2714285714285714,1,37,51,1,6,13,0,0,0,1,2,7,1,1,7,2,5,11,1,6,13,1,1,7,0,0,0,2,5,11
