payload_symbol_index,frame_count,mode_raw_fft_bin,mode_signed_fft_bin,mode_symbol_value,mode_raw_count,mode_symbol_count,raw_mismatch_count,raw_unique_count,symbol_unique_count,unique_raw_fft_bins,unique_symbol_values,mismatch_frame_indices,mismatch_packet_indices,mismatch_event_indices
0,14,222,222,221,6,6,8,4,4,222 345 346 803,221 344 345 802,0 2 4 6 7 8 10 12,0 2 4 6 7 8 10 12,0 2 4 6 7 8 10 12
1,14,826,-198,825,7,7,7,5,5,223 711 803 804 826,222 710 802 803 825,0 3 4 7 8 11 12,0 3 4 7 8 11 12,0 3 4 7 8 11 12
2,14,871,-153,870,6,6,8,4,4,711 712 871 922,710 711 870 921,0 1 2 4 7 8 9 10,0 1 2 4 7 8 9 10,0 1 2 4 7 8 9 10
3,14,691,-333,690,6,6,8,4,4,691 718 871 923,690 717 870 922,0 1 2 3 4 5 6 7,0 1 2 3 4 5 6 7,0 1 2 3 4 5 6 7
4,14,107,107,106,6,6,8,5,5,86 107 692 718 719,85 106 691 717 718,0 2 4 5 7 8 9 11,0 2 4 5 7 8 9 11,0 2 4 5 7 8 9 11
5,14,468,468,467,11,11,3,3,3,86 108 468,85 107 467,0 4 7,0 4 7,0 4 7
6,14,89,89,88,11,11,3,3,3,89 468 469,88 467 468,0 4 7,0 4 7,0 4 7
7,14,713,-311,712,11,11,3,3,3,89 90 713,88 89 712,0 4 7,0 4 7,0 4 7
8,14,865,-159,864,11,11,3,3,3,713 714 865,712 713 864,0 4 7,0 4 7,0 4 7
9,14,492,492,491,11,11,3,3,3,492 865 866,491 864 865,0 4 7,0 4 7,0 4 7
10,14,765,-259,764,11,11,3,3,3,492 493 765,491 492 764,0 4 7,0 4 7,0 4 7
11,14,1023,-1,1022,11,11,3,3,3,765 766 1023,764 765 1022,0 4 7,0 4 7,0 4 7
12,14,597,-427,596,11,11,3,3,3,0 597 1023,596 1022 1023,0 4 7,0 4 7,0 4 7
13,14,562,-462,561,11,11,3,3,3,562 597 598,561 596 597,0 4 7,0 4 7,0 4 7
14,14,478,478,477,11,11,3,3,3,478 562 563,477 561 562,0 4 7,0 4 7,0 4 7
15,14,267,267,266,11,11,3,3,3,267 478 479,266 477 478,0 4 7,0 4 7,0 4 7
16,14,917,-107,916,11,11,3,3,3,267 268 917,266 267 916,0 4 7,0 4 7,0 4 7
17,14,656,-368,655,11,11,3,3,3,656 917 918,655 916 917,0 4 7,0 4 7,0 4 7
18,14,889,-135,888,11,11,3,3,3,656 657 889,655 656 888,0 4 7,0 4 7,0 4 7
19,14,510,510,509,11,11,3,3,3,510 889 890,509 888 889,0 4 7,0 4 7,0 4 7
20,14,860,-164,859,11,11,3,3,3,510 511 860,509 510 859,0 4 7,0 4 7,0 4 7
21,14,553,-471,552,11,11,3,3,3,553 860 861,552 859 860,0 4 7,0 4 7,0 4 7
22,14,629,-395,628,11,11,3,3,3,553 554 629,552 553 628,0 4 7,0 4 7,0 4 7
23,14,759,-265,758,11,11,3,3,3,629 630 759,628 629 758,0 4 7,0 4 7,0 4 7
24,14,874,-150,873,11,11,3,3,3,759 760 874,758 759 873,0 4 7,0 4 7,0 4 7
25,14,720,-304,719,11,11,3,3,3,720 874 875,719 873 874,0 4 7,0 4 7,0 4 7
26,14,314,314,313,11,11,3,3,3,314 720 721,313 719 720,0 4 7,0 4 7,0 4 7
27,14,602,-422,601,11,11,3,3,3,314 315 602,313 314 601,0 4 7,0 4 7,0 4 7
28,14,7,7,6,11,11,3,3,3,7 602 603,6 601 602,0 4 7,0 4 7,0 4 7
29,14,610,-414,609,11,11,3,3,3,7 8 610,6 7 609,0 4 7,0 4 7,0 4 7
30,14,611,-413,610,2,2,12,9,9,610 611 775 778 791 794 807 823 826,609 610 774 777 790 793 806 822 825,1 2 3 4 5 6 8 9 10 11 12 13,1 2 3 4 5 6 8 9 10 11 12 13,1 2 3 4 5 6 8 9 10 11 12 13
31,14,897,-127,896,2,2,12,11,11,808 810 827 897 904 905 912 913 920 921 928,807 809 826 896 903 904 911 912 919 920 927,0 2 4 5 6 7 8 9 10 11 12 13,0 2 4 5 6 7 8 9 10 11 12 13,0 2 4 5 6 7 8 9 10 11 12 13
32,14,749,-275,748,2,2,12,11,11,740 741 748 749 753 760 761 768 912 922 929,739 740 747 748 752 759 760 767 911 921 928,0 2 3 4 5 6 7 8 9 10 11 12,0 2 3 4 5 6 7 8 9 10 11 12,0 2 3 4 5 6 7 8 9 10 11 12
33,14,584,-440,583,2,2,12,10,10,577 580 581 584 586 587 590 741 753 762,576 579 580 583 585 586 589 740 752 761,0 2 3 4 5 7 8 9 10 11 12 13,0 2 3 4 5 7 8 9 10 11 12 13,0 2 3 4 5 7 8 9 10 11 12 13
34,14,591,-433,590,2,2,12,9,9,89 91 93 588 591 930 932 934 936,88 90 92 587 590 929 931 933 935,1 2 3 5 6 7 8 9 10 11 12 13,1 2 3 5 6 7 8 9 10 11 12 13,1 2 3 5 6 7 8 9 10 11 12 13
