snr_label,added_snr_db,noise_power_db_relative,seed,packet_index,payload_symbol_index,frame_symbol_index,start_sample,gt_bin,header_bin_correction,header_bin_consensus,header_bin_observations,header_bin_residual,savaux_bin,savaux_correct,savaux_gt_rank,savaux_gt_margin_db,litenap_single_bin,litenap_single_correct,litenap_single_gt_rank,litenap_single_gt_margin_db,litenap_savaux_k1_bin,litenap_savaux_k1_correct,litenap_savaux_k1_gt_rank,litenap_savaux_k1_gt_margin_db,litenap_savaux_k2_bin,litenap_savaux_k2_correct,litenap_savaux_k2_gt_rank,litenap_savaux_k2_gt_margin_db,savaux_phase_bin,savaux_phase_correct,savaux_phase_gt_rank,savaux_phase_gt_margin_db,savaux_phase_alias_bin,savaux_phase_candidate_bins,savaux_phase_phase_jump_scores,savaux_phase_spectral_log_scores,savaux_phase_combined_scores,litenap_single_phase_bin,litenap_single_phase_correct,litenap_single_phase_gt_rank,litenap_single_phase_gt_margin_db,litenap_single_phase_alias_bin,litenap_single_phase_candidate_bins,litenap_single_phase_phase_jump_scores,litenap_single_phase_spectral_log_scores,litenap_single_phase_combined_scores,litenap_savaux_k1_phase_bin,litenap_savaux_k1_phase_correct,litenap_savaux_k1_phase_gt_rank,litenap_savaux_k1_phase_gt_margin_db,litenap_savaux_k1_phase_alias_bin,litenap_savaux_k1_phase_candidate_bins,litenap_savaux_k1_phase_phase_jump_scores,litenap_savaux_k1_phase_spectral_log_scores,litenap_savaux_k1_phase_combined_scores,litenap_savaux_k2_phase_bin,litenap_savaux_k2_phase_correct,litenap_savaux_k2_phase_gt_rank,litenap_savaux_k2_phase_gt_margin_db,litenap_savaux_k2_phase_alias_bin,litenap_savaux_k2_phase_candidate_bins,litenap_savaux_k2_phase_phase_jump_scores,litenap_savaux_k2_phase_spectral_log_scores,litenap_savaux_k2_phase_combined_scores
clean,,,0,20,36,44,30778284,314,0,1.0,8,0,314,1,1,17.8958584976481,58,0,1,0.0,314,1,1,4.304645545329302,314,1,1,7.302243219863742,314,1,1,17.8958584976481,58,58|314|570|826,0.0200173396|1651.6279|0.0226377784|0.00629998617,-13.0961724|0|-13.7348046|-12.6489212,-13.0951814|0.370506098|-13.7336854|-12.6486072,314,1,1,0.0,58,58|314|570|826,31.2236321|747.682469|114.208551|17.5579758,0|0|0|0,0.173635005|0.330915748|0.237337199|0.146044983,314,1,1,4.304645545329302,58,58|314|570|826,13.0177618|396.634108|99.1779018|79.7186529,-1.02231946|0|-0.991181266|-3.33039609,-0.890303196|0.299276613|-0.760833885|-3.11084761,314,1,1,7.302243219863742,58,58|314|570|826,10.3533748|826.752365|74.5951476|0.00819181709,-1.71083871|0|-1.68140364|-11.8344534,-1.58936296|0.335935702|-1.46513403|-11.8340455
clean,,,0,20,37,45,30782380,602,0,1.0,8,0,602,1,1,16.902817782718525,90,0,1,0.0,602,1,1,4.345374375907839,602,1,1,7.341419329097713,602,1,1,16.902817782718525,90,90|346|602|858,0.105675947|0.0229938427|1823.87127|0.0153922297,-13.0156042|-13.1321428|0|-14.9300898,-13.0105813|-13.1310061|0.375463236|-14.929326,602,1,1,0.0,90,90|346|602|858,16.0329294|152.919214|972.800364|97.2670465,0|0|0|0,0.141757425|0.251821394|0.344060316|0.229384437,602,1,1,4.345374375907839,90,90|346|602|858,34.2742117|90.4232947|452.513985|21.5083151,-3.43417475|-1.01015999|0|-1.00055943,-3.25601715|-0.784384974|0.305851305|-0.844865186,602,1,1,7.341419329097713,90,90|346|602|858,0.00119715736|68.2033972|941.60909|16.7780428,-13.5296909|-1.70000321|0|-1.69042427,-13.529631|-1.48815072|0.342432583|-1.54652606
clean,,,0,20,38,46,30786476,7,0,1.0,8,0,7,1,1,24.4573107744612,7,1,1,0.0,7,1,1,3.7163886468970917,7,1,1,6.782902343509237,7,1,1,24.4573107744612,7,7|263|519|775,63.6592534|0.124163801|0.00832644698|0.00248672822,0|-12.4622774|-13.589213|-11.9381808,0.208456561|-12.4564255|-13.5887984|-11.9380566,263,0,1,0.0,7,7|263|519|775,0|45.1658658|31.8629577|40.6967318,0|0|0|0,0|0.191612034|0.174617306|0.186521138,7,1,1,3.7163886468970917,7,7|263|519|775,0|567.398853|564.46799|610.141446,0|-0.931628852|-2.57343963|-0.85573011,0|-0.614487683|-2.25655694|-0.534963688,7,1,1,6.782902343509237,7,7|263|519|775,69.649562|331.441192|0.0111660024|327.94926,0|-1.635497|-11.3205519|-1.56182098,0.212886595|-1.34517385|-11.3199967|-1.27202581
clean,,,0,20,39,47,30790572,414,0,1.0,8,0,414,1,1,17.820319277352382,158,0,1,0.0,414,1,1,4.284095775883625,414,1,1,7.281910950912365,414,1,1,17.820319277352382,158,158|414|670|926,0.00585495161|1330.30942|0.0180398026|0.0114163514,-13.2839024|0|-13.6570592|-12.5218519,-13.2836105|0.359695913|-13.6561653|-12.5212843,414,1,1,0.0,158,158|414|670|926,87.3145394|570.212117|152.910343|18.5838558,0|0|0|0,0.224045238|0.317388031|0.251818512|0.148735277,414,1,1,4.284095775883625,158,158|414|670|926,35.2706001|324.196357|58.1615739|24.9727111,-1.01793582|0|-0.986449507|-3.39506447,-0.838385444|0.289221459|-0.782435895|-3.23221215,414,1,1,7.281910950912365,158,158|414|670|926,27.5652768|674.510923|44.6996429|0.018057007,-1.70662179|0|-1.67672196|-11.8909919,-1.53901219|0.325773466|-1.48561744|-11.8900971
clean,,,0,20,40,48,30794668,807,0,1.0,8,0,807,1,1,20.14235944238287,39,0,1,0.0,807,1,1,3.5209273095457205,807,1,1,6.5947222633254645,807,1,1,20.14235944238287,39,39|295|551|807,0.0538711805|0.0252784695|0.0267899883|915.983016,-12.8990466|-13.2819187|-12.3421625|0,-12.8964231|-13.2806705|-12.3408406|0.341054448,807,1,1,0.0,39,39|295|551|807,9.50036582|63.7615427|185.435645|337.171421,0|0|0|0,0.117570505|0.208535598|0.261404306|0.291177647,807,1,1,3.5209273095457205,39,39|295|551|807,49.7643004|185.929014|206.028487|221.816436,-0.810723474|-2.77338191|-0.985953661|0,-0.614363806|-2.51184546|-0.719310841|0.270317414,807,1,1,6.5947222633254645,39,39|295|551|807,35.8442794|0.0176834311|147.320308|456.597218,-1.51849092|-11.0946025|-1.68757536|0,-1.3381559|-11.093726|-1.43760665|0.306299468
clean,,,0,20,41,49,30798764,195,0,1.0,8,0,195,1,1,20.515350138146506,195,1,1,0.0,195,1,1,3.852483812866472,195,1,1,6.918928908115865,195,1,1,20.515350138146506,195,195|451|707|963,596.639832|0.045780241|0.00133321327|0.000195224512,0|-12.2586359|-12.1398273|-11.7877556,0.319649414|-12.2563977|-12.1397607|-11.7877458,195,1,1,0.0,195,195|451|707|963,205.926965|196.985389|83.7331064|15.9593491,0|0|0|0,0.266618295|0.264409662|0.22197532|0.141540963,195,1,1,3.852483812866472,195,195|451|707|963,141.200122|162.433003|171.936211|64.2101286,0|-0.949139522|-2.75323866|-0.88706718,0.247861769|-0.694319365|-2.49559252|-0.67818644,195,1,1,6.918928908115865,195,195|451|707|963,310.091845|120.057235|0.00701734567|46.2614876,0|-1.64889838|-11.7142643|-1.59314226,0.287004409|-1.40908521|-11.7139146|-1.40035747
clean,,,0,20,42,50,30802860,826,0,1.0,8,0,826,1,1,20.52010000887668,58,0,1,0.0,826,1,1,3.5102213281605983,826,1,1,6.560081451019524,826,1,1,20.52010000887668,58,58|314|570|826,0.0188393674|0.00333897793|0.00644682047|695.07873,-13.5720291|-13.9362495|-13.9508212|0,-13.5710959|-13.9360828|-13.9504999|0.327273139,570,0,1,0.0,58,58|314|570|826,21.5143628|97.2697371|230.862612|194.118089,0|0|0|0,0.155707673|0.229385806|0.27230725|0.263680248,826,1,1,3.5102213281605983,58,58|314|570|826,80.1871463|207.760705|227.221026|174.831754,-0.80825833|-2.66031612|-0.959317696|0,-0.588420483|-2.39325669|-0.687801967|0.25847638,826,1,1,6.560081451019524,58,58|314|570|826,55.8146861|0.00340719844|155.521379|347.319049,-1.51051458|-13.8104052|-1.6487674|0,-1.30852483|-13.8102351|-1.39610777|0.292655943
clean,,,0,20,43,51,30806956,928,0,1.0,8,0,928,1,1,21.240172815318672,160,0,1,0.0,928,1,1,3.3573442711516965,928,1,1,6.3929903232556375,928,1,1,21.240172815318672,160,160|416|672|928,0.0051616834|0.00368512523|0.00906414396|568.830781,-13.9888182|-13.3804547|-11.3694148|0,-13.9885608|-13.3802707|-11.3689636|0.317266972,672,0,1,0.0,160,160|416|672|928,57.9164024|90.5304234|99.7339282|47.4135682,0|0|0|0,0.203805977|0.225833571|0.230624133|0.193989005,928,1,1,3.3573442711516965,160,160|416|672|928,314.91678|377.968656|395.918663|147.243894,-0.773057087|-2.4257859|-0.94390253|0,-0.485283146|-2.12891322|-0.644715961|0.249942942,928,1,1,6.3929903232556375,160,160|416|672|928,193.118143|0.00496972767|245.951985|290.821924,-1.47204042|-12.2671202|-1.63894738|0,-1.20861707|-12.2668724|-1.36348768|0.283807188
clean,,,0,20,44,52,30811052,761,0,1.0,8,0,761,1,1,19.86960360058199,249,0,1,0.0,761,1,1,3.765284684721978,761,1,1,6.836027958181267,761,1,1,19.86960360058199,249,249|505|761|1017,0.0164290771|0.00960747543|567.72204|0.0278945586,-12.4421935|-12.5006439|0|-11.7960365,-12.4413787|-12.5001659|0.31716959|-11.7946609,505,0,1,0.0,249,249|505|761|1017,102.109278|231.192772|159.287774|0,0|0|0|0,0.231789469|0.272378397|0.253848539|0,761,1,1,3.765284684721978,249,249|505|761|1017,137.381702|162.082761|139.079362|3.69286083,-2.69690443|-0.97336805|0|-0.866988839,-2.45040364|-0.71865516|0.247110457|-0.78968672,761,1,1,6.836027958181267,249,249|505|761|1017,0.007884455|116.405502|288.567041|2.7541267,-11.4548428|-1.66327107|0|-1.57405361,-11.4544501|-1.42498938|0.283419342|-1.50791082
clean,,,0,20,45,53,30815148,590,0,1.0,8,0,590,1,1,19.539416810779088,78,0,1,0.0,590,1,1,4.275352976202394,590,1,1,7.272607978661968,590,1,1,19.539416810779088,78,78|334|590|846,0.00751212087|0.0237671524|611.684744|0.0236063532,-13.729645|-14.641491|0|-15.9644344,-13.7292708|-14.6403165|0.320892526|-15.9632677,334,0,1,0.0,78,78|334|590|846,41.6190104|244.681761|210.608478|128.949524,0|0|0|0,0.18761502|0.275201852|0.267736888|0.243357305,590,1,1,4.275352976202394,78,78|334|590|846,25.4817173|72.5992018|143.330809|17.4909406,-3.01672044|-0.984775492|0|-0.984436403,-2.85289771|-0.769843782|0.248605398|-0.838572357,590,1,1,7.272607978661968,78,78|334|590|846,0.000889713621|54.5671581|296.448988|13.8352578,-13.4437101|-1.67531382|0|-1.67457987,-13.4436656|-1.4744342|0.284762137|-1.53972954
